# messageDelay  cumulativeProbability
2.1000 0.0001
2.2000 0.0003
2.2000 0.0004
2.2000 0.0006
2.2000 0.0007
2.2000 0.0008
2.2000 0.0010
2.2000 0.0011
2.3000 0.0013
2.4000 0.0014
2.5000 0.0015
2.5000 0.0017
2.5000 0.0018
2.5000 0.0020
2.6000 0.0021
2.6000 0.0022
2.7000 0.0024
2.7000 0.0025
2.7000 0.0027
2.7000 0.0028
2.9000 0.0029
3.0000 0.0031
3.0000 0.0032
3.0000 0.0034
3.1000 0.0035
3.1000 0.0036
3.2000 0.0038
3.2000 0.0039
3.2000 0.0041
3.3000 0.0042
3.3000 0.0043
3.3000 0.0045
3.4000 0.0046
3.4000 0.0048
3.4000 0.0049
3.4000 0.0051
3.5000 0.0052
3.6000 0.0053
3.6000 0.0055
3.6000 0.0056
3.6000 0.0058
3.6000 0.0059
3.6000 0.0060
3.6000 0.0062
3.7000 0.0063
3.7000 0.0065
3.7000 0.0066
3.7000 0.0067
3.8000 0.0069
3.9000 0.0070
3.9000 0.0072
4.0000 0.0073
4.0000 0.0074
4.0000 0.0076
4.0000 0.0077
4.1000 0.0079
4.2000 0.0080
4.3000 0.0081
4.6000 0.0083
4.6000 0.0084
4.7000 0.0086
5.0000 0.0087
5.1000 0.0088
5.2000 0.0090
5.3000 0.0091
5.4000 0.0093
5.6000 0.0094
5.6000 0.0095
6.4000 0.0097
6.4000 0.0098
7.7000 0.0100
7.8000 0.0101
8.1000 0.0102
9.9000 0.0104
10.0000 0.0105
12.2000 0.0107
12.5000 0.0108
12.8000 0.0109
13.1000 0.0111
14.5000 0.0112
14.7000 0.0114
16.7000 0.0115
21.1000 0.0116
22.2000 0.0118
23.7000 0.0119
23.9000 0.0121
25.5000 0.0122
29.0000 0.0123
29.2000 0.0125
29.7000 0.0126
31.3000 0.0128
31.7000 0.0129
32.4000 0.0130
32.6000 0.0132
32.8000 0.0133
34.3000 0.0135
37.5000 0.0136
38.6000 0.0137
39.1000 0.0139
40.9000 0.0140
43.6000 0.0142
44.9000 0.0143
47.8000 0.0145
48.1000 0.0146
49.4000 0.0147
50.6000 0.0149
51.4000 0.0150
51.9000 0.0152
52.0000 0.0153
52.4000 0.0154
52.4000 0.0156
52.8000 0.0157
52.8000 0.0159
53.4000 0.0160
53.8000 0.0161
55.0000 0.0163
55.1000 0.0164
57.1000 0.0166
57.2000 0.0167
62.4000 0.0168
62.5000 0.0170
64.5000 0.0171
68.3000 0.0173
69.0000 0.0174
71.0000 0.0175
75.9000 0.0177
76.0000 0.0178
77.6000 0.0180
80.4000 0.0181
83.2000 0.0182
84.4000 0.0184
85.1000 0.0185
85.9000 0.0187
92.7000 0.0188
94.5000 0.0189
94.6000 0.0191
95.8000 0.0192
96.2000 0.0194
98.2000 0.0195
100.6000 0.0196
105.8000 0.0198
109.1000 0.0199
109.5000 0.0201
110.4000 0.0202
110.9000 0.0203
112.9000 0.0205
113.3000 0.0206
114.8000 0.0208
116.7000 0.0209
123.5000 0.0210
124.6000 0.0212
124.9000 0.0213
125.6000 0.0215
129.7000 0.0216
130.1000 0.0217
131.5000 0.0219
136.2000 0.0220
138.8000 0.0222
139.8000 0.0223
141.0000 0.0224
142.8000 0.0226
143.5000 0.0227
144.6000 0.0229
145.2000 0.0230
149.9000 0.0231
154.8000 0.0233
155.7000 0.0234
156.6000 0.0236
159.7000 0.0237
167.2000 0.0238
169.1000 0.0240
171.7000 0.0241
173.1000 0.0243
175.2000 0.0244
178.5000 0.0246
180.9000 0.0247
181.7000 0.0248
183.7000 0.0250
185.8000 0.0251
187.5000 0.0253
187.8000 0.0254
191.8000 0.0255
195.4000 0.0257
196.2000 0.0258
198.0000 0.0260
199.0000 0.0261
202.7000 0.0262
204.9000 0.0264
206.5000 0.0265
208.1000 0.0267
209.7000 0.0268
211.2000 0.0269
214.2000 0.0271
216.1000 0.0272
218.7000 0.0274
220.7000 0.0275
221.3000 0.0276
223.1000 0.0278
225.1000 0.0279
230.6000 0.0281
233.8000 0.0282
234.0000 0.0283
237.5000 0.0285
237.9000 0.0286
238.7000 0.0288
248.6000 0.0289
256.2000 0.0290
259.2000 0.0292
260.9000 0.0293
264.9000 0.0295
266.6000 0.0296
269.4000 0.0297
269.7000 0.0299
271.2000 0.0300
271.8000 0.0302
275.4000 0.0303
278.4000 0.0304
278.9000 0.0306
282.6000 0.0307
283.4000 0.0309
284.1000 0.0310
287.8000 0.0311
289.2000 0.0313
290.5000 0.0314
293.4000 0.0316
296.2000 0.0317
298.8000 0.0318
300.5000 0.0320
302.3000 0.0321
304.2000 0.0323
310.7000 0.0324
322.8000 0.0325
324.4000 0.0327
325.1000 0.0328
328.3000 0.0330
330.6000 0.0331
332.1000 0.0332
342.0000 0.0334
342.2000 0.0335
356.4000 0.0337
366.6000 0.0338
373.2000 0.0340
378.8000 0.0341
379.9000 0.0342
389.7000 0.0344
392.5000 0.0345
393.2000 0.0347
398.6000 0.0348
405.1000 0.0349
408.0000 0.0351
420.1000 0.0352
420.6000 0.0354
420.7000 0.0355
425.6000 0.0356
435.3000 0.0358
436.6000 0.0359
441.1000 0.0361
458.3000 0.0362
459.4000 0.0363
460.9000 0.0365
473.5000 0.0366
475.9000 0.0368
484.1000 0.0369
484.9000 0.0370
485.1000 0.0372
485.4000 0.0373
487.4000 0.0375
490.5000 0.0376
493.5000 0.0377
498.2000 0.0379
499.6000 0.0380
500.4000 0.0382
508.9000 0.0383
512.4000 0.0384
515.2000 0.0386
516.2000 0.0387
519.2000 0.0389
520.1000 0.0390
524.4000 0.0391
538.3000 0.0393
542.9000 0.0394
543.4000 0.0396
548.0000 0.0397
563.4000 0.0398
564.7000 0.0400
578.4000 0.0401
582.2000 0.0403
587.2000 0.0404
591.1000 0.0405
615.5000 0.0407
622.3000 0.0408
622.5000 0.0410
629.0000 0.0411
641.8000 0.0412
644.4000 0.0414
654.9000 0.0415
659.3000 0.0417
688.7000 0.0418
712.3000 0.0419
715.5000 0.0421
717.7000 0.0422
743.5000 0.0424
764.3000 0.0425
789.9000 0.0426
814.9000 0.0428
815.5000 0.0429
835.0000 0.0431
839.4000 0.0432
851.1000 0.0434
857.8000 0.0435
864.7000 0.0436
889.2000 0.0438
917.2000 0.0439
929.2000 0.0441
932.7000 0.0442
934.7000 0.0443
983.0000 0.0445
1105.2000 0.0446
1139.0000 0.0448
1139.4000 0.0449
1186.8000 0.0450
1187.0000 0.0452
1214.4000 0.0453
1233.2000 0.0455
1234.7000 0.0456
1247.4000 0.0457
1281.3000 0.0459
1286.4000 0.0460
1443.2000 0.0462
1453.0000 0.0463
1454.2000 0.0464
1478.6000 0.0466
1589.7000 0.0467
1642.9000 0.0469
1766.2000 0.0470
2005.7000 0.0471
2008.0000 0.0473
2055.1000 0.0474
2489.3000 0.0476
2559.4000 0.0477
3123.0000 0.0478
3724.6000 0.0480
