# time  created  delivered  delivered/created
7.0000 1 0 0.0000
13.0000 2 0 0.0000
19.0000 3 0 0.0000
27.0000 4 0 0.0000
34.0000 5 0 0.0000
40.0000 6 0 0.0000
48.0000 7 0 0.0000
53.0000 8 0 0.0000
60.0000 9 0 0.0000
66.0000 10 0 0.0000
75.0000 11 0 0.0000
80.0000 12 0 0.0000
89.0000 13 0 0.0000
95.0000 14 0 0.0000
101.0000 15 0 0.0000
109.0000 16 0 0.0000
118.0000 17 0 0.0000
123.0000 18 0 0.0000
132.0000 19 0 0.0000
132.4000 19 1 0.0526
137.0000 20 1 0.0500
144.0000 21 1 0.0476
150.0000 22 1 0.0455
159.0000 23 1 0.0435
161.3000 23 2 0.0870
168.0000 24 2 0.0833
175.0000 25 2 0.0800
182.0000 26 2 0.0769
190.0000 27 2 0.0741
191.7000 27 3 0.1111
198.0000 28 3 0.1071
207.0000 29 3 0.1034
216.0000 30 3 0.1000
223.0000 31 3 0.0968
230.0000 32 3 0.0938
236.0000 33 3 0.0909
242.0000 34 3 0.0882
250.0000 35 3 0.0857
255.0000 36 3 0.0833
262.0000 37 3 0.0811
271.0000 38 3 0.0789
279.0000 39 3 0.0769
284.0000 40 3 0.0750
291.0000 41 3 0.0732
299.0000 42 3 0.0714
306.0000 43 3 0.0698
313.0000 44 3 0.0682
318.8000 44 4 0.0909
320.0000 45 4 0.0889
328.0000 46 4 0.0870
336.0000 47 4 0.0851
342.0000 48 4 0.0833
350.0000 49 4 0.0816
358.0000 50 4 0.0800
363.0000 51 4 0.0784
370.0000 52 4 0.0769
376.0000 53 4 0.0755
382.0000 54 4 0.0741
391.0000 55 4 0.0727
397.0000 56 4 0.0714
402.0000 57 4 0.0702
409.0000 58 4 0.0690
414.0000 59 4 0.0678
421.0000 60 4 0.0667
426.0000 61 4 0.0656
432.0000 62 4 0.0645
433.7000 62 5 0.0806
441.0000 63 5 0.0794
448.0000 64 5 0.0781
457.0000 65 5 0.0769
463.0000 66 5 0.0758
472.0000 67 5 0.0746
477.0000 68 5 0.0735
484.0000 69 5 0.0725
492.1000 69 6 0.0870
493.0000 70 6 0.0857
494.9000 70 7 0.1000
502.0000 71 7 0.0986
507.0000 72 7 0.0972
513.0000 73 7 0.0959
519.0000 74 7 0.0946
524.0000 75 7 0.0933
532.0000 76 7 0.0921
539.0000 77 7 0.0909
542.6000 77 8 0.1039
544.0000 78 8 0.1026
553.0000 79 8 0.1013
558.0000 80 8 0.1000
566.0000 81 8 0.0988
572.3000 81 9 0.1111
573.0000 82 9 0.1098
580.0000 83 9 0.1084
585.0000 84 9 0.1071
591.0000 85 9 0.1059
598.0000 86 9 0.1047
606.0000 87 9 0.1034
615.0000 88 9 0.1023
620.2000 88 10 0.1136
623.0000 89 10 0.1124
629.0000 90 10 0.1111
637.0000 91 10 0.1099
644.0000 92 10 0.1087
647.7000 92 11 0.1196
652.0000 93 11 0.1183
658.0000 94 11 0.1170
663.0000 95 11 0.1158
669.0000 96 11 0.1146
677.0000 97 11 0.1134
686.0000 98 11 0.1122
693.0000 99 11 0.1111
698.0000 100 11 0.1100
705.0000 101 11 0.1089
712.0000 102 11 0.1078
719.0000 103 11 0.1068
727.0000 104 11 0.1058
731.4000 104 12 0.1154
733.0000 105 12 0.1143
738.0000 106 12 0.1132
747.0000 107 12 0.1121
747.1000 107 13 0.1215
752.0000 108 13 0.1204
759.0000 109 13 0.1193
766.0000 110 13 0.1182
772.0000 111 13 0.1171
780.0000 112 13 0.1161
787.9000 112 14 0.1250
788.0000 113 14 0.1239
795.0000 114 14 0.1228
803.0000 115 14 0.1217
810.0000 116 14 0.1207
816.0000 117 14 0.1197
821.0000 118 14 0.1186
828.0000 119 14 0.1176
835.0000 120 14 0.1167
836.9000 120 15 0.1250
841.0000 121 15 0.1240
848.0000 122 15 0.1230
855.0000 123 15 0.1220
861.0000 124 15 0.1210
870.0000 125 15 0.1200
878.0000 126 15 0.1190
883.4000 126 16 0.1270
884.0000 127 16 0.1260
884.5000 127 17 0.1339
890.0000 128 17 0.1328
897.0000 129 17 0.1318
906.0000 130 17 0.1308
914.0000 131 17 0.1298
920.0000 132 17 0.1288
924.3000 132 18 0.1364
929.0000 133 18 0.1353
929.2000 133 19 0.1429
934.0000 134 19 0.1418
939.4000 134 20 0.1493
941.0000 135 20 0.1481
947.0000 136 20 0.1471
947.5000 136 21 0.1544
951.3000 136 22 0.1618
953.0000 137 22 0.1606
962.0000 138 22 0.1594
971.0000 139 22 0.1583
977.0000 140 22 0.1571
982.0000 141 22 0.1560
991.0000 142 22 0.1549
999.0000 143 22 0.1538
1006.0000 144 22 0.1528
1014.0000 145 22 0.1517
1023.0000 146 22 0.1507
1028.0000 147 22 0.1497
1034.0000 148 22 0.1486
1035.7000 148 23 0.1554
1040.0000 149 23 0.1544
1045.0000 150 23 0.1533
1053.0000 151 23 0.1523
1061.0000 152 23 0.1513
1064.1000 152 24 0.1579
1067.0000 153 24 0.1569
1075.0000 154 24 0.1558
1084.0000 155 24 0.1548
1093.0000 156 24 0.1538
1102.0000 157 24 0.1529
1109.0000 158 24 0.1519
1116.0000 159 24 0.1509
1123.0000 160 24 0.1500
1130.0000 161 24 0.1491
1136.0000 162 24 0.1481
1144.0000 163 24 0.1472
