# time  created  delivered  delivered/created
7.0000 1 0 0.0000
13.0000 2 0 0.0000
19.0000 3 0 0.0000
27.0000 4 0 0.0000
34.0000 5 0 0.0000
40.0000 6 0 0.0000
48.0000 7 0 0.0000
53.0000 8 0 0.0000
60.0000 9 0 0.0000
66.0000 10 0 0.0000
75.0000 11 0 0.0000
80.0000 12 0 0.0000
89.0000 13 0 0.0000
95.0000 14 0 0.0000
101.0000 15 0 0.0000
109.0000 16 0 0.0000
118.0000 17 0 0.0000
123.0000 18 0 0.0000
132.0000 19 0 0.0000
137.0000 20 0 0.0000
144.0000 21 0 0.0000
150.0000 22 0 0.0000
159.0000 23 0 0.0000
168.0000 24 0 0.0000
175.0000 25 0 0.0000
181.7000 25 1 0.0400
182.0000 26 1 0.0385
190.0000 27 1 0.0370
191.7000 27 2 0.0741
198.0000 28 2 0.0714
207.0000 29 2 0.0690
216.0000 30 2 0.0667
223.0000 31 2 0.0645
230.0000 32 2 0.0625
236.0000 33 2 0.0606
242.0000 34 2 0.0588
250.0000 35 2 0.0571
255.0000 36 2 0.0556
262.0000 37 2 0.0541
271.0000 38 2 0.0526
279.0000 39 2 0.0513
284.0000 40 2 0.0500
291.0000 41 2 0.0488
299.0000 42 2 0.0476
306.0000 43 2 0.0465
313.0000 44 2 0.0455
318.8000 44 3 0.0682
320.0000 45 3 0.0667
328.0000 46 3 0.0652
336.0000 47 3 0.0638
342.0000 48 3 0.0625
350.0000 49 3 0.0612
358.0000 50 3 0.0600
363.0000 51 3 0.0588
370.0000 52 3 0.0577
376.0000 53 3 0.0566
382.0000 54 3 0.0556
387.7000 54 4 0.0741
391.0000 55 4 0.0727
397.0000 56 4 0.0714
402.0000 57 4 0.0702
409.0000 58 4 0.0690
414.0000 59 4 0.0678
421.0000 60 4 0.0667
426.0000 61 4 0.0656
432.0000 62 4 0.0645
433.7000 62 5 0.0806
441.0000 63 5 0.0794
448.0000 64 5 0.0781
457.0000 65 5 0.0769
463.0000 66 5 0.0758
472.0000 67 5 0.0746
477.0000 68 5 0.0735
484.0000 69 5 0.0725
493.0000 70 5 0.0714
502.0000 71 5 0.0704
507.0000 72 5 0.0694
513.0000 73 5 0.0685
519.0000 74 5 0.0676
524.0000 75 5 0.0667
532.0000 76 5 0.0658
539.0000 77 5 0.0649
542.6000 77 6 0.0779
544.0000 78 6 0.0769
553.0000 79 6 0.0759
558.0000 80 6 0.0750
566.0000 81 6 0.0741
573.0000 82 6 0.0732
580.0000 83 6 0.0723
585.0000 84 6 0.0714
591.0000 85 6 0.0706
598.0000 86 6 0.0698
606.0000 87 6 0.0690
615.0000 88 6 0.0682
620.2000 88 7 0.0795
623.0000 89 7 0.0787
629.0000 90 7 0.0778
631.3000 90 8 0.0889
637.0000 91 8 0.0879
644.0000 92 8 0.0870
652.0000 93 8 0.0860
658.0000 94 8 0.0851
663.0000 95 8 0.0842
669.0000 96 8 0.0833
677.0000 97 8 0.0825
686.0000 98 8 0.0816
693.0000 99 8 0.0808
696.6000 99 9 0.0909
698.0000 100 9 0.0900
705.0000 101 9 0.0891
712.0000 102 9 0.0882
719.0000 103 9 0.0874
727.0000 104 9 0.0865
733.0000 105 9 0.0857
738.0000 106 9 0.0849
743.5000 106 10 0.0943
747.0000 107 10 0.0935
752.0000 108 10 0.0926
759.0000 109 10 0.0917
763.7000 109 11 0.1009
766.0000 110 11 0.1000
772.0000 111 11 0.0991
780.0000 112 11 0.0982
780.3000 112 12 0.1071
784.3000 112 13 0.1161
788.0000 113 13 0.1150
795.0000 114 13 0.1140
796.2000 114 14 0.1228
803.0000 115 14 0.1217
810.0000 116 14 0.1207
816.0000 117 14 0.1197
821.0000 118 14 0.1186
828.0000 119 14 0.1176
835.0000 120 14 0.1167
841.0000 121 14 0.1157
848.0000 122 14 0.1148
855.0000 123 14 0.1138
861.0000 124 14 0.1129
870.0000 125 14 0.1120
878.0000 126 14 0.1111
883.4000 126 15 0.1190
884.0000 127 15 0.1181
884.5000 127 16 0.1260
886.7000 127 17 0.1339
890.0000 128 17 0.1328
897.0000 129 17 0.1318
906.0000 130 17 0.1308
914.0000 131 17 0.1298
920.0000 132 17 0.1288
923.7000 132 18 0.1364
927.7000 132 19 0.1439
929.0000 133 19 0.1429
934.0000 134 19 0.1418
941.0000 135 19 0.1407
947.0000 136 19 0.1397
947.5000 136 20 0.1471
953.0000 137 20 0.1460
962.0000 138 20 0.1449
971.0000 139 20 0.1439
977.0000 140 20 0.1429
982.0000 141 20 0.1418
991.0000 142 20 0.1408
999.0000 143 20 0.1399
1006.0000 144 20 0.1389
1006.7000 144 21 0.1458
1014.0000 145 21 0.1448
1023.0000 146 21 0.1438
1028.0000 147 21 0.1429
1034.0000 148 21 0.1419
1035.7000 148 22 0.1486
1040.0000 149 22 0.1477
1045.0000 150 22 0.1467
1053.0000 151 22 0.1457
1061.0000 152 22 0.1447
1064.1000 152 23 0.1513
1067.0000 153 23 0.1503
1069.0000 153 24 0.1569
1075.0000 154 24 0.1558
1084.0000 155 24 0.1548
1090.9000 155 25 0.1613
1093.0000 156 25 0.1603
1102.0000 157 25 0.1592
1109.0000 158 25 0.1582
1111.1000 158 26 0.1646
1116.0000 159 26 0.1635
1119.5000 159 27 0.1698
1122.3000 159 28 0.1761
