# time  created  delivered  delivered/created
7.0000 1 0 0.0000
13.0000 2 0 0.0000
19.0000 3 0 0.0000
27.0000 4 0 0.0000
34.0000 5 0 0.0000
40.0000 6 0 0.0000
48.0000 7 0 0.0000
53.0000 8 0 0.0000
60.0000 9 0 0.0000
66.0000 10 0 0.0000
75.0000 11 0 0.0000
80.0000 12 0 0.0000
89.0000 13 0 0.0000
95.0000 14 0 0.0000
101.0000 15 0 0.0000
109.0000 16 0 0.0000
118.0000 17 0 0.0000
123.0000 18 0 0.0000
132.0000 19 0 0.0000
132.4000 19 1 0.0526
137.0000 20 1 0.0500
144.0000 21 1 0.0476
150.0000 22 1 0.0455
159.0000 23 1 0.0435
161.3000 23 2 0.0870
168.0000 24 2 0.0833
175.0000 25 2 0.0800
182.0000 26 2 0.0769
190.0000 27 2 0.0741
191.7000 27 3 0.1111
198.0000 28 3 0.1071
207.0000 29 3 0.1034
216.0000 30 3 0.1000
223.0000 31 3 0.0968
230.0000 32 3 0.0938
236.0000 33 3 0.0909
242.0000 34 3 0.0882
250.0000 35 3 0.0857
255.0000 36 3 0.0833
262.0000 37 3 0.0811
271.0000 38 3 0.0789
279.0000 39 3 0.0769
284.0000 40 3 0.0750
291.0000 41 3 0.0732
299.0000 42 3 0.0714
306.0000 43 3 0.0698
313.0000 44 3 0.0682
318.8000 44 4 0.0909
320.0000 45 4 0.0889
328.0000 46 4 0.0870
336.0000 47 4 0.0851
342.0000 48 4 0.0833
350.0000 49 4 0.0816
358.0000 50 4 0.0800
363.0000 51 4 0.0784
370.0000 52 4 0.0769
376.0000 53 4 0.0755
382.0000 54 4 0.0741
391.0000 55 4 0.0727
397.0000 56 4 0.0714
402.0000 57 4 0.0702
409.0000 58 4 0.0690
414.0000 59 4 0.0678
421.0000 60 4 0.0667
426.0000 61 4 0.0656
432.0000 62 4 0.0645
433.7000 62 5 0.0806
441.0000 63 5 0.0794
448.0000 64 5 0.0781
457.0000 65 5 0.0769
460.8000 65 6 0.0923
463.0000 66 6 0.0909
472.0000 67 6 0.0896
477.0000 68 6 0.0882
484.0000 69 6 0.0870
492.1000 69 7 0.1014
493.0000 70 7 0.1000
494.9000 70 8 0.1143
502.0000 71 8 0.1127
507.0000 72 8 0.1111
513.0000 73 8 0.1096
519.0000 74 8 0.1081
524.0000 75 8 0.1067
532.0000 76 8 0.1053
539.0000 77 8 0.1039
544.0000 78 8 0.1026
553.0000 79 8 0.1013
558.0000 80 8 0.1000
566.0000 81 8 0.0988
567.6000 81 9 0.1111
569.9000 81 10 0.1235
572.3000 81 11 0.1358
573.0000 82 11 0.1341
580.0000 83 11 0.1325
585.0000 84 11 0.1310
591.0000 85 11 0.1294
598.0000 86 11 0.1279
606.0000 87 11 0.1264
615.0000 88 11 0.1250
620.2000 88 12 0.1364
623.0000 89 12 0.1348
629.0000 90 12 0.1333
637.0000 91 12 0.1319
644.0000 92 12 0.1304
652.0000 93 12 0.1290
658.0000 94 12 0.1277
663.0000 95 12 0.1263
669.0000 96 12 0.1250
677.0000 97 12 0.1237
686.0000 98 12 0.1224
693.0000 99 12 0.1212
698.0000 100 12 0.1200
705.0000 101 12 0.1188
712.0000 102 12 0.1176
719.0000 103 12 0.1165
727.0000 104 12 0.1154
733.0000 105 12 0.1143
738.0000 106 12 0.1132
747.0000 107 12 0.1121
752.0000 108 12 0.1111
759.0000 109 12 0.1101
766.0000 110 12 0.1091
772.0000 111 12 0.1081
773.5000 111 13 0.1171
777.3000 111 14 0.1261
780.0000 112 14 0.1250
784.8000 112 15 0.1339
788.0000 113 15 0.1327
795.0000 114 15 0.1316
803.0000 115 15 0.1304
810.0000 116 15 0.1293
816.0000 117 15 0.1282
821.0000 118 15 0.1271
828.0000 119 15 0.1261
829.0000 119 16 0.1345
835.0000 120 16 0.1333
841.0000 121 16 0.1322
848.0000 122 16 0.1311
855.0000 123 16 0.1301
861.0000 124 16 0.1290
870.0000 125 16 0.1280
877.0000 125 17 0.1360
878.0000 126 17 0.1349
883.4000 126 18 0.1429
884.0000 127 18 0.1417
884.5000 127 19 0.1496
890.0000 128 19 0.1484
897.0000 129 19 0.1473
906.0000 130 19 0.1462
906.4000 130 20 0.1538
914.0000 131 20 0.1527
920.0000 132 20 0.1515
924.1000 132 21 0.1591
926.3000 132 22 0.1667
929.0000 133 22 0.1654
929.2000 133 23 0.1729
934.0000 134 23 0.1716
941.0000 135 23 0.1704
947.0000 136 23 0.1691
947.5000 136 24 0.1765
953.0000 137 24 0.1752
962.0000 138 24 0.1739
971.0000 139 24 0.1727
977.0000 140 24 0.1714
980.7000 140 25 0.1786
982.0000 141 25 0.1773
991.0000 142 25 0.1761
999.0000 143 25 0.1748
1006.0000 144 25 0.1736
1014.0000 145 25 0.1724
1023.0000 146 25 0.1712
1028.0000 147 25 0.1701
1034.0000 148 25 0.1689
1035.7000 148 26 0.1757
1040.0000 149 26 0.1745
1045.0000 150 26 0.1733
1053.0000 151 26 0.1722
1061.0000 152 26 0.1711
1064.1000 152 27 0.1776
1067.0000 153 27 0.1765
1075.0000 154 27 0.1753
1084.0000 155 27 0.1742
1091.8000 155 28 0.1806
1093.0000 156 28 0.1795
1102.0000 157 28 0.1783
1109.0000 158 28 0.1772
1116.0000 159 28 0.1761
