# time  created  delivered  delivered/created
7.0000 1 0 0.0000
13.0000 2 0 0.0000
19.0000 3 0 0.0000
27.0000 4 0 0.0000
34.0000 5 0 0.0000
40.0000 6 0 0.0000
48.0000 7 0 0.0000
53.0000 8 0 0.0000
60.0000 9 0 0.0000
66.0000 10 0 0.0000
75.0000 11 0 0.0000
80.0000 12 0 0.0000
89.0000 13 0 0.0000
95.0000 14 0 0.0000
101.0000 15 0 0.0000
109.0000 16 0 0.0000
118.0000 17 0 0.0000
123.0000 18 0 0.0000
132.0000 19 0 0.0000
137.0000 20 0 0.0000
144.0000 21 0 0.0000
150.0000 22 0 0.0000
159.0000 23 0 0.0000
168.0000 24 0 0.0000
175.0000 25 0 0.0000
182.0000 26 0 0.0000
190.0000 27 0 0.0000
198.0000 28 0 0.0000
207.0000 29 0 0.0000
216.0000 30 0 0.0000
223.0000 31 0 0.0000
224.9000 31 1 0.0323
230.0000 32 1 0.0313
236.0000 33 1 0.0303
242.0000 34 1 0.0294
250.0000 35 1 0.0286
255.0000 36 1 0.0278
259.8000 36 2 0.0556
262.0000 37 2 0.0541
271.0000 38 2 0.0526
279.0000 39 2 0.0513
284.0000 40 2 0.0500
291.0000 41 2 0.0488
299.0000 42 2 0.0476
303.3000 42 3 0.0714
306.0000 43 3 0.0698
313.0000 44 3 0.0682
320.0000 45 3 0.0667
328.0000 46 3 0.0652
336.0000 47 3 0.0638
342.0000 48 3 0.0625
350.0000 49 3 0.0612
358.0000 50 3 0.0600
363.0000 51 3 0.0588
363.5000 51 4 0.0784
370.0000 52 4 0.0769
376.0000 53 4 0.0755
382.0000 54 4 0.0741
390.0000 54 5 0.0926
391.0000 55 5 0.0909
397.0000 56 5 0.0893
402.0000 57 5 0.0877
409.0000 58 5 0.0862
414.0000 59 5 0.0847
414.8000 59 6 0.1017
421.0000 60 6 0.1000
426.0000 61 6 0.0984
432.0000 62 6 0.0968
441.0000 63 6 0.0952
447.3000 63 7 0.1111
448.0000 64 7 0.1094
457.0000 65 7 0.1077
463.0000 66 7 0.1061
472.0000 67 7 0.1045
475.4000 67 8 0.1194
477.0000 68 8 0.1176
477.5000 68 9 0.1324
479.7000 68 10 0.1471
484.0000 69 10 0.1449
487.5000 69 11 0.1594
493.0000 70 11 0.1571
494.3000 70 12 0.1714
495.0000 70 13 0.1857
502.0000 71 13 0.1831
506.2000 71 14 0.1972
507.0000 72 14 0.1944
513.0000 73 14 0.1918
519.0000 74 14 0.1892
524.0000 75 14 0.1867
532.0000 76 14 0.1842
537.4000 76 15 0.1974
539.0000 77 15 0.1948
540.6000 77 16 0.2078
544.0000 78 16 0.2051
553.0000 79 16 0.2025
558.0000 80 16 0.2000
566.0000 81 16 0.1975
573.0000 82 16 0.1951
580.0000 83 16 0.1928
585.0000 84 16 0.1905
591.0000 85 16 0.1882
598.0000 86 16 0.1860
606.0000 87 16 0.1839
615.0000 88 16 0.1818
623.0000 89 16 0.1798
629.0000 90 16 0.1778
637.0000 91 16 0.1758
644.0000 92 16 0.1739
652.0000 93 16 0.1720
658.0000 94 16 0.1702
663.0000 95 16 0.1684
669.0000 96 16 0.1667
677.0000 97 16 0.1649
686.0000 98 16 0.1633
693.0000 99 16 0.1616
698.0000 100 16 0.1600
705.0000 101 16 0.1584
708.3000 101 17 0.1683
711.6000 101 18 0.1782
712.0000 102 18 0.1765
719.0000 103 18 0.1748
719.0000 103 19 0.1845
722.3000 103 20 0.1942
727.0000 104 20 0.1923
732.5000 104 21 0.2019
733.0000 105 21 0.2000
738.0000 106 21 0.1981
743.5000 106 22 0.2075
747.0000 107 22 0.2056
752.0000 108 22 0.2037
759.0000 109 22 0.2018
761.5000 109 23 0.2110
766.0000 110 23 0.2091
772.0000 111 23 0.2072
780.0000 112 23 0.2054
788.0000 113 23 0.2035
795.0000 114 23 0.2018
803.0000 115 23 0.2000
810.0000 116 23 0.1983
816.0000 117 23 0.1966
821.0000 118 23 0.1949
828.0000 119 23 0.1933
831.9000 119 24 0.2017
835.0000 120 24 0.2000
841.0000 121 24 0.1983
841.8000 121 25 0.2066
848.0000 122 25 0.2049
855.0000 123 25 0.2033
861.0000 124 25 0.2016
870.0000 125 25 0.2000
878.0000 126 25 0.1984
884.0000 127 25 0.1969
890.0000 128 25 0.1953
897.0000 129 25 0.1938
906.0000 130 25 0.1923
913.4000 130 26 0.2000
914.0000 131 26 0.1985
920.0000 132 26 0.1970
929.0000 133 26 0.1955
934.0000 134 26 0.1940
938.2000 134 27 0.2015
941.0000 135 27 0.2000
942.1000 135 28 0.2074
947.0000 136 28 0.2059
953.0000 137 28 0.2044
953.9000 137 29 0.2117
957.9000 137 30 0.2190
962.0000 138 30 0.2174
963.3000 138 31 0.2246
971.0000 139 31 0.2230
977.0000 140 31 0.2214
982.0000 141 31 0.2199
983.8000 141 32 0.2270
991.0000 142 32 0.2254
999.0000 143 32 0.2238
1000.0000 143 33 0.2308
1006.0000 144 33 0.2292
1014.0000 145 33 0.2276
1023.0000 146 33 0.2260
1027.5000 146 34 0.2329
1028.0000 147 34 0.2313
1034.0000 148 34 0.2297
1034.8000 148 35 0.2365
1040.0000 149 35 0.2349
1045.0000 150 35 0.2333
1045.6000 150 36 0.2400
1053.0000 151 36 0.2384
