# messageDelay  cumulativeProbability
2.1000 0.0001
2.1000 0.0003
2.2000 0.0004
2.5000 0.0006
2.5000 0.0007
2.5000 0.0008
2.6000 0.0010
2.6000 0.0011
2.6000 0.0013
2.9000 0.0014
3.1000 0.0015
3.2000 0.0017
3.2000 0.0018
3.4000 0.0020
3.4000 0.0021
3.5000 0.0022
3.6000 0.0024
3.6000 0.0025
3.7000 0.0027
3.7000 0.0028
3.9000 0.0029
4.0000 0.0031
4.4000 0.0032
4.5000 0.0034
5.2000 0.0035
5.5000 0.0036
5.5000 0.0038
5.5000 0.0039
5.6000 0.0041
5.8000 0.0042
6.6000 0.0043
7.2000 0.0045
8.6000 0.0046
13.0000 0.0048
14.4000 0.0049
15.9000 0.0051
16.8000 0.0052
18.5000 0.0053
19.5000 0.0055
19.5000 0.0056
20.3000 0.0058
20.6000 0.0059
20.8000 0.0060
22.4000 0.0062
22.9000 0.0063
24.6000 0.0065
24.6000 0.0066
26.1000 0.0067
26.6000 0.0069
29.8000 0.0070
31.0000 0.0072
35.4000 0.0073
39.0000 0.0074
39.1000 0.0076
39.6000 0.0077
40.5000 0.0079
42.6000 0.0080
43.7000 0.0081
43.8000 0.0083
43.8000 0.0084
44.1000 0.0086
46.3000 0.0087
46.6000 0.0088
47.3000 0.0090
47.4000 0.0091
49.2000 0.0093
49.2000 0.0094
49.5000 0.0095
50.9000 0.0097
51.7000 0.0098
52.4000 0.0100
54.7000 0.0101
56.3000 0.0102
57.1000 0.0104
58.5000 0.0105
58.6000 0.0107
59.4000 0.0108
61.8000 0.0109
64.9000 0.0111
65.0000 0.0112
67.6000 0.0114
67.9000 0.0115
70.0000 0.0116
71.5000 0.0118
72.2000 0.0119
72.6000 0.0121
73.0000 0.0122
73.5000 0.0123
73.9000 0.0125
74.0000 0.0126
74.6000 0.0128
75.2000 0.0129
78.2000 0.0130
78.4000 0.0132
79.4000 0.0133
80.5000 0.0135
81.2000 0.0136
81.5000 0.0137
81.6000 0.0139
84.5000 0.0140
84.5000 0.0142
86.5000 0.0143
88.2000 0.0145
92.5000 0.0146
95.2000 0.0147
98.2000 0.0149
98.6000 0.0150
98.9000 0.0152
100.8000 0.0153
103.9000 0.0154
106.1000 0.0156
106.5000 0.0157
106.5000 0.0159
107.8000 0.0160
108.6000 0.0161
108.9000 0.0163
110.2000 0.0164
111.9000 0.0166
114.0000 0.0167
115.3000 0.0168
115.6000 0.0170
117.5000 0.0171
118.6000 0.0173
119.3000 0.0174
121.4000 0.0175
123.5000 0.0177
124.6000 0.0178
126.4000 0.0180
126.5000 0.0181
127.3000 0.0182
127.4000 0.0184
128.6000 0.0185
129.8000 0.0187
134.9000 0.0188
135.0000 0.0189
135.4000 0.0191
136.6000 0.0192
137.0000 0.0194
137.3000 0.0195
138.3000 0.0196
139.4000 0.0198
140.3000 0.0199
140.5000 0.0201
143.7000 0.0202
144.2000 0.0203
150.8000 0.0205
151.0000 0.0206
151.6000 0.0208
156.1000 0.0209
156.8000 0.0210
159.0000 0.0212
159.6000 0.0213
160.0000 0.0215
160.7000 0.0216
163.0000 0.0217
163.1000 0.0219
163.2000 0.0220
164.6000 0.0222
164.6000 0.0223
166.0000 0.0224
166.2000 0.0226
166.3000 0.0227
168.8000 0.0229
171.2000 0.0230
172.5000 0.0231
172.8000 0.0233
173.3000 0.0234
173.9000 0.0236
174.9000 0.0237
176.1000 0.0238
177.2000 0.0240
177.6000 0.0241
179.5000 0.0243
181.6000 0.0244
183.0000 0.0246
183.2000 0.0247
183.8000 0.0248
184.9000 0.0250
187.0000 0.0251
188.3000 0.0253
190.2000 0.0254
190.4000 0.0255
190.5000 0.0257
191.6000 0.0258
192.4000 0.0260
193.5000 0.0261
193.8000 0.0262
193.8000 0.0264
193.9000 0.0265
194.3000 0.0267
194.6000 0.0268
195.9000 0.0269
196.0000 0.0271
196.5000 0.0272
197.7000 0.0274
199.6000 0.0275
203.5000 0.0276
203.7000 0.0278
209.7000 0.0279
212.3000 0.0281
212.3000 0.0282
214.5000 0.0283
214.8000 0.0285
215.9000 0.0286
216.5000 0.0288
217.0000 0.0289
218.9000 0.0290
223.7000 0.0292
224.9000 0.0293
226.9000 0.0295
227.4000 0.0296
227.6000 0.0297
227.7000 0.0299
228.9000 0.0300
230.0000 0.0302
231.1000 0.0303
233.4000 0.0304
235.9000 0.0306
236.1000 0.0307
237.9000 0.0309
241.4000 0.0310
246.5000 0.0311
247.4000 0.0313
247.5000 0.0314
248.1000 0.0316
248.3000 0.0317
249.4000 0.0318
251.3000 0.0320
254.2000 0.0321
254.3000 0.0323
257.4000 0.0324
257.9000 0.0325
258.0000 0.0327
260.5000 0.0328
264.7000 0.0330
268.6000 0.0331
270.9000 0.0332
273.0000 0.0334
274.4000 0.0335
278.8000 0.0337
279.0000 0.0338
280.1000 0.0340
280.4000 0.0341
286.7000 0.0342
287.8000 0.0344
290.6000 0.0345
296.5000 0.0347
297.1000 0.0348
302.8000 0.0349
304.3000 0.0351
304.9000 0.0352
306.6000 0.0354
309.3000 0.0355
309.8000 0.0356
311.9000 0.0358
313.2000 0.0359
313.4000 0.0361
314.7000 0.0362
318.8000 0.0363
319.3000 0.0365
321.5000 0.0366
323.0000 0.0368
323.6000 0.0369
324.2000 0.0370
324.6000 0.0372
324.7000 0.0373
326.9000 0.0375
327.8000 0.0376
330.1000 0.0377
333.7000 0.0379
337.3000 0.0380
345.3000 0.0382
345.9000 0.0383
346.0000 0.0384
346.5000 0.0386
349.6000 0.0387
353.3000 0.0389
353.7000 0.0390
353.7000 0.0391
355.2000 0.0393
355.9000 0.0394
356.5000 0.0396
359.3000 0.0397
361.1000 0.0398
361.7000 0.0400
361.8000 0.0401
364.5000 0.0403
365.0000 0.0404
368.5000 0.0405
373.3000 0.0407
374.4000 0.0408
375.1000 0.0410
377.5000 0.0411
380.6000 0.0412
381.7000 0.0414
382.6000 0.0415
385.2000 0.0417
388.0000 0.0418
388.3000 0.0419
392.2000 0.0421
392.5000 0.0422
397.6000 0.0424
398.8000 0.0425
401.3000 0.0426
404.4000 0.0428
405.4000 0.0429
409.1000 0.0431
411.5000 0.0432
411.7000 0.0434
415.4000 0.0435
417.9000 0.0436
425.5000 0.0438
432.2000 0.0439
432.4000 0.0441
434.3000 0.0442
436.4000 0.0443
438.7000 0.0445
441.8000 0.0446
443.0000 0.0448
444.9000 0.0449
453.4000 0.0450
454.6000 0.0452
460.5000 0.0453
461.1000 0.0455
465.5000 0.0456
469.4000 0.0457
469.9000 0.0459
476.0000 0.0460
485.4000 0.0462
486.8000 0.0463
488.1000 0.0464
493.9000 0.0466
494.4000 0.0467
496.9000 0.0469
497.6000 0.0470
502.2000 0.0471
504.5000 0.0473
507.2000 0.0474
516.8000 0.0476
518.2000 0.0477
521.4000 0.0478
526.2000 0.0480
