# messageDelay  cumulativeProbability
2.1000 0.0001
2.1000 0.0003
2.2000 0.0004
2.5000 0.0006
2.5000 0.0007
2.5000 0.0008
2.6000 0.0010
2.6000 0.0011
2.6000 0.0013
2.7000 0.0014
2.9000 0.0015
3.0000 0.0017
3.1000 0.0018
3.2000 0.0020
3.2000 0.0021
3.4000 0.0022
3.4000 0.0024
3.4000 0.0025
3.5000 0.0027
3.6000 0.0028
3.6000 0.0029
3.7000 0.0031
3.7000 0.0032
3.9000 0.0034
3.9000 0.0035
4.0000 0.0036
4.5000 0.0038
4.6000 0.0039
4.7000 0.0041
4.8000 0.0042
5.2000 0.0043
5.3000 0.0045
5.5000 0.0046
5.6000 0.0048
5.8000 0.0049
6.2000 0.0051
6.4000 0.0052
6.9000 0.0053
6.9000 0.0055
7.0000 0.0056
7.1000 0.0058
7.2000 0.0059
8.6000 0.0060
9.3000 0.0062
10.4000 0.0063
10.5000 0.0065
10.8000 0.0066
11.2000 0.0067
13.1000 0.0069
13.9000 0.0070
14.4000 0.0072
15.1000 0.0073
15.9000 0.0074
16.8000 0.0076
18.3000 0.0077
18.5000 0.0079
18.5000 0.0080
19.5000 0.0081
19.5000 0.0083
20.3000 0.0084
20.8000 0.0086
21.0000 0.0087
22.0000 0.0088
23.1000 0.0090
23.1000 0.0091
24.6000 0.0093
26.1000 0.0094
26.6000 0.0095
29.4000 0.0097
29.8000 0.0098
30.5000 0.0100
31.6000 0.0101
31.8000 0.0102
33.8000 0.0104
37.9000 0.0105
39.1000 0.0107
39.6000 0.0108
39.7000 0.0109
40.3000 0.0111
40.5000 0.0112
41.7000 0.0114
42.6000 0.0115
43.8000 0.0116
46.0000 0.0118
46.1000 0.0119
46.6000 0.0121
47.4000 0.0122
48.2000 0.0123
48.8000 0.0125
49.0000 0.0126
49.3000 0.0128
50.9000 0.0129
51.4000 0.0130
51.7000 0.0132
52.4000 0.0133
52.9000 0.0135
55.0000 0.0136
55.8000 0.0137
55.9000 0.0139
56.3000 0.0140
58.4000 0.0142
58.5000 0.0143
58.6000 0.0145
59.4000 0.0146
59.7000 0.0147
61.8000 0.0149
64.6000 0.0150
65.5000 0.0152
65.7000 0.0153
67.0000 0.0154
68.2000 0.0156
70.0000 0.0157
70.2000 0.0159
71.1000 0.0160
71.5000 0.0161
71.9000 0.0163
72.6000 0.0164
73.0000 0.0166
74.0000 0.0167
74.8000 0.0168
75.9000 0.0170
78.2000 0.0171
78.4000 0.0173
79.1000 0.0174
80.2000 0.0175
81.9000 0.0177
82.9000 0.0178
84.5000 0.0180
84.5000 0.0181
86.5000 0.0182
87.8000 0.0184
89.1000 0.0185
92.3000 0.0187
92.5000 0.0188
94.3000 0.0189
97.9000 0.0191
98.9000 0.0192
98.9000 0.0194
98.9000 0.0195
99.3000 0.0196
100.8000 0.0198
100.9000 0.0199
102.9000 0.0201
103.1000 0.0202
103.9000 0.0203
104.9000 0.0205
105.9000 0.0206
106.1000 0.0208
106.5000 0.0209
108.7000 0.0210
108.9000 0.0212
109.0000 0.0213
110.2000 0.0215
111.6000 0.0216
111.9000 0.0217
112.3000 0.0219
114.0000 0.0220
114.6000 0.0222
114.7000 0.0223
115.3000 0.0224
116.1000 0.0226
117.5000 0.0227
119.3000 0.0229
120.3000 0.0230
122.4000 0.0231
123.5000 0.0233
126.4000 0.0234
126.6000 0.0236
128.6000 0.0237
128.6000 0.0238
128.8000 0.0240
129.8000 0.0241
131.9000 0.0243
134.3000 0.0244
135.0000 0.0246
135.4000 0.0247
137.3000 0.0248
137.7000 0.0250
137.9000 0.0251
138.6000 0.0253
139.4000 0.0254
140.3000 0.0255
140.9000 0.0257
141.6000 0.0258
143.8000 0.0260
144.4000 0.0261
149.4000 0.0262
150.1000 0.0264
150.6000 0.0265
153.3000 0.0267
154.7000 0.0268
156.0000 0.0269
156.8000 0.0271
158.1000 0.0272
160.7000 0.0274
160.9000 0.0275
161.6000 0.0276
162.3000 0.0278
163.1000 0.0279
164.7000 0.0281
165.0000 0.0282
167.7000 0.0283
169.8000 0.0285
170.2000 0.0286
171.2000 0.0288
171.8000 0.0289
172.5000 0.0290
172.5000 0.0292
173.1000 0.0293
173.9000 0.0295
175.5000 0.0296
175.6000 0.0297
177.2000 0.0299
178.4000 0.0300
178.5000 0.0302
179.9000 0.0303
180.1000 0.0304
182.6000 0.0306
184.9000 0.0307
186.3000 0.0309
186.3000 0.0310
188.3000 0.0311
190.2000 0.0313
191.2000 0.0314
191.6000 0.0316
191.8000 0.0317
192.1000 0.0318
192.6000 0.0320
192.7000 0.0321
193.5000 0.0323
193.8000 0.0324
193.9000 0.0325
194.1000 0.0327
197.7000 0.0328
198.5000 0.0330
198.6000 0.0331
199.5000 0.0332
200.0000 0.0334
201.4000 0.0335
201.6000 0.0337
203.2000 0.0338
203.8000 0.0340
206.7000 0.0341
206.7000 0.0342
209.7000 0.0344
212.2000 0.0345
212.3000 0.0347
214.6000 0.0348
214.7000 0.0349
216.0000 0.0351
216.5000 0.0352
217.0000 0.0354
217.4000 0.0355
219.9000 0.0356
220.6000 0.0358
221.6000 0.0359
222.3000 0.0361
223.7000 0.0362
225.4000 0.0363
225.5000 0.0365
227.4000 0.0366
227.7000 0.0368
227.8000 0.0369
228.6000 0.0370
228.8000 0.0372
230.6000 0.0373
230.8000 0.0375
230.9000 0.0376
231.3000 0.0377
232.0000 0.0379
234.1000 0.0380
234.6000 0.0382
235.1000 0.0383
235.6000 0.0384
236.1000 0.0386
236.6000 0.0387
237.0000 0.0389
237.2000 0.0390
237.4000 0.0391
239.0000 0.0393
239.7000 0.0394
242.0000 0.0396
243.8000 0.0397
244.5000 0.0398
245.8000 0.0400
247.5000 0.0401
248.3000 0.0403
248.6000 0.0404
248.6000 0.0405
249.5000 0.0407
251.5000 0.0408
252.3000 0.0410
253.8000 0.0411
254.4000 0.0412
257.2000 0.0414
260.4000 0.0415
260.7000 0.0417
263.6000 0.0418
263.7000 0.0419
264.7000 0.0421
266.3000 0.0422
267.1000 0.0424
269.8000 0.0425
270.5000 0.0426
275.0000 0.0428
275.2000 0.0429
278.7000 0.0431
278.9000 0.0432
279.0000 0.0434
280.3000 0.0435
280.8000 0.0436
281.1000 0.0438
282.0000 0.0439
283.2000 0.0441
283.3000 0.0442
284.4000 0.0443
286.7000 0.0445
287.0000 0.0446
287.8000 0.0448
287.8000 0.0449
287.9000 0.0450
288.7000 0.0452
288.9000 0.0453
289.9000 0.0455
293.3000 0.0456
293.8000 0.0457
295.1000 0.0459
302.2000 0.0460
304.1000 0.0462
304.3000 0.0463
304.5000 0.0464
304.7000 0.0466
306.3000 0.0467
307.8000 0.0469
309.8000 0.0470
310.6000 0.0471
311.4000 0.0473
311.6000 0.0474
313.4000 0.0476
314.3000 0.0477
315.3000 0.0478
319.4000 0.0480
