# time  created  delivered  delivered/created
7.0000 1 0 0.0000
13.0000 2 0 0.0000
19.0000 3 0 0.0000
27.0000 4 0 0.0000
34.0000 5 0 0.0000
40.0000 6 0 0.0000
48.0000 7 0 0.0000
53.0000 8 0 0.0000
60.0000 9 0 0.0000
66.0000 10 0 0.0000
75.0000 11 0 0.0000
80.0000 12 0 0.0000
89.0000 13 0 0.0000
95.0000 14 0 0.0000
101.0000 15 0 0.0000
109.0000 16 0 0.0000
118.0000 17 0 0.0000
123.0000 18 0 0.0000
132.0000 19 0 0.0000
137.0000 20 0 0.0000
144.0000 21 0 0.0000
150.0000 22 0 0.0000
159.0000 23 0 0.0000
168.0000 24 0 0.0000
175.0000 25 0 0.0000
178.7000 25 1 0.0400
182.0000 26 1 0.0385
190.0000 27 1 0.0370
198.0000 28 1 0.0357
207.0000 29 1 0.0345
216.0000 30 1 0.0333
223.0000 31 1 0.0323
224.9000 31 2 0.0645
230.0000 32 2 0.0625
236.0000 33 2 0.0606
242.0000 34 2 0.0588
250.0000 35 2 0.0571
255.0000 36 2 0.0556
261.8000 36 3 0.0833
262.0000 37 3 0.0811
271.0000 38 3 0.0789
274.0000 38 4 0.1053
279.0000 39 4 0.1026
284.0000 40 4 0.1000
288.3000 40 5 0.1250
291.0000 41 5 0.1220
299.0000 42 5 0.1190
306.0000 43 5 0.1163
313.0000 44 5 0.1136
320.0000 45 5 0.1111
328.0000 46 5 0.1087
336.0000 47 5 0.1064
342.0000 48 5 0.1042
350.0000 49 5 0.1020
358.0000 50 5 0.1000
363.0000 51 5 0.0980
370.0000 52 5 0.0962
376.0000 53 5 0.0943
382.0000 54 5 0.0926
387.3000 54 6 0.1111
390.9000 54 7 0.1296
391.0000 55 7 0.1273
397.0000 56 7 0.1250
402.0000 57 7 0.1228
409.0000 58 7 0.1207
414.0000 59 7 0.1186
421.0000 60 7 0.1167
425.9000 60 8 0.1333
426.0000 61 8 0.1311
432.0000 62 8 0.1290
441.0000 63 8 0.1270
447.3000 63 9 0.1429
448.0000 64 9 0.1406
451.8000 64 10 0.1563
457.0000 65 10 0.1538
463.0000 66 10 0.1515
469.6000 66 11 0.1667
472.0000 67 11 0.1642
474.4000 67 12 0.1791
477.0000 68 12 0.1765
477.0000 68 13 0.1912
483.4000 68 14 0.2059
484.0000 69 14 0.2029
488.5000 69 15 0.2174
493.0000 70 15 0.2143
496.9000 70 16 0.2286
500.4000 70 17 0.2429
501.1000 70 18 0.2571
502.0000 71 18 0.2535
506.3000 71 19 0.2676
507.0000 72 19 0.2639
513.0000 73 19 0.2603
518.0000 73 20 0.2740
519.0000 74 20 0.2703
524.0000 75 20 0.2667
524.6000 75 21 0.2800
529.9000 75 22 0.2933
532.0000 76 22 0.2895
534.6000 76 23 0.3026
539.0000 77 23 0.2987
544.0000 78 23 0.2949
545.3000 78 24 0.3077
548.7000 78 25 0.3205
553.0000 79 25 0.3165
557.0000 79 26 0.3291
558.0000 80 26 0.3250
566.0000 81 26 0.3210
569.6000 81 27 0.3333
573.0000 82 27 0.3293
580.0000 83 27 0.3253
585.0000 84 27 0.3214
591.0000 85 27 0.3176
598.0000 86 27 0.3140
606.0000 87 27 0.3103
615.0000 88 27 0.3068
623.0000 89 27 0.3034
629.0000 90 27 0.3000
637.0000 91 27 0.2967
644.0000 92 27 0.2935
652.0000 93 27 0.2903
658.0000 94 27 0.2872
663.0000 95 27 0.2842
669.0000 96 27 0.2813
677.0000 97 27 0.2784
681.1000 97 28 0.2887
686.0000 98 28 0.2857
693.0000 99 28 0.2828
698.0000 100 28 0.2800
705.0000 101 28 0.2772
708.3000 101 29 0.2871
711.6000 101 30 0.2970
712.0000 102 30 0.2941
714.6000 102 31 0.3039
719.0000 103 31 0.3010
727.0000 104 31 0.2981
731.6000 104 32 0.3077
733.0000 105 32 0.3048
738.0000 106 32 0.3019
739.3000 106 33 0.3113
740.0000 106 34 0.3208
744.9000 106 35 0.3302
747.0000 107 35 0.3271
752.0000 108 35 0.3241
759.0000 109 35 0.3211
766.0000 110 35 0.3182
772.0000 111 35 0.3153
780.0000 112 35 0.3125
784.7000 112 36 0.3214
788.0000 113 36 0.3186
795.0000 114 36 0.3158
799.2000 114 37 0.3246
801.4000 114 38 0.3333
803.0000 115 38 0.3304
810.0000 116 38 0.3276
816.0000 117 38 0.3248
821.0000 118 38 0.3220
828.0000 119 38 0.3193
835.0000 120 38 0.3167
841.0000 121 38 0.3140
841.8000 121 39 0.3223
844.0000 121 40 0.3306
848.0000 122 40 0.3279
855.0000 123 40 0.3252
861.0000 124 40 0.3226
870.0000 125 40 0.3200
878.0000 126 40 0.3175
884.0000 127 40 0.3150
890.0000 128 40 0.3125
891.3000 128 41 0.3203
897.0000 129 41 0.3178
906.0000 130 41 0.3154
907.1000 130 42 0.3231
907.4000 130 43 0.3308
914.0000 131 43 0.3282
920.0000 132 43 0.3258
929.0000 133 43 0.3233
934.0000 134 43 0.3209
938.2000 134 44 0.3284
941.0000 135 44 0.3259
942.1000 135 45 0.3333
947.0000 136 45 0.3309
953.0000 137 45 0.3285
962.0000 138 45 0.3261
963.3000 138 46 0.3333
971.0000 139 46 0.3309
977.0000 140 46 0.3286
982.0000 141 46 0.3262
991.0000 142 46 0.3239
