# time  created  delivered  delivered/created
7.0000 1 0 0.0000
13.0000 2 0 0.0000
19.0000 3 0 0.0000
27.0000 4 0 0.0000
34.0000 5 0 0.0000
40.0000 6 0 0.0000
48.0000 7 0 0.0000
53.0000 8 0 0.0000
60.0000 9 0 0.0000
66.0000 10 0 0.0000
75.0000 11 0 0.0000
80.0000 12 0 0.0000
89.0000 13 0 0.0000
95.0000 14 0 0.0000
101.0000 15 0 0.0000
109.0000 16 0 0.0000
118.0000 17 0 0.0000
123.0000 18 0 0.0000
132.0000 19 0 0.0000
137.0000 20 0 0.0000
144.0000 21 0 0.0000
150.0000 22 0 0.0000
159.0000 23 0 0.0000
168.0000 24 0 0.0000
175.0000 25 0 0.0000
176.8000 25 1 0.0400
182.0000 26 1 0.0385
190.0000 27 1 0.0370
198.0000 28 1 0.0357
207.0000 29 1 0.0345
216.0000 30 1 0.0333
223.0000 31 1 0.0323
230.0000 32 1 0.0313
236.0000 33 1 0.0303
237.7000 33 2 0.0606
242.0000 34 2 0.0588
250.0000 35 2 0.0571
255.0000 36 2 0.0556
259.8000 36 3 0.0833
262.0000 37 3 0.0811
271.0000 38 3 0.0789
279.0000 39 3 0.0769
284.0000 40 3 0.0750
291.0000 41 3 0.0732
298.0000 41 4 0.0976
299.0000 42 4 0.0952
306.0000 43 4 0.0930
313.0000 44 4 0.0909
320.0000 45 4 0.0889
328.0000 46 4 0.0870
336.0000 47 4 0.0851
342.0000 48 4 0.0833
350.0000 49 4 0.0816
358.0000 50 4 0.0800
363.0000 51 4 0.0784
370.0000 52 4 0.0769
376.0000 53 4 0.0755
382.0000 54 4 0.0741
384.1000 54 5 0.0926
391.0000 55 5 0.0909
397.0000 56 5 0.0893
402.0000 57 5 0.0877
409.0000 58 5 0.0862
414.0000 59 5 0.0847
421.0000 60 5 0.0833
426.0000 61 5 0.0820
432.0000 62 5 0.0806
436.4000 62 6 0.0968
441.0000 63 6 0.0952
448.0000 64 6 0.0938
449.2000 64 7 0.1094
451.8000 64 8 0.1250
457.0000 65 8 0.1231
463.0000 66 8 0.1212
469.6000 66 9 0.1364
472.0000 67 9 0.1343
473.2000 67 10 0.1493
477.0000 68 10 0.1471
484.0000 69 10 0.1449
486.1000 69 11 0.1594
493.0000 70 11 0.1571
502.0000 71 11 0.1549
505.8000 71 12 0.1690
507.0000 72 12 0.1667
513.0000 73 12 0.1644
519.0000 74 12 0.1622
524.0000 75 12 0.1600
524.5000 75 13 0.1733
527.7000 75 14 0.1867
532.0000 76 14 0.1842
532.4000 76 15 0.1974
539.0000 77 15 0.1948
544.0000 78 15 0.1923
553.0000 79 15 0.1899
558.0000 80 15 0.1875
563.7000 80 16 0.2000
566.0000 81 16 0.1975
573.0000 82 16 0.1951
580.0000 83 16 0.1928
585.0000 84 16 0.1905
591.0000 85 16 0.1882
594.3000 85 17 0.2000
598.0000 86 17 0.1977
606.0000 87 17 0.1954
615.0000 88 17 0.1932
623.0000 89 17 0.1910
629.0000 90 17 0.1889
637.0000 91 17 0.1868
644.0000 92 17 0.1848
652.0000 93 17 0.1828
658.0000 94 17 0.1809
663.0000 95 17 0.1789
669.0000 96 17 0.1771
677.0000 97 17 0.1753
681.2000 97 18 0.1856
686.0000 98 18 0.1837
693.0000 99 18 0.1818
695.7000 99 19 0.1919
698.0000 100 19 0.1900
700.9000 100 20 0.2000
705.0000 101 20 0.1980
708.3000 101 21 0.2079
711.6000 101 22 0.2178
712.0000 102 22 0.2157
719.0000 103 22 0.2136
727.0000 104 22 0.2115
731.5000 104 23 0.2212
733.0000 105 23 0.2190
738.0000 106 23 0.2170
744.9000 106 24 0.2264
746.1000 106 25 0.2358
747.0000 107 25 0.2336
752.0000 108 25 0.2315
754.6000 108 26 0.2407
759.0000 109 26 0.2385
766.0000 110 26 0.2364
767.3000 110 27 0.2455
772.0000 111 27 0.2432
780.0000 112 27 0.2411
788.0000 113 27 0.2389
795.0000 114 27 0.2368
799.4000 114 28 0.2456
803.0000 115 28 0.2435
810.0000 116 28 0.2414
816.0000 117 28 0.2393
821.0000 118 28 0.2373
828.0000 119 28 0.2353
835.0000 120 28 0.2333
841.0000 121 28 0.2314
841.5000 121 29 0.2397
848.0000 122 29 0.2377
855.0000 123 29 0.2358
861.0000 124 29 0.2339
870.0000 125 29 0.2320
878.0000 126 29 0.2302
884.0000 127 29 0.2283
890.0000 128 29 0.2266
890.7000 128 30 0.2344
891.3000 128 31 0.2422
897.0000 129 31 0.2403
901.5000 129 32 0.2481
904.4000 129 33 0.2558
906.0000 130 33 0.2538
914.0000 131 33 0.2519
920.0000 132 33 0.2500
921.7000 132 34 0.2576
929.0000 133 34 0.2556
933.2000 133 35 0.2632
934.0000 134 35 0.2612
938.2000 134 36 0.2687
939.9000 134 37 0.2761
941.0000 135 37 0.2741
947.0000 136 37 0.2721
953.0000 137 37 0.2701
953.9000 137 38 0.2774
962.0000 138 38 0.2754
963.3000 138 39 0.2826
971.0000 139 39 0.2806
977.0000 140 39 0.2786
982.0000 141 39 0.2766
991.0000 142 39 0.2746
999.0000 143 39 0.2727
1006.0000 144 39 0.2708
1014.0000 145 39 0.2690
1023.0000 146 39 0.2671
1028.0000 147 39 0.2653
1029.9000 147 40 0.2721
1034.0000 148 40 0.2703
