# messageDelay  cumulativeProbability
2.2000 0.0001
2.3000 0.0003
2.5000 0.0004
2.5000 0.0006
2.6000 0.0007
2.9000 0.0008
3.1000 0.0010
3.2000 0.0011
3.2000 0.0013
3.4000 0.0014
3.5000 0.0015
3.5000 0.0017
3.6000 0.0018
3.7000 0.0020
3.8000 0.0021
3.9000 0.0022
4.0000 0.0024
4.3000 0.0025
4.5000 0.0027
4.5000 0.0028
5.3000 0.0029
5.4000 0.0031
5.7000 0.0032
5.7000 0.0034
5.8000 0.0035
5.8000 0.0036
6.3000 0.0038
6.3000 0.0039
6.5000 0.0041
7.2000 0.0042
7.6000 0.0043
8.6000 0.0045
8.9000 0.0046
10.3000 0.0048
11.5000 0.0049
14.4000 0.0051
15.9000 0.0052
16.1000 0.0053
16.8000 0.0055
18.1000 0.0056
18.3000 0.0058
18.5000 0.0059
18.7000 0.0060
18.9000 0.0062
19.2000 0.0063
19.5000 0.0065
20.3000 0.0066
22.7000 0.0067
23.9000 0.0069
24.6000 0.0070
24.7000 0.0072
25.9000 0.0073
26.1000 0.0074
26.4000 0.0076
26.6000 0.0077
27.2000 0.0079
27.2000 0.0080
27.5000 0.0081
29.8000 0.0083
30.5000 0.0084
31.8000 0.0086
33.0000 0.0087
34.6000 0.0088
39.1000 0.0090
39.3000 0.0091
39.6000 0.0093
39.8000 0.0094
39.8000 0.0095
40.0000 0.0097
40.3000 0.0098
40.4000 0.0100
40.5000 0.0101
41.3000 0.0102
42.1000 0.0104
42.6000 0.0105
43.8000 0.0107
44.7000 0.0108
45.5000 0.0109
46.6000 0.0111
48.8000 0.0112
49.5000 0.0114
50.9000 0.0115
51.7000 0.0116
52.4000 0.0118
55.1000 0.0119
55.8000 0.0121
56.3000 0.0122
58.4000 0.0123
58.5000 0.0125
58.6000 0.0126
59.6000 0.0128
59.7000 0.0129
60.5000 0.0130
61.8000 0.0132
63.4000 0.0133
64.6000 0.0135
64.9000 0.0136
66.4000 0.0137
67.9000 0.0139
69.4000 0.0140
69.7000 0.0142
70.0000 0.0143
70.1000 0.0145
71.2000 0.0146
71.5000 0.0147
72.6000 0.0149
73.0000 0.0150
74.8000 0.0152
78.2000 0.0153
80.4000 0.0154
81.5000 0.0156
81.9000 0.0157
83.4000 0.0159
84.4000 0.0160
84.5000 0.0161
86.2000 0.0163
86.3000 0.0164
86.5000 0.0166
86.8000 0.0167
89.5000 0.0168
90.5000 0.0170
97.9000 0.0171
98.9000 0.0173
101.2000 0.0174
102.4000 0.0175
105.5000 0.0177
106.1000 0.0178
106.5000 0.0180
106.5000 0.0181
108.1000 0.0182
108.9000 0.0184
109.7000 0.0185
110.2000 0.0187
111.0000 0.0188
112.3000 0.0189
113.9000 0.0191
114.7000 0.0192
115.3000 0.0194
115.5000 0.0195
119.9000 0.0196
121.6000 0.0198
122.9000 0.0199
123.5000 0.0201
126.4000 0.0202
127.3000 0.0203
127.3000 0.0205
128.6000 0.0206
128.8000 0.0208
132.6000 0.0209
134.3000 0.0210
134.3000 0.0212
135.4000 0.0213
139.2000 0.0215
141.4000 0.0216
141.6000 0.0217
142.3000 0.0219
142.8000 0.0220
143.1000 0.0222
143.7000 0.0223
149.2000 0.0224
151.3000 0.0226
151.5000 0.0227
152.4000 0.0229
153.0000 0.0230
153.7000 0.0231
156.5000 0.0233
156.8000 0.0234
156.8000 0.0236
159.1000 0.0237
160.7000 0.0238
162.3000 0.0240
163.7000 0.0241
164.7000 0.0243
164.8000 0.0244
166.5000 0.0246
167.7000 0.0247
169.6000 0.0248
170.4000 0.0250
171.2000 0.0251
173.9000 0.0253
174.9000 0.0254
175.6000 0.0255
176.1000 0.0257
180.1000 0.0258
180.5000 0.0260
181.3000 0.0261
182.2000 0.0262
182.6000 0.0264
184.0000 0.0265
185.6000 0.0267
187.0000 0.0268
187.3000 0.0269
188.1000 0.0271
189.4000 0.0272
189.6000 0.0274
190.2000 0.0275
190.9000 0.0276
191.1000 0.0278
191.3000 0.0279
191.6000 0.0281
192.3000 0.0282
193.1000 0.0283
193.5000 0.0285
193.8000 0.0286
195.0000 0.0288
195.4000 0.0289
195.6000 0.0290
197.5000 0.0292
197.7000 0.0293
198.4000 0.0295
201.4000 0.0296
202.6000 0.0297
205.9000 0.0299
212.3000 0.0300
214.1000 0.0302
214.6000 0.0303
216.5000 0.0304
217.9000 0.0306
219.6000 0.0307
220.5000 0.0309
220.8000 0.0310
221.9000 0.0311
222.0000 0.0313
225.4000 0.0314
226.2000 0.0316
227.4000 0.0317
227.7000 0.0318
231.0000 0.0320
231.7000 0.0321
233.3000 0.0323
234.0000 0.0324
236.1000 0.0325
236.9000 0.0327
237.5000 0.0328
238.8000 0.0330
241.4000 0.0331
245.1000 0.0332
246.9000 0.0334
247.2000 0.0335
247.3000 0.0337
248.1000 0.0338
248.3000 0.0340
252.1000 0.0341
253.8000 0.0342
255.8000 0.0344
256.3000 0.0345
257.4000 0.0347
257.7000 0.0348
258.0000 0.0349
259.9000 0.0351
261.6000 0.0352
262.9000 0.0354
263.1000 0.0355
264.1000 0.0356
265.5000 0.0358
267.2000 0.0359
270.5000 0.0361
272.6000 0.0362
273.5000 0.0363
276.7000 0.0365
278.4000 0.0366
279.0000 0.0368
280.0000 0.0369
281.1000 0.0370
282.2000 0.0372
283.8000 0.0373
284.7000 0.0375
285.5000 0.0376
287.8000 0.0377
288.7000 0.0379
294.0000 0.0380
297.8000 0.0382
298.7000 0.0383
300.1000 0.0384
303.2000 0.0386
304.3000 0.0387
306.3000 0.0389
309.8000 0.0390
310.4000 0.0391
321.0000 0.0393
322.2000 0.0394
323.5000 0.0396
326.8000 0.0397
328.8000 0.0398
330.0000 0.0400
330.7000 0.0401
331.1000 0.0403
333.2000 0.0404
333.3000 0.0405
335.6000 0.0407
337.3000 0.0408
355.9000 0.0410
363.9000 0.0411
363.9000 0.0412
364.2000 0.0414
364.3000 0.0415
367.3000 0.0417
369.4000 0.0418
370.1000 0.0419
370.2000 0.0421
375.5000 0.0422
377.4000 0.0424
377.5000 0.0425
380.5000 0.0426
382.9000 0.0428
385.6000 0.0429
389.1000 0.0431
391.0000 0.0432
391.5000 0.0434
392.6000 0.0435
394.3000 0.0436
396.1000 0.0438
397.5000 0.0439
404.3000 0.0441
404.9000 0.0442
407.6000 0.0443
409.4000 0.0445
410.4000 0.0446
411.1000 0.0448
411.1000 0.0449
414.5000 0.0450
423.1000 0.0452
423.5000 0.0453
426.0000 0.0455
426.1000 0.0456
426.3000 0.0457
431.3000 0.0459
431.4000 0.0460
433.4000 0.0462
434.7000 0.0463
435.3000 0.0464
438.7000 0.0466
439.0000 0.0467
444.3000 0.0469
448.4000 0.0470
448.9000 0.0471
449.2000 0.0473
449.7000 0.0474
454.6000 0.0476
461.1000 0.0477
461.7000 0.0478
463.0000 0.0480
469.9000 0.0481
470.2000 0.0483
470.3000 0.0484
471.9000 0.0485
475.6000 0.0487
475.9000 0.0488
477.5000 0.0490
484.5000 0.0491
485.7000 0.0492
488.5000 0.0494
489.5000 0.0495
491.7000 0.0497
492.7000 0.0498
498.7000 0.0499
502.0000 0.0501
503.2000 0.0502
504.9000 0.0504
506.0000 0.0505
514.5000 0.0506
515.7000 0.0508
519.1000 0.0509
521.2000 0.0511
525.9000 0.0512
528.6000 0.0513
529.8000 0.0515
531.1000 0.0516
532.0000 0.0518
533.0000 0.0519
536.4000 0.0520
536.7000 0.0522
538.9000 0.0523
545.7000 0.0525
545.8000 0.0526
552.6000 0.0527
553.2000 0.0529
559.9000 0.0530
560.0000 0.0532
562.3000 0.0533
563.1000 0.0535
565.1000 0.0536
571.4000 0.0537
576.6000 0.0539
576.7000 0.0540
577.9000 0.0542
583.1000 0.0543
583.2000 0.0544
588.7000 0.0546
588.7000 0.0547
595.0000 0.0549
598.2000 0.0550
599.5000 0.0551
604.9000 0.0553
606.9000 0.0554
608.4000 0.0556
608.7000 0.0557
610.9000 0.0558
619.9000 0.0560
620.0000 0.0561
625.4000 0.0563
625.9000 0.0564
626.0000 0.0565
629.9000 0.0567
632.5000 0.0568
635.5000 0.0570
637.1000 0.0571
638.8000 0.0572
639.3000 0.0574
645.1000 0.0575
652.9000 0.0577
656.0000 0.0578
666.1000 0.0579
668.6000 0.0581
673.9000 0.0582
680.5000 0.0584
684.6000 0.0585
692.4000 0.0586
694.6000 0.0588
697.3000 0.0589
698.5000 0.0591
709.3000 0.0592
710.8000 0.0593
714.6000 0.0595
718.7000 0.0596
719.2000 0.0598
723.5000 0.0599
724.6000 0.0600
725.0000 0.0602
725.7000 0.0603
730.9000 0.0605
732.1000 0.0606
734.4000 0.0607
738.1000 0.0609
743.2000 0.0610
745.5000 0.0612
745.6000 0.0613
754.3000 0.0614
762.8000 0.0616
771.5000 0.0617
789.5000 0.0619
790.2000 0.0620
799.5000 0.0621
809.8000 0.0623
809.9000 0.0624
811.1000 0.0626
812.2000 0.0627
813.4000 0.0629
814.2000 0.0630
814.3000 0.0631
814.5000 0.0633
815.7000 0.0634
817.9000 0.0636
830.5000 0.0637
830.5000 0.0638
832.9000 0.0640
841.3000 0.0641
843.0000 0.0643
856.7000 0.0644
859.0000 0.0645
864.6000 0.0647
868.4000 0.0648
872.9000 0.0650
873.2000 0.0651
873.8000 0.0652
876.5000 0.0654
885.9000 0.0655
887.7000 0.0657
891.0000 0.0658
894.1000 0.0659
894.7000 0.0661
895.8000 0.0662
897.4000 0.0664
898.8000 0.0665
899.1000 0.0666
899.2000 0.0668
911.2000 0.0669
920.3000 0.0671
925.2000 0.0672
929.2000 0.0673
929.4000 0.0675
935.7000 0.0676
940.3000 0.0678
947.6000 0.0679
948.9000 0.0680
956.8000 0.0682
988.8000 0.0683
989.8000 0.0685
994.6000 0.0686
1007.9000 0.0687
1031.8000 0.0689
1061.9000 0.0690
1062.3000 0.0692
1062.4000 0.0693
1077.2000 0.0694
1078.0000 0.0696
1081.1000 0.0697
1084.8000 0.0699
1094.8000 0.0700
1110.5000 0.0701
