# time  created  delivered  delivered/created
7.0000 1 0 0.0000
13.0000 2 0 0.0000
19.0000 3 0 0.0000
27.0000 4 0 0.0000
34.0000 5 0 0.0000
40.0000 6 0 0.0000
48.0000 7 0 0.0000
53.0000 8 0 0.0000
60.0000 9 0 0.0000
66.0000 10 0 0.0000
75.0000 11 0 0.0000
80.0000 12 0 0.0000
89.0000 13 0 0.0000
95.0000 14 0 0.0000
101.0000 15 0 0.0000
109.0000 16 0 0.0000
118.0000 17 0 0.0000
123.0000 18 0 0.0000
132.0000 19 0 0.0000
137.0000 20 0 0.0000
144.0000 21 0 0.0000
150.0000 22 0 0.0000
159.0000 23 0 0.0000
168.0000 24 0 0.0000
175.0000 25 0 0.0000
178.9000 25 1 0.0400
182.0000 26 1 0.0385
190.0000 27 1 0.0370
198.0000 28 1 0.0357
207.0000 29 1 0.0345
216.0000 30 1 0.0333
223.0000 31 1 0.0323
230.0000 32 1 0.0313
236.0000 33 1 0.0303
242.0000 34 1 0.0294
249.8000 34 2 0.0588
250.0000 35 2 0.0571
255.0000 36 2 0.0556
259.8000 36 3 0.0833
262.0000 37 3 0.0811
263.5000 37 4 0.1081
271.0000 38 4 0.1053
273.9000 38 5 0.1316
279.0000 39 5 0.1282
284.0000 40 5 0.1250
291.0000 41 5 0.1220
299.0000 42 5 0.1190
306.0000 43 5 0.1163
313.0000 44 5 0.1136
320.0000 45 5 0.1111
328.0000 46 5 0.1087
336.0000 47 5 0.1064
342.0000 48 5 0.1042
350.0000 49 5 0.1020
358.0000 50 5 0.1000
363.0000 51 5 0.0980
363.5000 51 6 0.1176
370.0000 52 6 0.1154
376.0000 53 6 0.1132
382.0000 54 6 0.1111
387.6000 54 7 0.1296
391.0000 55 7 0.1273
397.0000 56 7 0.1250
402.0000 57 7 0.1228
409.0000 58 7 0.1207
414.0000 59 7 0.1186
419.5000 59 8 0.1356
421.0000 60 8 0.1333
425.9000 60 9 0.1500
426.0000 61 9 0.1475
432.0000 62 9 0.1452
441.0000 63 9 0.1429
448.0000 64 9 0.1406
448.6000 64 10 0.1563
451.8000 64 11 0.1719
457.0000 65 11 0.1692
461.6000 65 12 0.1846
463.0000 66 12 0.1818
469.6000 66 13 0.1970
472.0000 67 13 0.1940
476.8000 67 14 0.2090
477.0000 68 14 0.2059
484.0000 69 14 0.2029
493.0000 70 14 0.2000
493.5000 70 15 0.2143
493.6000 70 16 0.2286
496.0000 70 17 0.2429
502.0000 71 17 0.2394
505.8000 71 18 0.2535
507.0000 72 18 0.2500
513.0000 73 18 0.2466
517.8000 73 19 0.2603
519.0000 74 19 0.2568
523.5000 74 20 0.2703
523.7000 74 21 0.2838
524.0000 75 21 0.2800
528.0000 75 22 0.2933
529.0000 75 23 0.3067
529.9000 75 24 0.3200
532.0000 76 24 0.3158
539.0000 77 24 0.3117
539.0000 77 25 0.3247
544.0000 78 25 0.3205
553.0000 79 25 0.3165
558.0000 80 25 0.3125
566.0000 81 25 0.3086
573.0000 82 25 0.3049
580.0000 83 25 0.3012
585.0000 84 25 0.2976
591.0000 85 25 0.2941
598.0000 86 25 0.2907
606.0000 87 25 0.2874
615.0000 88 25 0.2841
623.0000 89 25 0.2809
626.5000 89 26 0.2921
629.0000 90 26 0.2889
637.0000 91 26 0.2857
644.0000 92 26 0.2826
644.2000 92 27 0.2935
652.0000 93 27 0.2903
658.0000 94 27 0.2872
663.0000 95 27 0.2842
669.0000 96 27 0.2813
677.0000 97 27 0.2784
686.0000 98 27 0.2755
693.0000 99 27 0.2727
698.0000 100 27 0.2700
700.4000 100 28 0.2800
705.0000 101 28 0.2772
708.3000 101 29 0.2871
711.6000 101 30 0.2970
712.0000 102 30 0.2941
718.9000 102 31 0.3039
719.0000 103 31 0.3010
724.9000 103 32 0.3107
727.0000 104 32 0.3077
733.0000 105 32 0.3048
734.5000 105 33 0.3143
738.0000 106 33 0.3113
744.2000 106 34 0.3208
744.3000 106 35 0.3302
747.0000 107 35 0.3271
752.0000 108 35 0.3241
758.4000 108 36 0.3333
759.0000 109 36 0.3303
766.0000 110 36 0.3273
772.0000 111 36 0.3243
780.0000 112 36 0.3214
788.0000 113 36 0.3186
795.0000 114 36 0.3158
799.8000 114 37 0.3246
803.0000 115 37 0.3217
810.0000 116 37 0.3190
816.0000 117 37 0.3162
821.0000 118 37 0.3136
828.0000 119 37 0.3109
835.0000 120 37 0.3083
841.0000 121 37 0.3058
841.8000 121 38 0.3140
848.0000 122 38 0.3115
855.0000 123 38 0.3089
861.0000 124 38 0.3065
870.0000 125 38 0.3040
878.0000 126 38 0.3016
884.0000 127 38 0.2992
884.4000 127 39 0.3071
885.6000 127 40 0.3150
890.0000 128 40 0.3125
897.0000 129 40 0.3101
905.0000 129 41 0.3178
906.0000 130 41 0.3154
913.4000 130 42 0.3231
914.0000 131 42 0.3206
920.0000 132 42 0.3182
929.0000 133 42 0.3158
934.0000 134 42 0.3134
934.7000 134 43 0.3209
938.2000 134 44 0.3284
941.0000 135 44 0.3259
942.2000 135 45 0.3333
944.9000 135 46 0.3407
947.0000 136 46 0.3382
953.0000 137 46 0.3358
962.0000 138 46 0.3333
963.0000 138 47 0.3406
966.3000 138 48 0.3478
971.0000 139 48 0.3453
977.0000 140 48 0.3429
