# messageDelay  cumulativeProbability
2.1000 0.0001
2.1000 0.0003
2.2000 0.0004
2.3000 0.0006
2.4000 0.0007
2.4000 0.0008
2.5000 0.0010
2.5000 0.0011
2.5000 0.0013
2.6000 0.0014
2.6000 0.0015
2.6000 0.0017
2.8000 0.0018
2.9000 0.0020
3.0000 0.0021
3.1000 0.0022
3.2000 0.0024
3.2000 0.0025
3.2000 0.0027
3.2000 0.0028
3.3000 0.0029
3.4000 0.0031
3.4000 0.0032
3.5000 0.0034
3.5000 0.0035
3.6000 0.0036
3.6000 0.0038
3.7000 0.0039
3.7000 0.0041
3.9000 0.0042
4.0000 0.0043
4.5000 0.0045
4.7000 0.0046
5.3000 0.0048
5.8000 0.0049
6.2000 0.0051
6.4000 0.0052
6.9000 0.0053
7.2000 0.0055
7.5000 0.0056
8.0000 0.0058
8.1000 0.0059
8.3000 0.0060
8.6000 0.0062
8.6000 0.0063
10.0000 0.0065
10.5000 0.0066
10.6000 0.0067
10.8000 0.0069
11.2000 0.0070
12.3000 0.0072
13.3000 0.0073
13.9000 0.0074
14.4000 0.0076
14.6000 0.0077
15.1000 0.0079
15.9000 0.0080
15.9000 0.0081
16.1000 0.0083
16.5000 0.0084
16.8000 0.0086
17.1000 0.0087
17.2000 0.0088
18.2000 0.0090
18.2000 0.0091
18.5000 0.0093
19.1000 0.0094
19.5000 0.0095
19.8000 0.0097
20.3000 0.0098
20.7000 0.0100
21.0000 0.0101
21.2000 0.0102
21.5000 0.0104
23.6000 0.0105
24.1000 0.0107
24.5000 0.0108
24.6000 0.0109
24.6000 0.0111
25.9000 0.0112
26.1000 0.0114
26.6000 0.0115
27.4000 0.0116
29.0000 0.0118
29.7000 0.0119
29.8000 0.0121
30.5000 0.0122
31.4000 0.0123
33.8000 0.0125
34.6000 0.0126
35.4000 0.0128
36.4000 0.0129
37.1000 0.0130
37.8000 0.0132
37.8000 0.0133
39.1000 0.0135
39.4000 0.0136
39.4000 0.0137
39.6000 0.0139
40.0000 0.0140
40.1000 0.0142
40.5000 0.0143
41.3000 0.0145
41.4000 0.0146
41.9000 0.0147
42.6000 0.0149
42.7000 0.0150
43.4000 0.0152
43.8000 0.0153
44.8000 0.0154
45.5000 0.0156
45.5000 0.0157
46.6000 0.0159
47.4000 0.0160
48.8000 0.0161
49.2000 0.0163
50.5000 0.0164
50.9000 0.0166
51.7000 0.0167
52.4000 0.0168
55.8000 0.0170
55.9000 0.0171
56.0000 0.0173
56.3000 0.0174
58.2000 0.0175
58.6000 0.0177
58.7000 0.0178
59.6000 0.0180
59.7000 0.0181
60.1000 0.0182
60.6000 0.0184
61.7000 0.0185
61.8000 0.0187
61.9000 0.0188
63.9000 0.0189
64.6000 0.0191
64.8000 0.0192
64.9000 0.0194
65.0000 0.0195
65.5000 0.0196
66.9000 0.0198
67.1000 0.0199
67.6000 0.0201
67.9000 0.0202
68.5000 0.0203
69.4000 0.0205
70.0000 0.0206
70.1000 0.0208
70.6000 0.0209
70.8000 0.0210
71.1000 0.0212
71.5000 0.0213
71.5000 0.0215
72.3000 0.0216
72.4000 0.0217
73.0000 0.0219
73.0000 0.0220
74.0000 0.0222
74.8000 0.0223
75.2000 0.0224
75.4000 0.0226
76.0000 0.0227
78.2000 0.0229
78.4000 0.0230
78.6000 0.0231
79.4000 0.0233
80.1000 0.0234
80.3000 0.0236
80.8000 0.0237
81.2000 0.0238
81.2000 0.0240
81.5000 0.0241
81.5000 0.0243
81.8000 0.0244
82.1000 0.0246
83.5000 0.0247
84.5000 0.0248
85.8000 0.0250
86.0000 0.0251
86.1000 0.0253
86.3000 0.0254
86.3000 0.0255
86.5000 0.0257
86.5000 0.0258
87.0000 0.0260
87.5000 0.0261
88.2000 0.0262
89.5000 0.0264
90.5000 0.0265
91.2000 0.0267
92.5000 0.0268
92.8000 0.0269
94.7000 0.0271
95.2000 0.0272
96.3000 0.0274
96.3000 0.0275
96.4000 0.0276
96.8000 0.0278
97.3000 0.0279
97.5000 0.0281
97.9000 0.0282
98.6000 0.0283
98.9000 0.0285
99.0000 0.0286
99.1000 0.0288
99.3000 0.0289
100.8000 0.0290
102.4000 0.0292
102.5000 0.0293
103.1000 0.0295
105.0000 0.0296
105.9000 0.0297
106.1000 0.0299
106.5000 0.0300
106.5000 0.0302
108.3000 0.0303
108.9000 0.0304
109.4000 0.0306
109.4000 0.0307
109.7000 0.0309
109.8000 0.0310
110.1000 0.0311
110.2000 0.0313
110.8000 0.0314
111.9000 0.0316
112.1000 0.0317
112.1000 0.0318
112.2000 0.0320
112.3000 0.0321
112.3000 0.0323
113.1000 0.0324
113.4000 0.0325
113.5000 0.0327
113.6000 0.0328
113.9000 0.0330
114.0000 0.0331
114.0000 0.0332
114.0000 0.0334
114.6000 0.0335
114.8000 0.0337
118.3000 0.0338
118.5000 0.0340
118.6000 0.0341
119.1000 0.0342
119.2000 0.0344
119.2000 0.0345
119.2000 0.0347
119.3000 0.0348
120.1000 0.0349
120.4000 0.0351
120.8000 0.0352
121.0000 0.0354
121.9000 0.0355
122.2000 0.0356
123.4000 0.0358
123.9000 0.0359
124.2000 0.0361
126.4000 0.0362
126.5000 0.0363
127.1000 0.0365
127.9000 0.0366
128.2000 0.0368
128.3000 0.0369
128.6000 0.0370
128.7000 0.0372
128.7000 0.0373
128.8000 0.0375
129.4000 0.0376
129.4000 0.0377
129.8000 0.0379
129.8000 0.0380
130.3000 0.0382
131.4000 0.0383
133.3000 0.0384
133.6000 0.0386
133.9000 0.0387
133.9000 0.0389
134.2000 0.0390
134.3000 0.0391
135.0000 0.0393
135.4000 0.0394
135.5000 0.0396
135.7000 0.0397
136.8000 0.0398
137.3000 0.0400
137.8000 0.0401
137.9000 0.0403
137.9000 0.0404
138.5000 0.0405
138.5000 0.0407
138.6000 0.0408
139.2000 0.0410
139.4000 0.0411
139.6000 0.0412
140.3000 0.0414
140.3000 0.0415
140.9000 0.0417
141.3000 0.0418
141.9000 0.0419
142.0000 0.0421
142.9000 0.0422
142.9000 0.0424
143.1000 0.0425
143.4000 0.0426
143.7000 0.0428
144.1000 0.0429
144.5000 0.0431
145.2000 0.0432
145.4000 0.0434
145.8000 0.0435
146.3000 0.0436
146.6000 0.0438
147.1000 0.0439
147.2000 0.0441
147.2000 0.0442
149.4000 0.0443
149.4000 0.0445
150.3000 0.0446
150.4000 0.0448
150.8000 0.0449
150.8000 0.0450
151.1000 0.0452
151.3000 0.0453
151.7000 0.0455
152.4000 0.0456
153.0000 0.0457
153.6000 0.0459
154.4000 0.0460
155.9000 0.0462
156.0000 0.0463
156.1000 0.0464
156.2000 0.0466
156.2000 0.0467
156.4000 0.0469
156.4000 0.0470
156.5000 0.0471
156.7000 0.0473
156.8000 0.0474
158.1000 0.0476
158.7000 0.0477
159.6000 0.0478
160.7000 0.0480
