# messageDelay  cumulativeProbability
2.0000 0.0007
2.0000 0.0014
2.0000 0.0021
2.0000 0.0028
2.0000 0.0035
2.0000 0.0043
2.0000 0.0050
2.0000 0.0057
2.0000 0.0064
2.0000 0.0071
2.0000 0.0078
2.0000 0.0085
3.0000 0.0092
3.0000 0.0099
3.0000 0.0106
3.0000 0.0113
3.0000 0.0120
3.0000 0.0128
3.0000 0.0135
3.0000 0.0142
3.0000 0.0149
4.0000 0.0156
5.0000 0.0163
10.0000 0.0170
10.0000 0.0177
11.0000 0.0184
11.0000 0.0191
12.0000 0.0198
12.0000 0.0206
14.0000 0.0213
16.0000 0.0220
16.0000 0.0227
17.0000 0.0234
17.0000 0.0241
17.0000 0.0248
17.0000 0.0255
17.0000 0.0262
18.0000 0.0269
19.0000 0.0276
20.0000 0.0283
20.0000 0.0291
21.0000 0.0298
21.0000 0.0305
22.0000 0.0312
24.0000 0.0319
24.0000 0.0326
24.0000 0.0333
24.0000 0.0340
24.0000 0.0347
25.0000 0.0354
25.0000 0.0361
26.0000 0.0369
26.0000 0.0376
26.0000 0.0383
26.0000 0.0390
26.0000 0.0397
27.0000 0.0404
27.0000 0.0411
28.0000 0.0418
30.0000 0.0425
30.0000 0.0432
31.0000 0.0439
31.0000 0.0446
34.0000 0.0454
34.0000 0.0461
36.0000 0.0468
38.0000 0.0475
39.0000 0.0482
40.0000 0.0489
40.0000 0.0496
42.0000 0.0503
42.0000 0.0510
43.0000 0.0517
44.0000 0.0524
45.0000 0.0532
45.0000 0.0539
47.0000 0.0546
48.0000 0.0553
49.0000 0.0560
51.0000 0.0567
51.0000 0.0574
51.0000 0.0581
54.0000 0.0588
55.0000 0.0595
56.0000 0.0602
57.0000 0.0609
57.0000 0.0617
58.0000 0.0624
59.0000 0.0631
59.0000 0.0638
60.0000 0.0645
60.0000 0.0652
61.0000 0.0659
61.0000 0.0666
62.0000 0.0673
63.0000 0.0680
63.0000 0.0687
63.0000 0.0695
64.0000 0.0702
64.0000 0.0709
67.0000 0.0716
69.0000 0.0723
69.0000 0.0730
71.0000 0.0737
71.0000 0.0744
72.0000 0.0751
72.0000 0.0758
74.0000 0.0765
77.0000 0.0773
80.0000 0.0780
82.0000 0.0787
83.0000 0.0794
83.0000 0.0801
84.0000 0.0808
85.0000 0.0815
86.0000 0.0822
87.0000 0.0829
87.0000 0.0836
88.0000 0.0843
89.0000 0.0850
89.0000 0.0858
89.0000 0.0865
93.0000 0.0872
96.0000 0.0879
96.0000 0.0886
100.0000 0.0893
100.0000 0.0900
100.0000 0.0907
100.0000 0.0914
100.0000 0.0921
100.0000 0.0928
101.0000 0.0936
101.0000 0.0943
102.0000 0.0950
102.0000 0.0957
102.0000 0.0964
102.0000 0.0971
102.0000 0.0978
103.0000 0.0985
103.0000 0.0992
103.0000 0.0999
104.0000 0.1006
108.0000 0.1013
111.0000 0.1021
111.0000 0.1028
113.0000 0.1035
113.0000 0.1042
113.0000 0.1049
114.0000 0.1056
114.0000 0.1063
115.0000 0.1070
115.0000 0.1077
116.0000 0.1084
116.0000 0.1091
116.0000 0.1099
118.0000 0.1106
120.0000 0.1113
124.0000 0.1120
125.0000 0.1127
127.0000 0.1134
129.0000 0.1141
129.0000 0.1148
130.0000 0.1155
131.0000 0.1162
132.0000 0.1169
132.0000 0.1176
135.0000 0.1184
135.0000 0.1191
135.0000 0.1198
137.0000 0.1205
139.0000 0.1212
140.0000 0.1219
140.0000 0.1226
141.0000 0.1233
141.0000 0.1240
142.0000 0.1247
143.0000 0.1254
145.0000 0.1262
145.0000 0.1269
146.0000 0.1276
147.0000 0.1283
148.0000 0.1290
151.0000 0.1297
151.0000 0.1304
152.0000 0.1311
152.0000 0.1318
153.0000 0.1325
153.0000 0.1332
154.0000 0.1339
155.0000 0.1347
155.0000 0.1354
156.0000 0.1361
158.0000 0.1368
158.0000 0.1375
159.0000 0.1382
159.0000 0.1389
160.0000 0.1396
163.0000 0.1403
164.0000 0.1410
165.0000 0.1417
167.0000 0.1425
168.0000 0.1432
168.0000 0.1439
168.0000 0.1446
169.0000 0.1453
169.0000 0.1460
170.0000 0.1467
172.0000 0.1474
173.0000 0.1481
174.0000 0.1488
174.0000 0.1495
175.0000 0.1502
176.0000 0.1510
178.0000 0.1517
180.0000 0.1524
180.0000 0.1531
181.0000 0.1538
181.0000 0.1545
182.0000 0.1552
183.0000 0.1559
184.0000 0.1566
184.0000 0.1573
185.0000 0.1580
186.0000 0.1588
190.0000 0.1595
191.0000 0.1602
192.0000 0.1609
194.0000 0.1616
196.0000 0.1623
196.0000 0.1630
197.0000 0.1637
199.0000 0.1644
199.0000 0.1651
199.0000 0.1658
201.0000 0.1665
202.0000 0.1673
203.0000 0.1680
203.0000 0.1687
208.0000 0.1694
210.0000 0.1701
210.0000 0.1708
211.0000 0.1715
214.0000 0.1722
214.0000 0.1729
215.0000 0.1736
216.0000 0.1743
217.0000 0.1751
217.0000 0.1758
218.0000 0.1765
224.0000 0.1772
225.0000 0.1779
225.0000 0.1786
226.0000 0.1793
229.0000 0.1800
231.0000 0.1807
234.0000 0.1814
235.0000 0.1821
236.0000 0.1828
237.0000 0.1836
237.0000 0.1843
239.0000 0.1850
242.0000 0.1857
242.0000 0.1864
242.0000 0.1871
243.0000 0.1878
243.0000 0.1885
247.0000 0.1892
247.0000 0.1899
248.0000 0.1906
248.0000 0.1914
249.0000 0.1921
250.0000 0.1928
252.0000 0.1935
255.0000 0.1942
256.0000 0.1949
257.0000 0.1956
257.0000 0.1963
258.0000 0.1970
259.0000 0.1977
260.0000 0.1984
261.0000 0.1991
263.0000 0.1999
267.0000 0.2006
267.0000 0.2013
267.0000 0.2020
268.0000 0.2027
268.0000 0.2034
269.0000 0.2041
270.0000 0.2048
274.0000 0.2055
275.0000 0.2062
276.0000 0.2069
278.0000 0.2077
280.0000 0.2084
281.0000 0.2091
283.0000 0.2098
284.0000 0.2105
288.0000 0.2112
288.0000 0.2119
290.0000 0.2126
291.0000 0.2133
292.0000 0.2140
294.0000 0.2147
296.0000 0.2155
296.0000 0.2162
297.0000 0.2169
301.0000 0.2176
303.0000 0.2183
304.0000 0.2190
305.0000 0.2197
305.0000 0.2204
307.0000 0.2211
308.0000 0.2218
311.0000 0.2225
312.0000 0.2232
313.0000 0.2240
