# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
21.0000 3 0 0.0000
29.0000 4 0 0.0000
37.0000 5 0 0.0000
44.0000 6 0 0.0000
50.0000 7 0 0.0000
58.0000 8 0 0.0000
66.0000 9 0 0.0000
71.0000 10 0 0.0000
79.0000 11 0 0.0000
85.0000 12 0 0.0000
87.0000 12 1 0.0833
91.0000 13 1 0.0769
97.0000 14 1 0.0714
105.0000 15 1 0.0667
112.0000 16 1 0.0625
121.0000 17 1 0.0588
128.0000 18 1 0.0556
134.0000 19 1 0.0526
141.0000 20 1 0.0500
149.0000 21 1 0.0476
155.0000 22 1 0.0455
157.0000 22 2 0.0909
163.0000 23 2 0.0870
168.0000 24 2 0.0833
171.0000 24 3 0.1250
177.0000 25 3 0.1200
182.0000 26 3 0.1154
184.0000 26 4 0.1538
188.0000 27 4 0.1481
193.0000 28 4 0.1429
199.0000 29 4 0.1379
201.0000 29 5 0.1724
204.0000 30 5 0.1667
213.0000 31 5 0.1613
219.0000 32 5 0.1563
228.0000 33 5 0.1515
232.0000 33 6 0.1818
235.0000 34 6 0.1765
244.0000 35 6 0.1714
250.0000 35 7 0.2000
251.0000 36 7 0.1944
259.0000 37 7 0.1892
268.0000 38 7 0.1842
276.0000 39 7 0.1795
283.0000 39 8 0.2051
284.0000 40 8 0.2000
285.0000 40 9 0.2250
293.0000 41 9 0.2195
300.0000 42 9 0.2143
305.0000 43 9 0.2093
305.0000 43 10 0.2326
310.0000 44 10 0.2273
315.0000 45 10 0.2222
323.0000 46 10 0.2174
323.0000 46 11 0.2391
330.0000 47 11 0.2340
336.0000 48 11 0.2292
343.0000 49 11 0.2245
352.0000 50 11 0.2200
357.0000 51 11 0.2157
359.0000 51 12 0.2353
365.0000 52 12 0.2308
371.0000 53 12 0.2264
376.0000 53 13 0.2453
378.0000 54 13 0.2407
386.0000 55 13 0.2364
392.0000 56 13 0.2321
399.0000 57 13 0.2281
406.0000 58 13 0.2241
408.0000 58 14 0.2414
415.0000 59 14 0.2373
420.0000 60 14 0.2333
421.0000 60 15 0.2500
427.0000 61 15 0.2459
431.0000 61 16 0.2623
435.0000 62 16 0.2581
441.0000 63 16 0.2540
449.0000 64 16 0.2500
454.0000 65 16 0.2462
461.0000 65 17 0.2615
462.0000 66 17 0.2576
470.0000 67 17 0.2537
471.0000 67 18 0.2687
478.0000 68 18 0.2647
487.0000 69 18 0.2609
493.0000 70 18 0.2571
498.0000 71 18 0.2535
502.0000 71 19 0.2676
507.0000 72 19 0.2639
512.0000 73 19 0.2603
519.0000 74 19 0.2568
521.0000 74 20 0.2703
523.0000 74 21 0.2838
524.0000 75 21 0.2800
525.0000 75 22 0.2933
531.0000 75 23 0.3067
533.0000 76 23 0.3026
539.0000 77 23 0.2987
548.0000 78 23 0.2949
555.0000 79 23 0.2911
563.0000 80 23 0.2875
569.0000 80 24 0.3000
572.0000 81 24 0.2963
573.0000 81 25 0.3086
581.0000 82 25 0.3049
590.0000 83 25 0.3012
599.0000 84 25 0.2976
604.0000 84 26 0.3095
606.0000 85 26 0.3059
609.0000 85 27 0.3176
615.0000 86 27 0.3140
620.0000 86 28 0.3256
621.0000 87 28 0.3218
627.0000 88 28 0.3182
636.0000 89 28 0.3146
643.0000 90 28 0.3111
650.0000 91 28 0.3077
655.0000 91 29 0.3187
659.0000 92 29 0.3152
667.0000 92 30 0.3261
668.0000 93 30 0.3226
