# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
21.0000 3 0 0.0000
29.0000 4 0 0.0000
37.0000 5 0 0.0000
44.0000 6 0 0.0000
50.0000 7 0 0.0000
58.0000 8 0 0.0000
66.0000 9 0 0.0000
71.0000 10 0 0.0000
79.0000 11 0 0.0000
85.0000 12 0 0.0000
86.0000 12 1 0.0833
91.0000 13 1 0.0769
97.0000 14 1 0.0714
105.0000 15 1 0.0667
112.0000 16 1 0.0625
121.0000 17 1 0.0588
128.0000 18 1 0.0556
129.0000 18 2 0.1111
134.0000 19 2 0.1053
141.0000 20 2 0.1000
149.0000 21 2 0.0952
155.0000 22 2 0.0909
163.0000 23 2 0.0870
168.0000 24 2 0.0833
169.0000 24 3 0.1250
177.0000 25 3 0.1200
182.0000 26 3 0.1154
183.0000 26 4 0.1538
188.0000 27 4 0.1481
193.0000 28 4 0.1429
197.0000 28 5 0.1786
199.0000 29 5 0.1724
204.0000 30 5 0.1667
213.0000 31 5 0.1613
219.0000 32 5 0.1563
224.0000 32 6 0.1875
228.0000 33 6 0.1818
235.0000 34 6 0.1765
244.0000 35 6 0.1714
246.0000 35 7 0.2000
251.0000 36 7 0.1944
259.0000 37 7 0.1892
268.0000 38 7 0.1842
276.0000 39 7 0.1795
282.0000 39 8 0.2051
284.0000 40 8 0.2000
284.0000 40 9 0.2250
293.0000 41 9 0.2195
300.0000 42 9 0.2143
304.0000 42 10 0.2381
305.0000 43 10 0.2326
310.0000 44 10 0.2273
315.0000 45 10 0.2222
322.0000 45 11 0.2444
323.0000 46 11 0.2391
330.0000 47 11 0.2340
336.0000 48 11 0.2292
343.0000 49 11 0.2245
352.0000 50 11 0.2200
352.0000 50 12 0.2400
357.0000 51 12 0.2353
365.0000 52 12 0.2308
371.0000 53 12 0.2264
375.0000 53 13 0.2453
378.0000 54 13 0.2407
386.0000 55 13 0.2364
392.0000 56 13 0.2321
399.0000 57 13 0.2281
406.0000 58 13 0.2241
406.0000 58 14 0.2414
407.0000 58 15 0.2586
415.0000 59 15 0.2542
420.0000 60 15 0.2500
425.0000 60 16 0.2667
427.0000 61 16 0.2623
435.0000 62 16 0.2581
441.0000 63 16 0.2540
444.0000 63 17 0.2698
448.0000 63 18 0.2857
449.0000 64 18 0.2813
454.0000 65 18 0.2769
462.0000 66 18 0.2727
470.0000 67 18 0.2687
476.0000 67 19 0.2836
478.0000 68 19 0.2794
487.0000 69 19 0.2754
493.0000 70 19 0.2714
493.0000 70 20 0.2857
495.0000 70 21 0.3000
498.0000 71 21 0.2958
507.0000 72 21 0.2917
512.0000 73 21 0.2877
519.0000 74 21 0.2838
522.0000 74 22 0.2973
523.0000 74 23 0.3108
524.0000 75 23 0.3067
529.0000 75 24 0.3200
532.0000 75 25 0.3333
533.0000 76 25 0.3289
535.0000 76 26 0.3421
539.0000 77 26 0.3377
548.0000 78 26 0.3333
554.0000 78 27 0.3462
555.0000 79 27 0.3418
563.0000 80 27 0.3375
564.0000 80 28 0.3500
572.0000 81 28 0.3457
581.0000 82 28 0.3415
583.0000 82 29 0.3537
590.0000 83 29 0.3494
599.0000 84 29 0.3452
603.0000 84 30 0.3571
606.0000 85 30 0.3529
615.0000 86 30 0.3488
619.0000 86 31 0.3605
621.0000 87 31 0.3563
627.0000 88 31 0.3523
636.0000 89 31 0.3483
643.0000 90 31 0.3444
645.0000 90 32 0.3556
649.0000 90 33 0.3667
