# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
21.0000 3 0 0.0000
29.0000 4 0 0.0000
37.0000 5 0 0.0000
44.0000 6 0 0.0000
50.0000 7 0 0.0000
58.0000 8 0 0.0000
66.0000 9 0 0.0000
71.0000 10 0 0.0000
79.0000 11 0 0.0000
85.0000 12 0 0.0000
86.0000 12 1 0.0833
91.0000 13 1 0.0769
97.0000 14 1 0.0714
105.0000 15 1 0.0667
112.0000 16 1 0.0625
121.0000 17 1 0.0588
128.0000 18 1 0.0556
129.0000 18 2 0.1111
134.0000 19 2 0.1053
141.0000 20 2 0.1000
149.0000 21 2 0.0952
155.0000 22 2 0.0909
162.0000 22 3 0.1364
163.0000 23 3 0.1304
168.0000 24 3 0.1250
169.0000 24 4 0.1667
177.0000 25 4 0.1600
182.0000 26 4 0.1538
183.0000 26 5 0.1923
188.0000 27 5 0.1852
193.0000 28 5 0.1786
194.0000 28 6 0.2143
199.0000 29 6 0.2069
204.0000 30 6 0.2000
213.0000 31 6 0.1935
219.0000 32 6 0.1875
224.0000 32 7 0.2188
228.0000 33 7 0.2121
235.0000 34 7 0.2059
241.0000 34 8 0.2353
244.0000 35 8 0.2286
251.0000 36 8 0.2222
259.0000 37 8 0.2162
268.0000 38 8 0.2105
273.0000 38 9 0.2368
276.0000 39 9 0.2308
282.0000 39 10 0.2564
284.0000 40 10 0.2500
284.0000 40 11 0.2750
292.0000 40 12 0.3000
293.0000 41 12 0.2927
300.0000 42 12 0.2857
305.0000 43 12 0.2791
308.0000 43 13 0.3023
310.0000 44 13 0.2955
315.0000 45 13 0.2889
323.0000 46 13 0.2826
330.0000 47 13 0.2766
336.0000 48 13 0.2708
343.0000 49 13 0.2653
352.0000 50 13 0.2600
357.0000 51 13 0.2549
365.0000 52 13 0.2500
371.0000 53 13 0.2453
375.0000 53 14 0.2642
378.0000 54 14 0.2593
386.0000 55 14 0.2545
392.0000 56 14 0.2500
399.0000 57 14 0.2456
406.0000 58 14 0.2414
406.0000 58 15 0.2586
415.0000 59 15 0.2542
420.0000 60 15 0.2500
425.0000 60 16 0.2667
427.0000 61 16 0.2623
435.0000 62 16 0.2581
441.0000 63 16 0.2540
444.0000 63 17 0.2698
448.0000 63 18 0.2857
449.0000 64 18 0.2813
454.0000 65 18 0.2769
457.0000 65 19 0.2923
462.0000 66 19 0.2879
470.0000 67 19 0.2836
478.0000 68 19 0.2794
487.0000 69 19 0.2754
492.0000 69 20 0.2899
493.0000 70 20 0.2857
493.0000 70 21 0.3000
498.0000 71 21 0.2958
507.0000 72 21 0.2917
512.0000 73 21 0.2877
515.0000 73 22 0.3014
519.0000 74 22 0.2973
522.0000 74 23 0.3108
523.0000 74 24 0.3243
524.0000 75 24 0.3200
529.0000 75 25 0.3333
533.0000 76 25 0.3289
539.0000 77 25 0.3247
545.0000 77 26 0.3377
548.0000 78 26 0.3333
550.0000 78 27 0.3462
555.0000 79 27 0.3418
563.0000 80 27 0.3375
564.0000 80 28 0.3500
567.0000 80 29 0.3625
572.0000 81 29 0.3580
581.0000 82 29 0.3537
584.0000 82 30 0.3659
590.0000 83 30 0.3614
599.0000 84 30 0.3571
603.0000 84 31 0.3690
606.0000 85 31 0.3647
615.0000 86 31 0.3605
621.0000 87 31 0.3563
627.0000 88 31 0.3523
636.0000 89 31 0.3483
643.0000 90 31 0.3444
645.0000 90 32 0.3556
649.0000 90 33 0.3667
