# messageDelay  cumulativeProbability
2.0000 0.0007
2.0000 0.0014
2.0000 0.0021
2.0000 0.0028
2.0000 0.0035
2.0000 0.0043
2.0000 0.0050
2.0000 0.0057
2.0000 0.0064
2.0000 0.0071
2.0000 0.0078
2.0000 0.0085
3.0000 0.0092
3.0000 0.0099
3.0000 0.0106
3.0000 0.0113
3.0000 0.0120
3.0000 0.0128
3.0000 0.0135
3.0000 0.0142
3.0000 0.0149
3.0000 0.0156
3.0000 0.0163
3.0000 0.0170
3.0000 0.0177
3.0000 0.0184
4.0000 0.0191
4.0000 0.0198
4.0000 0.0206
4.0000 0.0213
4.0000 0.0220
5.0000 0.0227
6.0000 0.0234
6.0000 0.0241
7.0000 0.0248
7.0000 0.0255
7.0000 0.0262
10.0000 0.0269
10.0000 0.0276
10.0000 0.0283
12.0000 0.0291
12.0000 0.0298
13.0000 0.0305
14.0000 0.0312
14.0000 0.0319
15.0000 0.0326
16.0000 0.0333
16.0000 0.0340
16.0000 0.0347
16.0000 0.0354
17.0000 0.0361
18.0000 0.0369
18.0000 0.0376
19.0000 0.0383
19.0000 0.0390
20.0000 0.0397
21.0000 0.0404
21.0000 0.0411
21.0000 0.0418
21.0000 0.0425
23.0000 0.0432
24.0000 0.0439
26.0000 0.0446
27.0000 0.0454
27.0000 0.0461
28.0000 0.0468
29.0000 0.0475
29.0000 0.0482
30.0000 0.0489
30.0000 0.0496
30.0000 0.0503
31.0000 0.0510
31.0000 0.0517
31.0000 0.0524
31.0000 0.0532
31.0000 0.0539
32.0000 0.0546
33.0000 0.0553
34.0000 0.0560
34.0000 0.0567
35.0000 0.0574
36.0000 0.0581
36.0000 0.0588
36.0000 0.0595
37.0000 0.0602
39.0000 0.0609
40.0000 0.0617
40.0000 0.0624
40.0000 0.0631
42.0000 0.0638
42.0000 0.0645
42.0000 0.0652
43.0000 0.0659
44.0000 0.0666
44.0000 0.0673
45.0000 0.0680
45.0000 0.0687
46.0000 0.0695
47.0000 0.0702
47.0000 0.0709
47.0000 0.0716
48.0000 0.0723
48.0000 0.0730
51.0000 0.0737
51.0000 0.0744
52.0000 0.0751
52.0000 0.0758
52.0000 0.0765
53.0000 0.0773
53.0000 0.0780
54.0000 0.0787
55.0000 0.0794
56.0000 0.0801
57.0000 0.0808
57.0000 0.0815
57.0000 0.0822
57.0000 0.0829
58.0000 0.0836
58.0000 0.0843
58.0000 0.0850
59.0000 0.0858
60.0000 0.0865
61.0000 0.0872
63.0000 0.0879
63.0000 0.0886
63.0000 0.0893
64.0000 0.0900
64.0000 0.0907
65.0000 0.0914
65.0000 0.0921
65.0000 0.0928
65.0000 0.0936
66.0000 0.0943
67.0000 0.0950
69.0000 0.0957
71.0000 0.0964
71.0000 0.0971
72.0000 0.0978
72.0000 0.0985
73.0000 0.0992
74.0000 0.0999
75.0000 0.1006
75.0000 0.1013
75.0000 0.1021
76.0000 0.1028
76.0000 0.1035
76.0000 0.1042
77.0000 0.1049
78.0000 0.1056
78.0000 0.1063
78.0000 0.1070
78.0000 0.1077
78.0000 0.1084
81.0000 0.1091
82.0000 0.1099
85.0000 0.1106
85.0000 0.1113
85.0000 0.1120
85.0000 0.1127
86.0000 0.1134
87.0000 0.1141
88.0000 0.1148
89.0000 0.1155
93.0000 0.1162
93.0000 0.1169
93.0000 0.1176
94.0000 0.1184
94.0000 0.1191
95.0000 0.1198
96.0000 0.1205
96.0000 0.1212
96.0000 0.1219
97.0000 0.1226
98.0000 0.1233
98.0000 0.1240
98.0000 0.1247
99.0000 0.1254
100.0000 0.1262
100.0000 0.1269
101.0000 0.1276
102.0000 0.1283
102.0000 0.1290
102.0000 0.1297
103.0000 0.1304
103.0000 0.1311
103.0000 0.1318
104.0000 0.1325
105.0000 0.1332
105.0000 0.1339
105.0000 0.1347
107.0000 0.1354
107.0000 0.1361
108.0000 0.1368
109.0000 0.1375
109.0000 0.1382
112.0000 0.1389
113.0000 0.1396
115.0000 0.1403
115.0000 0.1410
116.0000 0.1417
116.0000 0.1425
116.0000 0.1432
117.0000 0.1439
117.0000 0.1446
117.0000 0.1453
117.0000 0.1460
118.0000 0.1467
120.0000 0.1474
121.0000 0.1481
121.0000 0.1488
124.0000 0.1495
125.0000 0.1502
125.0000 0.1510
126.0000 0.1517
126.0000 0.1524
126.0000 0.1531
126.0000 0.1538
127.0000 0.1545
127.0000 0.1552
128.0000 0.1559
128.0000 0.1566
129.0000 0.1573
129.0000 0.1580
129.0000 0.1588
133.0000 0.1595
135.0000 0.1602
135.0000 0.1609
135.0000 0.1616
138.0000 0.1623
139.0000 0.1630
139.0000 0.1637
140.0000 0.1644
140.0000 0.1651
142.0000 0.1658
142.0000 0.1665
144.0000 0.1673
144.0000 0.1680
146.0000 0.1687
146.0000 0.1694
147.0000 0.1701
148.0000 0.1708
148.0000 0.1715
148.0000 0.1722
150.0000 0.1729
151.0000 0.1736
152.0000 0.1743
152.0000 0.1751
152.0000 0.1758
155.0000 0.1765
156.0000 0.1772
156.0000 0.1779
157.0000 0.1786
158.0000 0.1793
158.0000 0.1800
160.0000 0.1807
160.0000 0.1814
160.0000 0.1821
161.0000 0.1828
164.0000 0.1836
165.0000 0.1843
165.0000 0.1850
167.0000 0.1857
168.0000 0.1864
170.0000 0.1871
171.0000 0.1878
171.0000 0.1885
171.0000 0.1892
173.0000 0.1899
174.0000 0.1906
175.0000 0.1914
176.0000 0.1921
176.0000 0.1928
176.0000 0.1935
177.0000 0.1942
177.0000 0.1949
178.0000 0.1956
178.0000 0.1963
179.0000 0.1970
180.0000 0.1977
180.0000 0.1984
180.0000 0.1991
181.0000 0.1999
181.0000 0.2006
183.0000 0.2013
185.0000 0.2020
187.0000 0.2027
188.0000 0.2034
189.0000 0.2041
190.0000 0.2048
190.0000 0.2055
191.0000 0.2062
191.0000 0.2069
192.0000 0.2077
193.0000 0.2084
194.0000 0.2091
195.0000 0.2098
196.0000 0.2105
196.0000 0.2112
197.0000 0.2119
198.0000 0.2126
199.0000 0.2133
199.0000 0.2140
201.0000 0.2147
201.0000 0.2155
203.0000 0.2162
203.0000 0.2169
203.0000 0.2176
204.0000 0.2183
204.0000 0.2190
204.0000 0.2197
205.0000 0.2204
205.0000 0.2211
206.0000 0.2218
207.0000 0.2225
208.0000 0.2232
208.0000 0.2240
