# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
21.0000 3 0 0.0000
29.0000 4 0 0.0000
37.0000 5 0 0.0000
44.0000 6 0 0.0000
50.0000 7 0 0.0000
58.0000 8 0 0.0000
66.0000 9 0 0.0000
71.0000 10 0 0.0000
79.0000 11 0 0.0000
85.0000 12 0 0.0000
87.0000 12 1 0.0833
91.0000 13 1 0.0769
97.0000 14 1 0.0714
105.0000 15 1 0.0667
112.0000 16 1 0.0625
121.0000 17 1 0.0588
128.0000 18 1 0.0556
129.0000 18 2 0.1111
134.0000 19 2 0.1053
141.0000 20 2 0.1000
149.0000 21 2 0.0952
155.0000 22 2 0.0909
163.0000 23 2 0.0870
163.0000 23 3 0.1304
168.0000 24 3 0.1250
171.0000 24 4 0.1667
177.0000 25 4 0.1600
182.0000 26 4 0.1538
184.0000 26 5 0.1923
188.0000 27 5 0.1852
193.0000 28 5 0.1786
199.0000 29 5 0.1724
201.0000 29 6 0.2069
204.0000 30 6 0.2000
213.0000 31 6 0.1935
219.0000 32 6 0.1875
228.0000 33 6 0.1818
235.0000 34 6 0.1765
244.0000 35 6 0.1714
251.0000 36 6 0.1667
259.0000 37 6 0.1622
268.0000 38 6 0.1579
274.0000 38 7 0.1842
276.0000 39 7 0.1795
283.0000 39 8 0.2051
284.0000 40 8 0.2000
293.0000 41 8 0.1951
300.0000 42 8 0.1905
304.0000 42 9 0.2143
305.0000 43 9 0.2093
310.0000 44 9 0.2045
315.0000 45 9 0.2000
323.0000 46 9 0.1957
330.0000 47 9 0.1915
336.0000 48 9 0.1875
343.0000 49 9 0.1837
352.0000 50 9 0.1800
357.0000 51 9 0.1765
365.0000 52 9 0.1731
371.0000 53 9 0.1698
378.0000 54 9 0.1667
386.0000 55 9 0.1636
392.0000 56 9 0.1607
399.0000 57 9 0.1579
406.0000 58 9 0.1552
407.0000 58 10 0.1724
415.0000 59 10 0.1695
420.0000 60 10 0.1667
425.0000 60 11 0.1833
427.0000 61 11 0.1803
435.0000 62 11 0.1774
441.0000 63 11 0.1746
449.0000 64 11 0.1719
451.0000 64 12 0.1875
454.0000 65 12 0.1846
459.0000 65 13 0.2000
462.0000 66 13 0.1970
464.0000 66 14 0.2121
470.0000 67 14 0.2090
477.0000 67 15 0.2239
478.0000 68 15 0.2206
487.0000 69 15 0.2174
493.0000 70 15 0.2143
498.0000 71 15 0.2113
507.0000 72 15 0.2083
512.0000 73 15 0.2055
516.0000 73 16 0.2192
519.0000 74 16 0.2162
524.0000 75 16 0.2133
531.0000 75 17 0.2267
533.0000 76 17 0.2237
539.0000 77 17 0.2208
540.0000 77 18 0.2338
542.0000 77 19 0.2468
548.0000 78 19 0.2436
555.0000 79 19 0.2405
563.0000 80 19 0.2375
566.0000 80 20 0.2500
572.0000 81 20 0.2469
581.0000 82 20 0.2439
590.0000 83 20 0.2410
593.0000 83 21 0.2530
599.0000 84 21 0.2500
604.0000 84 22 0.2619
606.0000 85 22 0.2588
608.0000 85 23 0.2706
615.0000 86 23 0.2674
621.0000 87 23 0.2644
627.0000 88 23 0.2614
636.0000 89 23 0.2584
643.0000 90 23 0.2556
649.0000 90 24 0.2667
650.0000 91 24 0.2637
659.0000 92 24 0.2609
666.0000 92 25 0.2717
668.0000 93 25 0.2688
670.0000 93 26 0.2796
675.0000 93 27 0.2903
676.0000 94 27 0.2872
681.0000 95 27 0.2842
681.0000 95 28 0.2947
