# messageDelay  cumulativeProbability
1.0000 0.0007
1.0000 0.0014
1.0000 0.0021
1.0000 0.0028
1.0000 0.0035
1.0000 0.0043
1.0000 0.0050
1.0000 0.0057
1.0000 0.0064
1.0000 0.0071
1.0000 0.0078
1.0000 0.0085
1.0000 0.0092
1.0000 0.0099
1.0000 0.0106
1.0000 0.0113
1.0000 0.0120
1.0000 0.0128
1.0000 0.0135
1.0000 0.0142
1.0000 0.0149
1.0000 0.0156
1.0000 0.0163
1.0000 0.0170
1.0000 0.0177
1.0000 0.0184
2.0000 0.0191
2.0000 0.0198
3.0000 0.0206
3.0000 0.0213
3.0000 0.0220
4.0000 0.0227
5.0000 0.0234
6.0000 0.0241
6.0000 0.0248
7.0000 0.0255
8.0000 0.0262
8.0000 0.0269
9.0000 0.0276
9.0000 0.0283
9.0000 0.0291
9.0000 0.0298
11.0000 0.0305
12.0000 0.0312
13.0000 0.0319
13.0000 0.0326
14.0000 0.0333
14.0000 0.0340
15.0000 0.0347
15.0000 0.0354
16.0000 0.0361
16.0000 0.0369
16.0000 0.0376
16.0000 0.0383
16.0000 0.0390
16.0000 0.0397
17.0000 0.0404
17.0000 0.0411
17.0000 0.0418
18.0000 0.0425
19.0000 0.0432
19.0000 0.0439
20.0000 0.0446
20.0000 0.0454
20.0000 0.0461
20.0000 0.0468
20.0000 0.0475
21.0000 0.0482
21.0000 0.0489
22.0000 0.0496
22.0000 0.0503
23.0000 0.0510
23.0000 0.0517
23.0000 0.0524
24.0000 0.0532
24.0000 0.0539
25.0000 0.0546
25.0000 0.0553
26.0000 0.0560
26.0000 0.0567
26.0000 0.0574
27.0000 0.0581
27.0000 0.0588
28.0000 0.0595
28.0000 0.0602
28.0000 0.0609
29.0000 0.0617
30.0000 0.0624
30.0000 0.0631
31.0000 0.0638
31.0000 0.0645
31.0000 0.0652
31.0000 0.0659
31.0000 0.0666
32.0000 0.0673
33.0000 0.0680
33.0000 0.0687
34.0000 0.0695
34.0000 0.0702
35.0000 0.0709
35.0000 0.0716
35.0000 0.0723
35.0000 0.0730
37.0000 0.0737
38.0000 0.0744
38.0000 0.0751
38.0000 0.0758
39.0000 0.0765
40.0000 0.0773
41.0000 0.0780
41.0000 0.0787
41.0000 0.0794
41.0000 0.0801
42.0000 0.0808
42.0000 0.0815
42.0000 0.0822
43.0000 0.0829
44.0000 0.0836
45.0000 0.0843
46.0000 0.0850
46.0000 0.0858
46.0000 0.0865
48.0000 0.0872
50.0000 0.0879
50.0000 0.0886
50.0000 0.0893
50.0000 0.0900
51.0000 0.0907
51.0000 0.0914
51.0000 0.0921
52.0000 0.0928
52.0000 0.0936
52.0000 0.0943
53.0000 0.0950
54.0000 0.0957
54.0000 0.0964
54.0000 0.0971
55.0000 0.0978
56.0000 0.0985
56.0000 0.0992
56.0000 0.0999
56.0000 0.1006
57.0000 0.1013
60.0000 0.1021
60.0000 0.1028
60.0000 0.1035
61.0000 0.1042
62.0000 0.1049
62.0000 0.1056
63.0000 0.1063
64.0000 0.1070
64.0000 0.1077
66.0000 0.1084
66.0000 0.1091
66.0000 0.1099
66.0000 0.1106
67.0000 0.1113
68.0000 0.1120
69.0000 0.1127
69.0000 0.1134
71.0000 0.1141
71.0000 0.1148
73.0000 0.1155
74.0000 0.1162
74.0000 0.1169
74.0000 0.1176
75.0000 0.1184
77.0000 0.1191
77.0000 0.1198
77.0000 0.1205
78.0000 0.1212
78.0000 0.1219
80.0000 0.1226
81.0000 0.1233
82.0000 0.1240
82.0000 0.1247
82.0000 0.1254
82.0000 0.1262
84.0000 0.1269
86.0000 0.1276
86.0000 0.1283
87.0000 0.1290
88.0000 0.1297
88.0000 0.1304
88.0000 0.1311
88.0000 0.1318
90.0000 0.1325
90.0000 0.1332
90.0000 0.1339
90.0000 0.1347
91.0000 0.1354
93.0000 0.1361
93.0000 0.1368
94.0000 0.1375
95.0000 0.1382
95.0000 0.1389
96.0000 0.1396
96.0000 0.1403
97.0000 0.1410
97.0000 0.1417
98.0000 0.1425
98.0000 0.1432
98.0000 0.1439
99.0000 0.1446
99.0000 0.1453
100.0000 0.1460
100.0000 0.1467
101.0000 0.1474
101.0000 0.1481
101.0000 0.1488
101.0000 0.1495
102.0000 0.1502
102.0000 0.1510
103.0000 0.1517
103.0000 0.1524
104.0000 0.1531
105.0000 0.1538
105.0000 0.1545
105.0000 0.1552
110.0000 0.1559
114.0000 0.1566
115.0000 0.1573
117.0000 0.1580
117.0000 0.1588
117.0000 0.1595
118.0000 0.1602
118.0000 0.1609
119.0000 0.1616
119.0000 0.1623
120.0000 0.1630
120.0000 0.1637
122.0000 0.1644
122.0000 0.1651
122.0000 0.1658
122.0000 0.1665
123.0000 0.1673
123.0000 0.1680
124.0000 0.1687
124.0000 0.1694
124.0000 0.1701
125.0000 0.1708
125.0000 0.1715
125.0000 0.1722
126.0000 0.1729
128.0000 0.1736
128.0000 0.1743
128.0000 0.1751
130.0000 0.1758
130.0000 0.1765
131.0000 0.1772
132.0000 0.1779
132.0000 0.1786
132.0000 0.1793
134.0000 0.1800
135.0000 0.1807
136.0000 0.1814
139.0000 0.1821
139.0000 0.1828
139.0000 0.1836
142.0000 0.1843
144.0000 0.1850
144.0000 0.1857
145.0000 0.1864
146.0000 0.1871
147.0000 0.1878
148.0000 0.1885
148.0000 0.1892
149.0000 0.1899
150.0000 0.1906
150.0000 0.1914
150.0000 0.1921
150.0000 0.1928
152.0000 0.1935
154.0000 0.1942
154.0000 0.1949
155.0000 0.1956
157.0000 0.1963
158.0000 0.1970
159.0000 0.1977
162.0000 0.1984
164.0000 0.1991
165.0000 0.1999
166.0000 0.2006
166.0000 0.2013
167.0000 0.2020
167.0000 0.2027
169.0000 0.2034
169.0000 0.2041
170.0000 0.2048
171.0000 0.2055
171.0000 0.2062
171.0000 0.2069
172.0000 0.2077
173.0000 0.2084
174.0000 0.2091
175.0000 0.2098
176.0000 0.2105
177.0000 0.2112
178.0000 0.2119
178.0000 0.2126
180.0000 0.2133
181.0000 0.2140
183.0000 0.2147
185.0000 0.2155
187.0000 0.2162
187.0000 0.2169
188.0000 0.2176
188.0000 0.2183
