# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
21.0000 3 0 0.0000
29.0000 4 0 0.0000
37.0000 5 0 0.0000
44.0000 6 0 0.0000
50.0000 7 0 0.0000
58.0000 8 0 0.0000
66.0000 9 0 0.0000
71.0000 10 0 0.0000
79.0000 11 0 0.0000
85.0000 12 0 0.0000
86.0000 12 1 0.0833
91.0000 13 1 0.0769
97.0000 14 1 0.0714
105.0000 15 1 0.0667
112.0000 16 1 0.0625
121.0000 17 1 0.0588
128.0000 18 1 0.0556
128.0000 18 2 0.1111
134.0000 19 2 0.1053
141.0000 20 2 0.1000
149.0000 21 2 0.0952
155.0000 22 2 0.0909
162.0000 22 3 0.1364
163.0000 23 3 0.1304
168.0000 24 3 0.1250
169.0000 24 4 0.1667
177.0000 25 4 0.1600
182.0000 26 4 0.1538
183.0000 26 5 0.1923
188.0000 27 5 0.1852
193.0000 28 5 0.1786
197.0000 28 6 0.2143
199.0000 29 6 0.2069
204.0000 30 6 0.2000
213.0000 31 6 0.1935
219.0000 32 6 0.1875
228.0000 33 6 0.1818
235.0000 34 6 0.1765
244.0000 35 6 0.1714
251.0000 36 6 0.1667
259.0000 37 6 0.1622
268.0000 38 6 0.1579
273.0000 38 7 0.1842
276.0000 39 7 0.1795
282.0000 39 8 0.2051
284.0000 40 8 0.2000
293.0000 41 8 0.1951
300.0000 42 8 0.1905
302.0000 42 9 0.2143
305.0000 43 9 0.2093
310.0000 44 9 0.2045
310.0000 44 10 0.2273
315.0000 45 10 0.2222
323.0000 46 10 0.2174
330.0000 47 10 0.2128
336.0000 48 10 0.2083
343.0000 49 10 0.2041
352.0000 50 10 0.2000
357.0000 51 10 0.1961
365.0000 52 10 0.1923
371.0000 53 10 0.1887
375.0000 53 11 0.2075
378.0000 54 11 0.2037
386.0000 55 11 0.2000
392.0000 56 11 0.1964
399.0000 57 11 0.1930
406.0000 58 11 0.1897
406.0000 58 12 0.2069
415.0000 59 12 0.2034
420.0000 60 12 0.2000
422.0000 60 13 0.2167
427.0000 61 13 0.2131
435.0000 62 13 0.2097
441.0000 63 13 0.2063
444.0000 63 14 0.2222
449.0000 64 14 0.2188
450.0000 64 15 0.2344
454.0000 65 15 0.2308
459.0000 65 16 0.2462
460.0000 65 17 0.2615
462.0000 66 17 0.2576
470.0000 67 17 0.2537
478.0000 68 17 0.2500
487.0000 69 17 0.2464
493.0000 70 17 0.2429
498.0000 71 17 0.2394
504.0000 71 18 0.2535
507.0000 72 18 0.2500
512.0000 73 18 0.2466
519.0000 74 18 0.2432
524.0000 75 18 0.2400
530.0000 75 19 0.2533
533.0000 76 19 0.2500
539.0000 77 19 0.2468
539.0000 77 20 0.2597
540.0000 77 21 0.2727
548.0000 78 21 0.2692
555.0000 79 21 0.2658
563.0000 80 21 0.2625
564.0000 80 22 0.2750
572.0000 81 22 0.2716
581.0000 82 22 0.2683
590.0000 83 22 0.2651
590.0000 83 23 0.2771
599.0000 84 23 0.2738
603.0000 84 24 0.2857
606.0000 85 24 0.2824
615.0000 86 24 0.2791
621.0000 87 24 0.2759
627.0000 88 24 0.2727
636.0000 89 24 0.2697
643.0000 90 24 0.2667
645.0000 90 25 0.2778
650.0000 91 25 0.2747
657.0000 91 26 0.2857
659.0000 92 26 0.2826
667.0000 92 27 0.2935
668.0000 93 27 0.2903
674.0000 93 28 0.3011
676.0000 94 28 0.2979
680.0000 94 29 0.3085
