# messageDelay  cumulativeProbability
2.0000 0.0007
2.0000 0.0014
2.0000 0.0021
2.0000 0.0028
2.0000 0.0035
2.0000 0.0043
2.0000 0.0050
2.0000 0.0057
2.0000 0.0064
2.0000 0.0071
2.0000 0.0078
2.0000 0.0085
2.0000 0.0092
2.0000 0.0099
2.0000 0.0106
2.0000 0.0113
2.0000 0.0120
2.0000 0.0128
2.0000 0.0135
2.0000 0.0142
2.0000 0.0149
2.0000 0.0156
2.0000 0.0163
2.0000 0.0170
2.0000 0.0177
2.0000 0.0184
2.0000 0.0191
2.0000 0.0198
2.0000 0.0206
2.0000 0.0213
2.0000 0.0220
2.0000 0.0227
2.0000 0.0234
2.0000 0.0241
2.0000 0.0248
2.0000 0.0255
2.0000 0.0262
2.0000 0.0269
2.0000 0.0276
2.0000 0.0283
2.0000 0.0291
2.0000 0.0298
2.0000 0.0305
2.0000 0.0312
2.0000 0.0319
2.0000 0.0326
2.0000 0.0333
2.0000 0.0340
2.0000 0.0347
2.0000 0.0354
2.0000 0.0361
2.0000 0.0369
2.0000 0.0376
2.0000 0.0383
2.0000 0.0390
2.0000 0.0397
3.0000 0.0404
3.0000 0.0411
3.0000 0.0418
3.0000 0.0425
4.0000 0.0432
4.0000 0.0439
4.0000 0.0446
4.0000 0.0454
4.0000 0.0461
4.0000 0.0468
4.0000 0.0475
4.0000 0.0482
4.0000 0.0489
4.0000 0.0496
4.0000 0.0503
4.0000 0.0510
4.0000 0.0517
5.0000 0.0524
5.0000 0.0532
5.0000 0.0539
5.0000 0.0546
6.0000 0.0553
6.0000 0.0560
6.0000 0.0567
6.0000 0.0574
6.0000 0.0581
6.0000 0.0588
6.0000 0.0595
6.0000 0.0602
6.0000 0.0609
6.0000 0.0617
6.0000 0.0624
7.0000 0.0631
7.0000 0.0638
7.0000 0.0645
7.0000 0.0652
7.0000 0.0659
7.0000 0.0666
7.0000 0.0673
7.0000 0.0680
7.0000 0.0687
7.0000 0.0695
7.0000 0.0702
7.0000 0.0709
8.0000 0.0716
8.0000 0.0723
8.0000 0.0730
8.0000 0.0737
9.0000 0.0744
9.0000 0.0751
9.0000 0.0758
9.0000 0.0765
9.0000 0.0773
9.0000 0.0780
10.0000 0.0787
10.0000 0.0794
10.0000 0.0801
11.0000 0.0808
11.0000 0.0815
12.0000 0.0822
12.0000 0.0829
13.0000 0.0836
13.0000 0.0843
13.0000 0.0850
13.0000 0.0858
14.0000 0.0865
14.0000 0.0872
14.0000 0.0879
14.0000 0.0886
14.0000 0.0893
14.0000 0.0900
15.0000 0.0907
15.0000 0.0914
15.0000 0.0921
16.0000 0.0928
16.0000 0.0936
17.0000 0.0943
17.0000 0.0950
17.0000 0.0957
17.0000 0.0964
18.0000 0.0971
18.0000 0.0978
18.0000 0.0985
19.0000 0.0992
19.0000 0.0999
19.0000 0.1006
19.0000 0.1013
19.0000 0.1021
19.0000 0.1028
20.0000 0.1035
20.0000 0.1042
21.0000 0.1049
21.0000 0.1056
22.0000 0.1063
22.0000 0.1070
22.0000 0.1077
23.0000 0.1084
24.0000 0.1091
24.0000 0.1099
25.0000 0.1106
26.0000 0.1113
26.0000 0.1120
26.0000 0.1127
27.0000 0.1134
27.0000 0.1141
27.0000 0.1148
28.0000 0.1155
28.0000 0.1162
28.0000 0.1169
29.0000 0.1176
29.0000 0.1184
29.0000 0.1191
30.0000 0.1198
30.0000 0.1205
31.0000 0.1212
31.0000 0.1219
32.0000 0.1226
32.0000 0.1233
33.0000 0.1240
34.0000 0.1247
35.0000 0.1254
35.0000 0.1262
35.0000 0.1269
36.0000 0.1276
36.0000 0.1283
37.0000 0.1290
37.0000 0.1297
37.0000 0.1304
37.0000 0.1311
37.0000 0.1318
37.0000 0.1325
38.0000 0.1332
39.0000 0.1339
39.0000 0.1347
39.0000 0.1354
40.0000 0.1361
40.0000 0.1368
40.0000 0.1375
40.0000 0.1382
41.0000 0.1389
42.0000 0.1396
42.0000 0.1403
42.0000 0.1410
42.0000 0.1417
42.0000 0.1425
43.0000 0.1432
44.0000 0.1439
45.0000 0.1446
46.0000 0.1453
46.0000 0.1460
46.0000 0.1467
47.0000 0.1474
47.0000 0.1481
48.0000 0.1488
48.0000 0.1495
48.0000 0.1502
49.0000 0.1510
49.0000 0.1517
49.0000 0.1524
50.0000 0.1531
50.0000 0.1538
50.0000 0.1545
51.0000 0.1552
51.0000 0.1559
52.0000 0.1566
53.0000 0.1573
53.0000 0.1580
53.0000 0.1588
53.0000 0.1595
53.0000 0.1602
54.0000 0.1609
54.0000 0.1616
54.0000 0.1623
55.0000 0.1630
55.0000 0.1637
55.0000 0.1644
55.0000 0.1651
55.0000 0.1658
55.0000 0.1665
55.0000 0.1673
56.0000 0.1680
56.0000 0.1687
57.0000 0.1694
57.0000 0.1701
57.0000 0.1708
57.0000 0.1715
57.0000 0.1722
57.0000 0.1729
57.0000 0.1736
58.0000 0.1743
58.0000 0.1751
58.0000 0.1758
58.0000 0.1765
58.0000 0.1772
58.0000 0.1779
58.0000 0.1786
59.0000 0.1793
59.0000 0.1800
59.0000 0.1807
59.0000 0.1814
59.0000 0.1821
59.0000 0.1828
60.0000 0.1836
61.0000 0.1843
62.0000 0.1850
62.0000 0.1857
63.0000 0.1864
65.0000 0.1871
66.0000 0.1878
66.0000 0.1885
66.0000 0.1892
66.0000 0.1899
66.0000 0.1906
67.0000 0.1914
68.0000 0.1921
69.0000 0.1928
69.0000 0.1935
70.0000 0.1942
70.0000 0.1949
70.0000 0.1956
70.0000 0.1963
71.0000 0.1970
71.0000 0.1977
72.0000 0.1984
73.0000 0.1991
73.0000 0.1999
75.0000 0.2006
75.0000 0.2013
75.0000 0.2020
75.0000 0.2027
75.0000 0.2034
76.0000 0.2041
76.0000 0.2048
76.0000 0.2055
77.0000 0.2062
77.0000 0.2069
77.0000 0.2077
78.0000 0.2084
78.0000 0.2091
79.0000 0.2098
80.0000 0.2105
80.0000 0.2112
80.0000 0.2119
82.0000 0.2126
82.0000 0.2133
82.0000 0.2140
83.0000 0.2147
84.0000 0.2155
86.0000 0.2162
87.0000 0.2169
87.0000 0.2176
88.0000 0.2183
88.0000 0.2190
89.0000 0.2197
89.0000 0.2204
89.0000 0.2211
90.0000 0.2218
90.0000 0.2225
91.0000 0.2232
92.0000 0.2240
