# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
21.0000 3 0 0.0000
29.0000 4 0 0.0000
37.0000 5 0 0.0000
44.0000 6 0 0.0000
50.0000 7 0 0.0000
58.0000 8 0 0.0000
66.0000 9 0 0.0000
71.0000 10 0 0.0000
79.0000 11 0 0.0000
85.0000 12 0 0.0000
87.0000 12 1 0.0833
91.0000 13 1 0.0769
97.0000 14 1 0.0714
105.0000 15 1 0.0667
112.0000 16 1 0.0625
121.0000 17 1 0.0588
128.0000 18 1 0.0556
134.0000 19 1 0.0526
141.0000 20 1 0.0500
149.0000 21 1 0.0476
155.0000 22 1 0.0455
157.0000 22 2 0.0909
163.0000 23 2 0.0870
168.0000 24 2 0.0833
171.0000 24 3 0.1250
177.0000 25 3 0.1200
182.0000 26 3 0.1154
184.0000 26 4 0.1538
188.0000 27 4 0.1481
193.0000 28 4 0.1429
199.0000 29 4 0.1379
204.0000 30 4 0.1333
213.0000 31 4 0.1290
219.0000 32 4 0.1250
228.0000 33 4 0.1212
235.0000 34 4 0.1176
244.0000 35 4 0.1143
250.0000 35 5 0.1429
251.0000 36 5 0.1389
259.0000 37 5 0.1351
268.0000 38 5 0.1316
276.0000 39 5 0.1282
283.0000 39 6 0.1538
284.0000 40 6 0.1500
285.0000 40 7 0.1750
293.0000 41 7 0.1707
300.0000 42 7 0.1667
305.0000 43 7 0.1628
305.0000 43 8 0.1860
310.0000 44 8 0.1818
315.0000 45 8 0.1778
315.0000 45 9 0.2000
323.0000 46 9 0.1957
330.0000 47 9 0.1915
336.0000 48 9 0.1875
343.0000 49 9 0.1837
352.0000 50 9 0.1800
357.0000 51 9 0.1765
365.0000 52 9 0.1731
371.0000 53 9 0.1698
378.0000 54 9 0.1667
384.0000 54 10 0.1852
386.0000 55 10 0.1818
392.0000 56 10 0.1786
399.0000 57 10 0.1754
406.0000 58 10 0.1724
409.0000 58 11 0.1897
415.0000 59 11 0.1864
420.0000 60 11 0.1833
426.0000 60 12 0.2000
427.0000 61 12 0.1967
435.0000 62 12 0.1935
441.0000 63 12 0.1905
449.0000 64 12 0.1875
449.0000 64 13 0.2031
454.0000 65 13 0.2000
458.0000 65 14 0.2154
462.0000 66 14 0.2121
470.0000 67 14 0.2090
478.0000 68 14 0.2059
487.0000 69 14 0.2029
493.0000 70 14 0.2000
494.0000 70 15 0.2143
498.0000 71 15 0.2113
502.0000 71 16 0.2254
507.0000 72 16 0.2222
512.0000 73 16 0.2192
519.0000 74 16 0.2162
524.0000 75 16 0.2133
531.0000 75 17 0.2267
533.0000 76 17 0.2237
539.0000 77 17 0.2208
540.0000 77 18 0.2338
548.0000 78 18 0.2308
555.0000 79 18 0.2278
563.0000 80 18 0.2250
565.0000 80 19 0.2375
572.0000 81 19 0.2346
581.0000 82 19 0.2317
585.0000 82 20 0.2439
590.0000 83 20 0.2410
599.0000 84 20 0.2381
606.0000 85 20 0.2353
607.0000 85 21 0.2471
615.0000 86 21 0.2442
621.0000 87 21 0.2414
627.0000 88 21 0.2386
636.0000 89 21 0.2360
643.0000 90 21 0.2333
649.0000 90 22 0.2444
650.0000 91 22 0.2418
657.0000 91 23 0.2527
659.0000 92 23 0.2500
668.0000 93 23 0.2473
672.0000 93 24 0.2581
672.0000 93 25 0.2688
674.0000 93 26 0.2796
676.0000 94 26 0.2766
676.0000 94 27 0.2872
681.0000 95 27 0.2842
689.0000 96 27 0.2813
