# messageDelay  cumulativeProbability
1.0000 0.0007
1.0000 0.0014
1.0000 0.0021
1.0000 0.0028
1.0000 0.0035
1.0000 0.0043
1.0000 0.0050
1.0000 0.0057
1.0000 0.0064
1.0000 0.0071
1.0000 0.0078
1.0000 0.0085
1.0000 0.0092
1.0000 0.0099
1.0000 0.0106
1.0000 0.0113
1.0000 0.0120
1.0000 0.0128
1.0000 0.0135
1.0000 0.0142
1.0000 0.0149
1.0000 0.0156
1.0000 0.0163
1.0000 0.0170
1.0000 0.0177
1.0000 0.0184
1.0000 0.0191
1.0000 0.0198
1.0000 0.0206
1.0000 0.0213
1.0000 0.0220
1.0000 0.0227
1.0000 0.0234
1.0000 0.0241
1.0000 0.0248
1.0000 0.0255
1.0000 0.0262
1.0000 0.0269
1.0000 0.0276
1.0000 0.0283
1.0000 0.0291
1.0000 0.0298
1.0000 0.0305
1.0000 0.0312
1.0000 0.0319
1.0000 0.0326
1.0000 0.0333
1.0000 0.0340
1.0000 0.0347
1.0000 0.0354
1.0000 0.0361
1.0000 0.0369
1.0000 0.0376
1.0000 0.0383
1.0000 0.0390
1.0000 0.0397
1.0000 0.0404
1.0000 0.0411
1.0000 0.0418
1.0000 0.0425
1.0000 0.0432
1.0000 0.0439
2.0000 0.0446
2.0000 0.0454
2.0000 0.0461
2.0000 0.0468
2.0000 0.0475
2.0000 0.0482
2.0000 0.0489
2.0000 0.0496
2.0000 0.0503
2.0000 0.0510
2.0000 0.0517
2.0000 0.0524
3.0000 0.0532
3.0000 0.0539
3.0000 0.0546
3.0000 0.0553
3.0000 0.0560
3.0000 0.0567
3.0000 0.0574
3.0000 0.0581
3.0000 0.0588
3.0000 0.0595
3.0000 0.0602
3.0000 0.0609
3.0000 0.0617
4.0000 0.0624
4.0000 0.0631
4.0000 0.0638
4.0000 0.0645
4.0000 0.0652
4.0000 0.0659
4.0000 0.0666
4.0000 0.0673
4.0000 0.0680
4.0000 0.0687
4.0000 0.0695
4.0000 0.0702
4.0000 0.0709
4.0000 0.0716
4.0000 0.0723
5.0000 0.0730
5.0000 0.0737
5.0000 0.0744
5.0000 0.0751
5.0000 0.0758
5.0000 0.0765
5.0000 0.0773
5.0000 0.0780
5.0000 0.0787
5.0000 0.0794
6.0000 0.0801
6.0000 0.0808
6.0000 0.0815
6.0000 0.0822
6.0000 0.0829
6.0000 0.0836
7.0000 0.0843
8.0000 0.0850
9.0000 0.0858
9.0000 0.0865
9.0000 0.0872
10.0000 0.0879
11.0000 0.0886
11.0000 0.0893
12.0000 0.0900
12.0000 0.0907
12.0000 0.0914
12.0000 0.0921
12.0000 0.0928
13.0000 0.0936
13.0000 0.0943
13.0000 0.0950
13.0000 0.0957
14.0000 0.0964
14.0000 0.0971
14.0000 0.0978
15.0000 0.0985
16.0000 0.0992
16.0000 0.0999
16.0000 0.1006
16.0000 0.1013
17.0000 0.1021
17.0000 0.1028
17.0000 0.1035
18.0000 0.1042
18.0000 0.1049
18.0000 0.1056
18.0000 0.1063
19.0000 0.1070
19.0000 0.1077
19.0000 0.1084
20.0000 0.1091
20.0000 0.1099
20.0000 0.1106
20.0000 0.1113
20.0000 0.1120
21.0000 0.1127
22.0000 0.1134
23.0000 0.1141
23.0000 0.1148
24.0000 0.1155
24.0000 0.1162
25.0000 0.1169
25.0000 0.1176
25.0000 0.1184
25.0000 0.1191
25.0000 0.1198
25.0000 0.1205
26.0000 0.1212
26.0000 0.1219
27.0000 0.1226
27.0000 0.1233
27.0000 0.1240
28.0000 0.1247
28.0000 0.1254
28.0000 0.1262
29.0000 0.1269
30.0000 0.1276
30.0000 0.1283
30.0000 0.1290
31.0000 0.1297
31.0000 0.1304
33.0000 0.1311
34.0000 0.1318
34.0000 0.1325
34.0000 0.1332
35.0000 0.1339
35.0000 0.1347
36.0000 0.1354
36.0000 0.1361
36.0000 0.1368
36.0000 0.1375
36.0000 0.1382
37.0000 0.1389
37.0000 0.1396
38.0000 0.1403
38.0000 0.1410
38.0000 0.1417
38.0000 0.1425
39.0000 0.1432
39.0000 0.1439
39.0000 0.1446
39.0000 0.1453
39.0000 0.1460
40.0000 0.1467
41.0000 0.1474
41.0000 0.1481
41.0000 0.1488
41.0000 0.1495
42.0000 0.1502
43.0000 0.1510
43.0000 0.1517
43.0000 0.1524
44.0000 0.1531
44.0000 0.1538
45.0000 0.1545
45.0000 0.1552
45.0000 0.1559
46.0000 0.1566
46.0000 0.1573
47.0000 0.1580
47.0000 0.1588
48.0000 0.1595
48.0000 0.1602
48.0000 0.1609
49.0000 0.1616
49.0000 0.1623
49.0000 0.1630
49.0000 0.1637
50.0000 0.1644
52.0000 0.1651
52.0000 0.1658
52.0000 0.1665
52.0000 0.1673
53.0000 0.1680
53.0000 0.1687
53.0000 0.1694
54.0000 0.1701
54.0000 0.1708
54.0000 0.1715
54.0000 0.1722
54.0000 0.1729
54.0000 0.1736
55.0000 0.1743
56.0000 0.1751
56.0000 0.1758
56.0000 0.1765
56.0000 0.1772
56.0000 0.1779
56.0000 0.1786
56.0000 0.1793
56.0000 0.1800
57.0000 0.1807
57.0000 0.1814
57.0000 0.1821
57.0000 0.1828
57.0000 0.1836
57.0000 0.1843
58.0000 0.1850
58.0000 0.1857
58.0000 0.1864
58.0000 0.1871
58.0000 0.1878
59.0000 0.1885
60.0000 0.1892
61.0000 0.1899
62.0000 0.1906
63.0000 0.1914
64.0000 0.1921
65.0000 0.1928
65.0000 0.1935
65.0000 0.1942
65.0000 0.1949
66.0000 0.1956
66.0000 0.1963
67.0000 0.1970
68.0000 0.1977
68.0000 0.1984
68.0000 0.1991
68.0000 0.1999
69.0000 0.2006
69.0000 0.2013
69.0000 0.2020
69.0000 0.2027
70.0000 0.2034
70.0000 0.2041
70.0000 0.2048
71.0000 0.2055
72.0000 0.2062
72.0000 0.2069
74.0000 0.2077
74.0000 0.2084
74.0000 0.2091
75.0000 0.2098
75.0000 0.2105
75.0000 0.2112
76.0000 0.2119
76.0000 0.2126
77.0000 0.2133
77.0000 0.2140
78.0000 0.2147
79.0000 0.2155
79.0000 0.2162
79.0000 0.2169
81.0000 0.2176
82.0000 0.2183
