# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
21.0000 3 0 0.0000
29.0000 4 0 0.0000
37.0000 5 0 0.0000
44.0000 6 0 0.0000
50.0000 7 0 0.0000
58.0000 8 0 0.0000
66.0000 9 0 0.0000
71.0000 10 0 0.0000
79.0000 11 0 0.0000
85.0000 12 0 0.0000
86.0000 12 1 0.0833
91.0000 13 1 0.0769
97.0000 14 1 0.0714
105.0000 15 1 0.0667
112.0000 16 1 0.0625
121.0000 17 1 0.0588
128.0000 18 1 0.0556
134.0000 19 1 0.0526
141.0000 20 1 0.0500
149.0000 21 1 0.0476
155.0000 22 1 0.0455
156.0000 22 2 0.0909
163.0000 23 2 0.0870
168.0000 24 2 0.0833
169.0000 24 3 0.1250
177.0000 25 3 0.1200
182.0000 26 3 0.1154
183.0000 26 4 0.1538
188.0000 27 4 0.1481
193.0000 28 4 0.1429
199.0000 29 4 0.1379
204.0000 30 4 0.1333
213.0000 31 4 0.1290
219.0000 32 4 0.1250
228.0000 33 4 0.1212
235.0000 34 4 0.1176
244.0000 35 4 0.1143
249.0000 35 5 0.1429
251.0000 36 5 0.1389
259.0000 37 5 0.1351
268.0000 38 5 0.1316
276.0000 39 5 0.1282
282.0000 39 6 0.1538
284.0000 40 6 0.1500
284.0000 40 7 0.1750
293.0000 41 7 0.1707
300.0000 42 7 0.1667
304.0000 42 8 0.1905
305.0000 43 8 0.1860
310.0000 44 8 0.1818
314.0000 44 9 0.2045
315.0000 45 9 0.2000
323.0000 46 9 0.1957
330.0000 47 9 0.1915
336.0000 48 9 0.1875
343.0000 49 9 0.1837
352.0000 50 9 0.1800
357.0000 51 9 0.1765
365.0000 52 9 0.1731
371.0000 53 9 0.1698
378.0000 54 9 0.1667
383.0000 54 10 0.1852
386.0000 55 10 0.1818
392.0000 56 10 0.1786
399.0000 57 10 0.1754
406.0000 58 10 0.1724
408.0000 58 11 0.1897
415.0000 59 11 0.1864
420.0000 60 11 0.1833
423.0000 60 12 0.2000
427.0000 61 12 0.1967
435.0000 62 12 0.1935
441.0000 63 12 0.1905
445.0000 63 13 0.2063
448.0000 63 14 0.2222
449.0000 64 14 0.2188
454.0000 65 14 0.2154
457.0000 65 15 0.2308
462.0000 66 15 0.2273
470.0000 67 15 0.2239
478.0000 68 15 0.2206
487.0000 69 15 0.2174
493.0000 70 15 0.2143
493.0000 70 16 0.2286
498.0000 71 16 0.2254
501.0000 71 17 0.2394
507.0000 72 17 0.2361
512.0000 73 17 0.2329
519.0000 74 17 0.2297
524.0000 75 17 0.2267
529.0000 75 18 0.2400
533.0000 76 18 0.2368
539.0000 77 18 0.2338
539.0000 77 19 0.2468
548.0000 78 19 0.2436
555.0000 79 19 0.2405
563.0000 80 19 0.2375
564.0000 80 20 0.2500
572.0000 81 20 0.2469
581.0000 82 20 0.2439
583.0000 82 21 0.2561
590.0000 83 21 0.2530
599.0000 84 21 0.2500
606.0000 85 21 0.2471
606.0000 85 22 0.2588
615.0000 86 22 0.2558
621.0000 87 22 0.2529
627.0000 88 22 0.2500
636.0000 89 22 0.2472
643.0000 90 22 0.2444
647.0000 90 23 0.2556
650.0000 91 23 0.2527
656.0000 91 24 0.2637
659.0000 92 24 0.2609
668.0000 93 24 0.2581
671.0000 93 25 0.2688
673.0000 93 26 0.2796
675.0000 93 27 0.2903
676.0000 94 27 0.2872
679.0000 94 28 0.2979
681.0000 95 28 0.2947
