# messageDelay  cumulativeProbability
2.0000 0.0007
2.0000 0.0014
2.0000 0.0021
2.0000 0.0028
2.0000 0.0035
2.0000 0.0043
2.0000 0.0050
2.0000 0.0057
2.0000 0.0064
2.0000 0.0071
2.0000 0.0078
2.0000 0.0085
2.0000 0.0092
2.0000 0.0099
2.0000 0.0106
3.0000 0.0113
3.0000 0.0120
3.0000 0.0128
3.0000 0.0135
3.0000 0.0142
3.0000 0.0149
3.0000 0.0156
3.0000 0.0163
3.0000 0.0170
3.0000 0.0177
3.0000 0.0184
4.0000 0.0191
4.0000 0.0198
4.0000 0.0206
4.0000 0.0213
4.0000 0.0220
5.0000 0.0227
6.0000 0.0234
6.0000 0.0241
7.0000 0.0248
7.0000 0.0255
8.0000 0.0262
8.0000 0.0269
9.0000 0.0276
9.0000 0.0283
10.0000 0.0291
10.0000 0.0298
10.0000 0.0305
10.0000 0.0312
10.0000 0.0319
11.0000 0.0326
11.0000 0.0333
12.0000 0.0340
13.0000 0.0347
14.0000 0.0354
14.0000 0.0361
15.0000 0.0369
15.0000 0.0376
17.0000 0.0383
17.0000 0.0390
18.0000 0.0397
19.0000 0.0404
20.0000 0.0411
20.0000 0.0418
21.0000 0.0425
23.0000 0.0432
23.0000 0.0439
25.0000 0.0446
25.0000 0.0454
27.0000 0.0461
28.0000 0.0468
28.0000 0.0475
28.0000 0.0482
29.0000 0.0489
29.0000 0.0496
30.0000 0.0503
30.0000 0.0510
32.0000 0.0517
32.0000 0.0524
33.0000 0.0532
34.0000 0.0539
34.0000 0.0546
34.0000 0.0553
34.0000 0.0560
36.0000 0.0567
37.0000 0.0574
37.0000 0.0581
38.0000 0.0588
38.0000 0.0595
40.0000 0.0602
42.0000 0.0609
42.0000 0.0617
43.0000 0.0624
43.0000 0.0631
43.0000 0.0638
43.0000 0.0645
43.0000 0.0652
43.0000 0.0659
44.0000 0.0666
44.0000 0.0673
45.0000 0.0680
45.0000 0.0687
45.0000 0.0695
46.0000 0.0702
47.0000 0.0709
48.0000 0.0716
48.0000 0.0723
48.0000 0.0730
49.0000 0.0737
49.0000 0.0744
50.0000 0.0751
50.0000 0.0758
53.0000 0.0765
53.0000 0.0773
55.0000 0.0780
55.0000 0.0787
56.0000 0.0794
56.0000 0.0801
57.0000 0.0808
57.0000 0.0815
59.0000 0.0822
60.0000 0.0829
60.0000 0.0836
61.0000 0.0843
61.0000 0.0850
64.0000 0.0858
65.0000 0.0865
68.0000 0.0872
69.0000 0.0879
70.0000 0.0886
73.0000 0.0893
73.0000 0.0900
74.0000 0.0907
75.0000 0.0914
76.0000 0.0921
76.0000 0.0928
76.0000 0.0936
76.0000 0.0943
77.0000 0.0950
77.0000 0.0957
77.0000 0.0964
77.0000 0.0971
78.0000 0.0978
79.0000 0.0985
79.0000 0.0992
80.0000 0.0999
80.0000 0.1006
81.0000 0.1013
82.0000 0.1021
82.0000 0.1028
83.0000 0.1035
83.0000 0.1042
84.0000 0.1049
84.0000 0.1056
84.0000 0.1063
85.0000 0.1070
85.0000 0.1077
85.0000 0.1084
89.0000 0.1091
90.0000 0.1099
91.0000 0.1106
92.0000 0.1113
92.0000 0.1120
92.0000 0.1127
93.0000 0.1134
93.0000 0.1141
95.0000 0.1148
96.0000 0.1155
96.0000 0.1162
97.0000 0.1169
98.0000 0.1176
98.0000 0.1184
99.0000 0.1191
99.0000 0.1198
100.0000 0.1205
101.0000 0.1212
102.0000 0.1219
104.0000 0.1226
105.0000 0.1233
105.0000 0.1240
106.0000 0.1247
109.0000 0.1254
110.0000 0.1262
111.0000 0.1269
113.0000 0.1276
113.0000 0.1283
114.0000 0.1290
118.0000 0.1297
119.0000 0.1304
119.0000 0.1311
120.0000 0.1318
124.0000 0.1325
124.0000 0.1332
125.0000 0.1339
128.0000 0.1347
128.0000 0.1354
129.0000 0.1361
131.0000 0.1368
132.0000 0.1375
132.0000 0.1382
133.0000 0.1389
133.0000 0.1396
134.0000 0.1403
134.0000 0.1410
134.0000 0.1417
136.0000 0.1425
137.0000 0.1432
137.0000 0.1439
137.0000 0.1446
139.0000 0.1453
140.0000 0.1460
140.0000 0.1467
140.0000 0.1474
141.0000 0.1481
142.0000 0.1488
143.0000 0.1495
144.0000 0.1502
144.0000 0.1510
146.0000 0.1517
148.0000 0.1524
148.0000 0.1531
149.0000 0.1538
149.0000 0.1545
150.0000 0.1552
152.0000 0.1559
152.0000 0.1566
153.0000 0.1573
153.0000 0.1580
153.0000 0.1588
154.0000 0.1595
155.0000 0.1602
159.0000 0.1609
159.0000 0.1616
160.0000 0.1623
160.0000 0.1630
161.0000 0.1637
161.0000 0.1644
161.0000 0.1651
162.0000 0.1658
162.0000 0.1665
162.0000 0.1673
163.0000 0.1680
163.0000 0.1687
163.0000 0.1694
164.0000 0.1701
165.0000 0.1708
165.0000 0.1715
165.0000 0.1722
169.0000 0.1729
170.0000 0.1736
171.0000 0.1743
171.0000 0.1751
172.0000 0.1758
172.0000 0.1765
173.0000 0.1772
175.0000 0.1779
175.0000 0.1786
176.0000 0.1793
178.0000 0.1800
178.0000 0.1807
179.0000 0.1814
180.0000 0.1821
181.0000 0.1828
182.0000 0.1836
183.0000 0.1843
184.0000 0.1850
185.0000 0.1857
186.0000 0.1864
186.0000 0.1871
187.0000 0.1878
188.0000 0.1885
188.0000 0.1892
188.0000 0.1899
189.0000 0.1906
190.0000 0.1914
190.0000 0.1921
194.0000 0.1928
195.0000 0.1935
196.0000 0.1942
197.0000 0.1949
198.0000 0.1956
199.0000 0.1963
202.0000 0.1970
202.0000 0.1977
206.0000 0.1984
206.0000 0.1991
208.0000 0.1999
209.0000 0.2006
211.0000 0.2013
212.0000 0.2020
212.0000 0.2027
213.0000 0.2034
214.0000 0.2041
214.0000 0.2048
215.0000 0.2055
215.0000 0.2062
217.0000 0.2069
219.0000 0.2077
220.0000 0.2084
222.0000 0.2091
228.0000 0.2098
228.0000 0.2105
228.0000 0.2112
231.0000 0.2119
232.0000 0.2126
232.0000 0.2133
232.0000 0.2140
233.0000 0.2147
235.0000 0.2155
237.0000 0.2162
238.0000 0.2169
239.0000 0.2176
241.0000 0.2183
242.0000 0.2190
244.0000 0.2197
244.0000 0.2204
245.0000 0.2211
247.0000 0.2218
248.0000 0.2225
249.0000 0.2232
251.0000 0.2240
