# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
17.0000 2 1 0.5000
21.0000 3 1 0.3333
29.0000 4 1 0.2500
37.0000 5 1 0.2000
44.0000 6 1 0.1667
44.0000 6 2 0.3333
50.0000 7 2 0.2857
58.0000 8 2 0.2500
66.0000 9 2 0.2222
71.0000 10 2 0.2000
79.0000 11 2 0.1818
81.0000 11 3 0.2727
85.0000 12 3 0.2500
91.0000 13 3 0.2308
97.0000 14 3 0.2143
105.0000 15 3 0.2000
112.0000 16 3 0.1875
117.0000 16 4 0.2500
121.0000 17 4 0.2353
123.0000 17 5 0.2941
128.0000 18 5 0.2778
134.0000 19 5 0.2632
141.0000 20 5 0.2500
145.0000 20 6 0.3000
149.0000 21 6 0.2857
155.0000 22 6 0.2727
163.0000 23 6 0.2609
164.0000 23 7 0.3043
168.0000 24 7 0.2917
177.0000 25 7 0.2800
177.0000 25 8 0.3200
182.0000 26 8 0.3077
184.0000 26 9 0.3462
188.0000 27 9 0.3333
193.0000 28 9 0.3214
199.0000 29 9 0.3103
204.0000 30 9 0.3000
213.0000 31 9 0.2903
219.0000 32 9 0.2813
228.0000 33 9 0.2727
235.0000 34 9 0.2647
240.0000 34 10 0.2941
244.0000 35 10 0.2857
247.0000 35 11 0.3143
251.0000 36 11 0.3056
253.0000 36 12 0.3333
259.0000 37 12 0.3243
261.0000 37 13 0.3514
268.0000 38 13 0.3421
276.0000 39 13 0.3333
284.0000 40 13 0.3250
285.0000 40 14 0.3500
293.0000 41 14 0.3415
297.0000 41 15 0.3659
300.0000 42 15 0.3571
305.0000 43 15 0.3488
310.0000 44 15 0.3409
315.0000 45 15 0.3333
322.0000 45 16 0.3556
323.0000 46 16 0.3478
325.0000 46 17 0.3696
330.0000 47 17 0.3617
336.0000 48 17 0.3542
338.0000 48 18 0.3750
343.0000 49 18 0.3673
349.0000 49 19 0.3878
352.0000 50 19 0.3800
357.0000 51 19 0.3725
365.0000 52 19 0.3654
371.0000 53 19 0.3585
378.0000 54 19 0.3519
378.0000 54 20 0.3704
386.0000 55 20 0.3636
386.0000 55 21 0.3818
388.0000 55 22 0.4000
392.0000 56 22 0.3929
399.0000 57 22 0.3860
406.0000 58 22 0.3793
406.0000 58 23 0.3966
406.0000 58 24 0.4138
412.0000 58 25 0.4310
415.0000 59 25 0.4237
420.0000 60 25 0.4167
427.0000 61 25 0.4098
428.0000 61 26 0.4262
435.0000 62 26 0.4194
441.0000 63 26 0.4127
445.0000 63 27 0.4286
447.0000 63 28 0.4444
449.0000 64 28 0.4375
454.0000 65 28 0.4308
455.0000 65 29 0.4462
462.0000 66 29 0.4394
470.0000 67 29 0.4328
478.0000 68 29 0.4265
487.0000 69 29 0.4203
491.0000 69 30 0.4348
493.0000 70 30 0.4286
498.0000 71 30 0.4225
506.0000 71 31 0.4366
507.0000 72 31 0.4306
512.0000 73 31 0.4247
516.0000 73 32 0.4384
519.0000 74 32 0.4324
524.0000 75 32 0.4267
526.0000 75 33 0.4400
528.0000 75 34 0.4533
533.0000 76 34 0.4474
534.0000 76 35 0.4605
537.0000 76 36 0.4737
539.0000 77 36 0.4675
546.0000 77 37 0.4805
548.0000 78 37 0.4744
555.0000 79 37 0.4684
563.0000 80 37 0.4625
563.0000 80 38 0.4750
572.0000 81 38 0.4691
581.0000 82 38 0.4634
581.0000 82 39 0.4756
590.0000 83 39 0.4699
596.0000 83 40 0.4819
