# time  created  delivered  delivered/created
7.0000 1 0 0.0000
12.0000 1 1 1.0000
16.0000 2 1 0.5000
21.0000 3 1 0.3333
29.0000 4 1 0.2500
37.0000 5 1 0.2000
39.0000 5 2 0.4000
40.0000 5 3 0.6000
44.0000 6 3 0.5000
50.0000 7 3 0.4286
58.0000 8 3 0.3750
66.0000 9 3 0.3333
71.0000 10 3 0.3000
79.0000 11 3 0.2727
80.0000 11 4 0.3636
85.0000 12 4 0.3333
91.0000 13 4 0.3077
97.0000 14 4 0.2857
105.0000 15 4 0.2667
112.0000 16 4 0.2500
120.0000 16 5 0.3125
121.0000 17 5 0.2941
128.0000 18 5 0.2778
134.0000 19 5 0.2632
141.0000 20 5 0.2500
144.0000 20 6 0.3000
147.0000 20 7 0.3500
149.0000 21 7 0.3333
155.0000 22 7 0.3182
157.0000 22 8 0.3636
163.0000 23 8 0.3478
168.0000 24 8 0.3333
177.0000 25 8 0.3200
182.0000 26 8 0.3077
183.0000 26 9 0.3462
186.0000 26 10 0.3846
188.0000 27 10 0.3704
193.0000 28 10 0.3571
199.0000 29 10 0.3448
204.0000 30 10 0.3333
213.0000 31 10 0.3226
219.0000 32 10 0.3125
224.0000 32 11 0.3438
228.0000 33 11 0.3333
235.0000 34 11 0.3235
244.0000 35 11 0.3143
251.0000 36 11 0.3056
252.0000 36 12 0.3333
254.0000 36 13 0.3611
259.0000 37 13 0.3514
264.0000 37 14 0.3784
268.0000 38 14 0.3684
276.0000 39 14 0.3590
284.0000 40 14 0.3500
284.0000 40 15 0.3750
293.0000 41 15 0.3659
295.0000 41 16 0.3902
300.0000 42 16 0.3810
305.0000 43 16 0.3721
310.0000 44 16 0.3636
313.0000 44 17 0.3864
315.0000 45 17 0.3778
316.0000 45 18 0.4000
316.0000 45 19 0.4222
323.0000 46 19 0.4130
330.0000 47 19 0.4043
336.0000 48 19 0.3958
343.0000 49 19 0.3878
352.0000 50 19 0.3800
357.0000 51 19 0.3725
365.0000 52 19 0.3654
371.0000 53 19 0.3585
377.0000 53 20 0.3774
378.0000 54 20 0.3704
385.0000 54 21 0.3889
386.0000 55 21 0.3818
386.0000 55 22 0.4000
392.0000 56 22 0.3929
396.0000 56 23 0.4107
397.0000 56 24 0.4286
399.0000 57 24 0.4211
403.0000 57 25 0.4386
406.0000 58 25 0.4310
412.0000 58 26 0.4483
415.0000 59 26 0.4407
420.0000 60 26 0.4333
427.0000 61 26 0.4262
435.0000 62 26 0.4194
441.0000 63 26 0.4127
441.0000 63 27 0.4286
442.0000 63 28 0.4444
444.0000 63 29 0.4603
449.0000 64 29 0.4531
454.0000 65 29 0.4462
462.0000 66 29 0.4394
470.0000 67 29 0.4328
478.0000 68 29 0.4265
484.0000 68 30 0.4412
487.0000 69 30 0.4348
493.0000 70 30 0.4286
494.0000 70 31 0.4429
496.0000 70 32 0.4571
498.0000 71 32 0.4507
507.0000 72 32 0.4444
508.0000 72 33 0.4583
512.0000 73 33 0.4521
519.0000 74 33 0.4459
524.0000 75 33 0.4400
525.0000 75 34 0.4533
