# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
17.0000 2 1 0.5000
21.0000 3 1 0.3333
29.0000 4 1 0.2500
37.0000 5 1 0.2000
44.0000 6 1 0.1667
47.0000 6 2 0.3333
49.0000 6 3 0.5000
50.0000 7 3 0.4286
58.0000 8 3 0.3750
66.0000 9 3 0.3333
71.0000 10 3 0.3000
79.0000 11 3 0.2727
81.0000 11 4 0.3636
85.0000 12 4 0.3333
91.0000 13 4 0.3077
97.0000 14 4 0.2857
105.0000 15 4 0.2667
112.0000 16 4 0.2500
121.0000 17 4 0.2353
128.0000 18 4 0.2222
133.0000 18 5 0.2778
134.0000 19 5 0.2632
141.0000 20 5 0.2500
145.0000 20 6 0.3000
149.0000 21 6 0.2857
155.0000 22 6 0.2727
163.0000 23 6 0.2609
168.0000 24 6 0.2500
168.0000 24 7 0.2917
177.0000 25 7 0.2800
182.0000 26 7 0.2692
188.0000 27 7 0.2593
189.0000 27 8 0.2963
193.0000 28 8 0.2857
199.0000 29 8 0.2759
204.0000 30 8 0.2667
210.0000 30 9 0.3000
213.0000 31 9 0.2903
219.0000 32 9 0.2813
228.0000 33 9 0.2727
235.0000 34 9 0.2647
235.0000 34 10 0.2941
244.0000 35 10 0.2857
247.0000 35 11 0.3143
251.0000 36 11 0.3056
253.0000 36 12 0.3333
259.0000 37 12 0.3243
268.0000 38 12 0.3158
270.0000 38 13 0.3421
276.0000 39 13 0.3333
284.0000 40 13 0.3250
285.0000 40 14 0.3500
293.0000 41 14 0.3415
298.0000 41 15 0.3659
300.0000 42 15 0.3571
305.0000 43 15 0.3488
310.0000 44 15 0.3409
314.0000 44 16 0.3636
315.0000 45 16 0.3556
319.0000 45 17 0.3778
323.0000 46 17 0.3696
324.0000 46 18 0.3913
329.0000 46 19 0.4130
330.0000 47 19 0.4043
336.0000 48 19 0.3958
343.0000 49 19 0.3878
352.0000 50 19 0.3800
357.0000 51 19 0.3725
365.0000 52 19 0.3654
371.0000 53 19 0.3585
378.0000 54 19 0.3519
378.0000 54 20 0.3704
386.0000 55 20 0.3636
386.0000 55 21 0.3818
388.0000 55 22 0.4000
392.0000 56 22 0.3929
394.0000 56 23 0.4107
397.0000 56 24 0.4286
399.0000 57 24 0.4211
406.0000 58 24 0.4138
415.0000 59 24 0.4068
416.0000 59 25 0.4237
420.0000 60 25 0.4167
427.0000 61 25 0.4098
435.0000 62 25 0.4032
441.0000 63 25 0.3968
442.0000 63 26 0.4127
445.0000 63 27 0.4286
449.0000 64 27 0.4219
452.0000 64 28 0.4375
454.0000 65 28 0.4308
458.0000 65 29 0.4462
462.0000 66 29 0.4394
470.0000 67 29 0.4328
478.0000 68 29 0.4265
487.0000 69 29 0.4203
493.0000 70 29 0.4143
498.0000 71 29 0.4085
507.0000 72 29 0.4028
509.0000 72 30 0.4167
512.0000 73 30 0.4110
519.0000 74 30 0.4054
524.0000 75 30 0.4000
526.0000 75 31 0.4133
528.0000 75 32 0.4267
532.0000 75 33 0.4400
533.0000 76 33 0.4342
536.0000 76 34 0.4474
537.0000 76 35 0.4605
538.0000 76 36 0.4737
539.0000 77 36 0.4675
548.0000 78 36 0.4615
554.0000 78 37 0.4744
555.0000 79 37 0.4684
563.0000 80 37 0.4625
564.0000 80 38 0.4750
572.0000 81 38 0.4691
574.0000 81 39 0.4815
581.0000 82 39 0.4756
590.0000 83 39 0.4699
596.0000 83 40 0.4819
