# time  created  delivered  delivered/created
7.0000 1 0 0.0000
12.0000 1 1 1.0000
16.0000 2 1 0.5000
21.0000 3 1 0.3333
29.0000 4 1 0.2500
37.0000 5 1 0.2000
38.0000 5 2 0.4000
41.0000 5 3 0.6000
44.0000 6 3 0.5000
50.0000 7 3 0.4286
58.0000 8 3 0.3750
66.0000 9 3 0.3333
71.0000 10 3 0.3000
79.0000 11 3 0.2727
80.0000 11 4 0.3636
85.0000 12 4 0.3333
91.0000 13 4 0.3077
97.0000 14 4 0.2857
105.0000 15 4 0.2667
112.0000 16 4 0.2500
121.0000 17 4 0.2353
122.0000 17 5 0.2941
128.0000 18 5 0.2778
134.0000 19 5 0.2632
141.0000 20 5 0.2500
144.0000 20 6 0.3000
145.0000 20 7 0.3500
147.0000 20 8 0.4000
149.0000 21 8 0.3810
155.0000 22 8 0.3636
157.0000 22 9 0.4091
163.0000 23 9 0.3913
168.0000 24 9 0.3750
177.0000 25 9 0.3600
182.0000 26 9 0.3462
183.0000 26 10 0.3846
188.0000 27 10 0.3704
193.0000 28 10 0.3571
199.0000 29 10 0.3448
204.0000 30 10 0.3333
213.0000 31 10 0.3226
219.0000 32 10 0.3125
224.0000 32 11 0.3438
228.0000 33 11 0.3333
235.0000 34 11 0.3235
244.0000 35 11 0.3143
251.0000 36 11 0.3056
252.0000 36 12 0.3333
253.0000 36 13 0.3611
258.0000 36 14 0.3889
259.0000 37 14 0.3784
266.0000 37 15 0.4054
268.0000 38 15 0.3947
276.0000 39 15 0.3846
284.0000 40 15 0.3750
284.0000 40 16 0.4000
293.0000 41 16 0.3902
297.0000 41 17 0.4146
300.0000 42 17 0.4048
305.0000 43 17 0.3953
310.0000 44 17 0.3864
312.0000 44 18 0.4091
315.0000 45 18 0.4000
319.0000 45 19 0.4222
321.0000 45 20 0.4444
323.0000 46 20 0.4348
330.0000 47 20 0.4255
336.0000 48 20 0.4167
343.0000 49 20 0.4082
352.0000 50 20 0.4000
357.0000 51 20 0.3922
365.0000 52 20 0.3846
371.0000 53 20 0.3774
378.0000 54 20 0.3704
385.0000 54 21 0.3889
386.0000 55 21 0.3818
386.0000 55 22 0.4000
392.0000 56 22 0.3929
393.0000 56 23 0.4107
395.0000 56 24 0.4286
399.0000 57 24 0.4211
406.0000 58 24 0.4138
413.0000 58 25 0.4310
415.0000 59 25 0.4237
420.0000 60 25 0.4167
427.0000 61 25 0.4098
435.0000 62 25 0.4032
441.0000 63 25 0.3968
441.0000 63 26 0.4127
444.0000 63 27 0.4286
446.0000 63 28 0.4444
449.0000 64 28 0.4375
451.0000 64 29 0.4531
454.0000 65 29 0.4462
462.0000 66 29 0.4394
470.0000 67 29 0.4328
476.0000 67 30 0.4478
478.0000 68 30 0.4412
485.0000 68 31 0.4559
486.0000 68 32 0.4706
487.0000 69 32 0.4638
493.0000 70 32 0.4571
498.0000 71 32 0.4507
507.0000 72 32 0.4444
508.0000 72 33 0.4583
509.0000 72 34 0.4722
512.0000 73 34 0.4658
519.0000 74 34 0.4595
524.0000 75 34 0.4533
