# messageDelay  cumulativeProbability
2.0000 0.0007
2.0000 0.0014
2.0000 0.0021
2.0000 0.0028
2.0000 0.0035
2.0000 0.0043
2.0000 0.0050
2.0000 0.0057
2.0000 0.0064
2.0000 0.0071
2.0000 0.0078
2.0000 0.0085
2.0000 0.0092
3.0000 0.0099
3.0000 0.0106
3.0000 0.0113
3.0000 0.0120
3.0000 0.0128
3.0000 0.0135
3.0000 0.0142
3.0000 0.0149
3.0000 0.0156
3.0000 0.0163
3.0000 0.0170
3.0000 0.0177
3.0000 0.0184
3.0000 0.0191
3.0000 0.0198
4.0000 0.0206
4.0000 0.0213
4.0000 0.0220
4.0000 0.0227
4.0000 0.0234
4.0000 0.0241
4.0000 0.0248
4.0000 0.0255
4.0000 0.0262
5.0000 0.0269
5.0000 0.0276
5.0000 0.0283
5.0000 0.0291
5.0000 0.0298
6.0000 0.0305
6.0000 0.0312
6.0000 0.0319
6.0000 0.0326
7.0000 0.0333
7.0000 0.0340
7.0000 0.0347
7.0000 0.0354
8.0000 0.0361
8.0000 0.0369
8.0000 0.0376
9.0000 0.0383
9.0000 0.0390
9.0000 0.0397
9.0000 0.0404
10.0000 0.0411
10.0000 0.0418
10.0000 0.0425
11.0000 0.0432
11.0000 0.0439
12.0000 0.0446
12.0000 0.0454
12.0000 0.0461
12.0000 0.0468
12.0000 0.0475
13.0000 0.0482
13.0000 0.0489
13.0000 0.0496
13.0000 0.0503
14.0000 0.0510
14.0000 0.0517
15.0000 0.0524
15.0000 0.0532
16.0000 0.0539
16.0000 0.0546
16.0000 0.0553
17.0000 0.0560
17.0000 0.0567
17.0000 0.0574
17.0000 0.0581
17.0000 0.0588
17.0000 0.0595
17.0000 0.0602
18.0000 0.0609
18.0000 0.0617
18.0000 0.0624
18.0000 0.0631
18.0000 0.0638
18.0000 0.0645
20.0000 0.0652
20.0000 0.0659
20.0000 0.0666
20.0000 0.0673
20.0000 0.0680
20.0000 0.0687
20.0000 0.0695
21.0000 0.0702
21.0000 0.0709
22.0000 0.0716
22.0000 0.0723
22.0000 0.0730
23.0000 0.0737
24.0000 0.0744
24.0000 0.0751
24.0000 0.0758
25.0000 0.0765
25.0000 0.0773
25.0000 0.0780
25.0000 0.0787
26.0000 0.0794
26.0000 0.0801
26.0000 0.0808
26.0000 0.0815
27.0000 0.0822
27.0000 0.0829
27.0000 0.0836
27.0000 0.0843
27.0000 0.0850
28.0000 0.0858
29.0000 0.0865
29.0000 0.0872
29.0000 0.0879
29.0000 0.0886
29.0000 0.0893
30.0000 0.0900
31.0000 0.0907
31.0000 0.0914
31.0000 0.0921
32.0000 0.0928
32.0000 0.0936
33.0000 0.0943
33.0000 0.0950
33.0000 0.0957
33.0000 0.0964
33.0000 0.0971
33.0000 0.0978
34.0000 0.0985
34.0000 0.0992
34.0000 0.0999
34.0000 0.1006
35.0000 0.1013
36.0000 0.1021
37.0000 0.1028
37.0000 0.1035
38.0000 0.1042
38.0000 0.1049
38.0000 0.1056
39.0000 0.1063
39.0000 0.1070
40.0000 0.1077
40.0000 0.1084
41.0000 0.1091
41.0000 0.1099
41.0000 0.1106
42.0000 0.1113
42.0000 0.1120
42.0000 0.1127
42.0000 0.1134
43.0000 0.1141
43.0000 0.1148
43.0000 0.1155
43.0000 0.1162
43.0000 0.1169
44.0000 0.1176
44.0000 0.1184
45.0000 0.1191
45.0000 0.1198
45.0000 0.1205
46.0000 0.1212
46.0000 0.1219
46.0000 0.1226
47.0000 0.1233
48.0000 0.1240
48.0000 0.1247
49.0000 0.1254
50.0000 0.1262
50.0000 0.1269
50.0000 0.1276
50.0000 0.1283
50.0000 0.1290
51.0000 0.1297
51.0000 0.1304
51.0000 0.1311
51.0000 0.1318
52.0000 0.1325
52.0000 0.1332
52.0000 0.1339
52.0000 0.1347
52.0000 0.1354
52.0000 0.1361
53.0000 0.1368
53.0000 0.1375
53.0000 0.1382
53.0000 0.1389
56.0000 0.1396
56.0000 0.1403
56.0000 0.1410
59.0000 0.1417
59.0000 0.1425
59.0000 0.1432
59.0000 0.1439
60.0000 0.1446
61.0000 0.1453
62.0000 0.1460
62.0000 0.1467
63.0000 0.1474
64.0000 0.1481
64.0000 0.1488
65.0000 0.1495
65.0000 0.1502
66.0000 0.1510
66.0000 0.1517
68.0000 0.1524
69.0000 0.1531
69.0000 0.1538
71.0000 0.1545
71.0000 0.1552
72.0000 0.1559
73.0000 0.1566
73.0000 0.1573
74.0000 0.1580
76.0000 0.1588
76.0000 0.1595
76.0000 0.1602
76.0000 0.1609
77.0000 0.1616
78.0000 0.1623
78.0000 0.1630
79.0000 0.1637
80.0000 0.1644
80.0000 0.1651
81.0000 0.1658
82.0000 0.1665
82.0000 0.1673
82.0000 0.1680
83.0000 0.1687
84.0000 0.1694
84.0000 0.1701
84.0000 0.1708
84.0000 0.1715
85.0000 0.1722
87.0000 0.1729
87.0000 0.1736
87.0000 0.1743
87.0000 0.1751
87.0000 0.1758
87.0000 0.1765
87.0000 0.1772
88.0000 0.1779
88.0000 0.1786
89.0000 0.1793
89.0000 0.1800
90.0000 0.1807
90.0000 0.1814
91.0000 0.1821
92.0000 0.1828
93.0000 0.1836
93.0000 0.1843
94.0000 0.1850
95.0000 0.1857
96.0000 0.1864
96.0000 0.1871
97.0000 0.1878
97.0000 0.1885
97.0000 0.1892
98.0000 0.1899
99.0000 0.1906
99.0000 0.1914
100.0000 0.1921
101.0000 0.1928
101.0000 0.1935
101.0000 0.1942
102.0000 0.1949
102.0000 0.1956
104.0000 0.1963
104.0000 0.1970
104.0000 0.1977
105.0000 0.1984
105.0000 0.1991
105.0000 0.1999
105.0000 0.2006
106.0000 0.2013
106.0000 0.2020
107.0000 0.2027
107.0000 0.2034
107.0000 0.2041
108.0000 0.2048
108.0000 0.2055
108.0000 0.2062
111.0000 0.2069
111.0000 0.2077
112.0000 0.2084
112.0000 0.2091
113.0000 0.2098
113.0000 0.2105
113.0000 0.2112
115.0000 0.2119
115.0000 0.2126
115.0000 0.2133
116.0000 0.2140
116.0000 0.2147
117.0000 0.2155
117.0000 0.2162
117.0000 0.2169
118.0000 0.2176
118.0000 0.2183
119.0000 0.2190
119.0000 0.2197
120.0000 0.2204
121.0000 0.2211
121.0000 0.2218
121.0000 0.2225
121.0000 0.2232
121.0000 0.2240
