# time  created  delivered  delivered/created
7.0000 1 0 0.0000
12.0000 1 1 1.0000
16.0000 2 1 0.5000
21.0000 3 1 0.3333
29.0000 4 1 0.2500
37.0000 5 1 0.2000
44.0000 6 1 0.1667
50.0000 7 1 0.1429
58.0000 8 1 0.1250
58.0000 8 2 0.2500
66.0000 9 2 0.2222
71.0000 10 2 0.2000
79.0000 11 2 0.1818
81.0000 11 3 0.2727
81.0000 11 4 0.3636
85.0000 12 4 0.3333
91.0000 13 4 0.3077
97.0000 14 4 0.2857
105.0000 15 4 0.2667
112.0000 16 4 0.2500
121.0000 17 4 0.2353
128.0000 18 4 0.2222
134.0000 19 4 0.2105
141.0000 20 4 0.2000
145.0000 20 5 0.2500
149.0000 21 5 0.2381
155.0000 22 5 0.2273
163.0000 23 5 0.2174
165.0000 23 6 0.2609
167.0000 23 7 0.3043
168.0000 24 7 0.2917
177.0000 25 7 0.2800
182.0000 26 7 0.2692
184.0000 26 8 0.3077
188.0000 27 8 0.2963
193.0000 28 8 0.2857
199.0000 29 8 0.2759
204.0000 30 8 0.2667
213.0000 31 8 0.2581
219.0000 32 8 0.2500
228.0000 33 8 0.2424
235.0000 34 8 0.2353
244.0000 35 8 0.2286
251.0000 36 8 0.2222
253.0000 36 9 0.2500
259.0000 37 9 0.2432
268.0000 38 9 0.2368
276.0000 39 9 0.2308
284.0000 40 9 0.2250
293.0000 41 9 0.2195
294.0000 41 10 0.2439
297.0000 41 11 0.2683
300.0000 42 11 0.2619
305.0000 43 11 0.2558
310.0000 44 11 0.2500
314.0000 44 12 0.2727
315.0000 45 12 0.2667
315.0000 45 13 0.2889
323.0000 46 13 0.2826
330.0000 47 13 0.2766
336.0000 48 13 0.2708
343.0000 49 13 0.2653
349.0000 49 14 0.2857
352.0000 50 14 0.2800
357.0000 51 14 0.2745
364.0000 51 15 0.2941
365.0000 52 15 0.2885
371.0000 53 15 0.2830
378.0000 54 15 0.2778
386.0000 55 15 0.2727
392.0000 56 15 0.2679
399.0000 57 15 0.2632
403.0000 57 16 0.2807
406.0000 58 16 0.2759
406.0000 58 17 0.2931
412.0000 58 18 0.3103
415.0000 59 18 0.3051
420.0000 60 18 0.3000
427.0000 61 18 0.2951
435.0000 62 18 0.2903
438.0000 62 19 0.3065
441.0000 63 19 0.3016
449.0000 64 19 0.2969
451.0000 64 20 0.3125
452.0000 64 21 0.3281
454.0000 65 21 0.3231
462.0000 66 21 0.3182
470.0000 67 21 0.3134
478.0000 68 21 0.3088
487.0000 69 21 0.3043
493.0000 70 21 0.3000
498.0000 71 21 0.2958
507.0000 72 21 0.2917
510.0000 72 22 0.3056
512.0000 73 22 0.3014
519.0000 74 22 0.2973
519.0000 74 23 0.3108
524.0000 75 23 0.3067
526.0000 75 24 0.3200
528.0000 75 25 0.3333
530.0000 75 26 0.3467
533.0000 76 26 0.3421
537.0000 76 27 0.3553
539.0000 77 27 0.3506
541.0000 77 28 0.3636
543.0000 77 29 0.3766
548.0000 78 29 0.3718
555.0000 79 29 0.3671
563.0000 80 29 0.3625
