# messageDelay  cumulativeProbability
1.0000 0.0007
1.0000 0.0014
1.0000 0.0021
1.0000 0.0028
1.0000 0.0035
1.0000 0.0043
1.0000 0.0050
1.0000 0.0057
1.0000 0.0064
1.0000 0.0071
1.0000 0.0078
1.0000 0.0085
1.0000 0.0092
1.0000 0.0099
1.0000 0.0106
1.0000 0.0113
1.0000 0.0120
1.0000 0.0128
1.0000 0.0135
1.0000 0.0142
1.0000 0.0149
1.0000 0.0156
1.0000 0.0163
1.0000 0.0170
1.0000 0.0177
1.0000 0.0184
1.0000 0.0191
2.0000 0.0198
2.0000 0.0206
2.0000 0.0213
2.0000 0.0220
2.0000 0.0227
2.0000 0.0234
2.0000 0.0241
2.0000 0.0248
2.0000 0.0255
3.0000 0.0262
3.0000 0.0269
3.0000 0.0276
3.0000 0.0283
3.0000 0.0291
3.0000 0.0298
3.0000 0.0305
3.0000 0.0312
4.0000 0.0319
4.0000 0.0326
4.0000 0.0333
4.0000 0.0340
4.0000 0.0347
4.0000 0.0354
4.0000 0.0361
4.0000 0.0369
4.0000 0.0376
5.0000 0.0383
5.0000 0.0390
5.0000 0.0397
5.0000 0.0404
6.0000 0.0411
6.0000 0.0418
6.0000 0.0425
6.0000 0.0432
6.0000 0.0439
6.0000 0.0446
6.0000 0.0454
6.0000 0.0461
7.0000 0.0468
7.0000 0.0475
7.0000 0.0482
7.0000 0.0489
8.0000 0.0496
8.0000 0.0503
8.0000 0.0510
8.0000 0.0517
9.0000 0.0524
9.0000 0.0532
9.0000 0.0539
9.0000 0.0546
9.0000 0.0553
9.0000 0.0560
10.0000 0.0567
10.0000 0.0574
10.0000 0.0581
10.0000 0.0588
10.0000 0.0595
10.0000 0.0602
10.0000 0.0609
11.0000 0.0617
11.0000 0.0624
11.0000 0.0631
11.0000 0.0638
12.0000 0.0645
12.0000 0.0652
12.0000 0.0659
12.0000 0.0666
12.0000 0.0673
12.0000 0.0680
12.0000 0.0687
13.0000 0.0695
13.0000 0.0702
13.0000 0.0709
14.0000 0.0716
14.0000 0.0723
14.0000 0.0730
15.0000 0.0737
16.0000 0.0744
16.0000 0.0751
16.0000 0.0758
16.0000 0.0765
16.0000 0.0773
16.0000 0.0780
16.0000 0.0787
17.0000 0.0794
17.0000 0.0801
17.0000 0.0808
17.0000 0.0815
18.0000 0.0822
18.0000 0.0829
18.0000 0.0836
18.0000 0.0843
18.0000 0.0850
19.0000 0.0858
19.0000 0.0865
19.0000 0.0872
19.0000 0.0879
19.0000 0.0886
20.0000 0.0893
20.0000 0.0900
20.0000 0.0907
20.0000 0.0914
21.0000 0.0921
21.0000 0.0928
21.0000 0.0936
23.0000 0.0943
23.0000 0.0950
23.0000 0.0957
23.0000 0.0964
23.0000 0.0971
23.0000 0.0978
23.0000 0.0985
24.0000 0.0992
24.0000 0.0999
24.0000 0.1006
24.0000 0.1013
24.0000 0.1021
25.0000 0.1028
25.0000 0.1035
25.0000 0.1042
25.0000 0.1049
26.0000 0.1056
26.0000 0.1063
27.0000 0.1070
27.0000 0.1077
27.0000 0.1084
28.0000 0.1091
28.0000 0.1099
29.0000 0.1106
29.0000 0.1113
29.0000 0.1120
30.0000 0.1127
30.0000 0.1134
30.0000 0.1141
30.0000 0.1148
30.0000 0.1155
31.0000 0.1162
31.0000 0.1169
31.0000 0.1176
31.0000 0.1184
31.0000 0.1191
32.0000 0.1198
32.0000 0.1205
32.0000 0.1212
32.0000 0.1219
33.0000 0.1226
33.0000 0.1233
33.0000 0.1240
33.0000 0.1247
34.0000 0.1254
34.0000 0.1262
34.0000 0.1269
34.0000 0.1276
35.0000 0.1283
35.0000 0.1290
35.0000 0.1297
36.0000 0.1304
36.0000 0.1311
37.0000 0.1318
38.0000 0.1325
38.0000 0.1332
38.0000 0.1339
39.0000 0.1347
40.0000 0.1354
40.0000 0.1361
41.0000 0.1368
41.0000 0.1375
41.0000 0.1382
42.0000 0.1389
43.0000 0.1396
43.0000 0.1403
43.0000 0.1410
43.0000 0.1417
44.0000 0.1425
44.0000 0.1432
44.0000 0.1439
44.0000 0.1446
45.0000 0.1453
45.0000 0.1460
45.0000 0.1467
45.0000 0.1474
45.0000 0.1481
45.0000 0.1488
46.0000 0.1495
47.0000 0.1502
47.0000 0.1510
47.0000 0.1517
48.0000 0.1524
48.0000 0.1531
48.0000 0.1538
48.0000 0.1545
49.0000 0.1552
49.0000 0.1559
49.0000 0.1566
50.0000 0.1573
50.0000 0.1580
50.0000 0.1588
52.0000 0.1595
52.0000 0.1602
52.0000 0.1609
52.0000 0.1616
52.0000 0.1623
53.0000 0.1630
54.0000 0.1637
54.0000 0.1644
55.0000 0.1651
55.0000 0.1658
55.0000 0.1665
56.0000 0.1673
56.0000 0.1680
56.0000 0.1687
57.0000 0.1694
57.0000 0.1701
58.0000 0.1708
58.0000 0.1715
59.0000 0.1722
60.0000 0.1729
60.0000 0.1736
60.0000 0.1743
62.0000 0.1751
62.0000 0.1758
62.0000 0.1765
62.0000 0.1772
64.0000 0.1779
65.0000 0.1786
65.0000 0.1793
65.0000 0.1800
67.0000 0.1807
68.0000 0.1814
68.0000 0.1821
68.0000 0.1828
69.0000 0.1836
69.0000 0.1843
70.0000 0.1850
71.0000 0.1857
71.0000 0.1864
71.0000 0.1871
72.0000 0.1878
72.0000 0.1885
72.0000 0.1892
73.0000 0.1899
73.0000 0.1906
73.0000 0.1914
73.0000 0.1921
74.0000 0.1928
74.0000 0.1935
75.0000 0.1942
75.0000 0.1949
77.0000 0.1956
77.0000 0.1963
77.0000 0.1970
77.0000 0.1977
77.0000 0.1984
79.0000 0.1991
80.0000 0.1999
81.0000 0.2006
82.0000 0.2013
82.0000 0.2020
82.0000 0.2027
82.0000 0.2034
82.0000 0.2041
82.0000 0.2048
83.0000 0.2055
84.0000 0.2062
84.0000 0.2069
84.0000 0.2077
85.0000 0.2084
85.0000 0.2091
86.0000 0.2098
86.0000 0.2105
86.0000 0.2112
87.0000 0.2119
88.0000 0.2126
89.0000 0.2133
90.0000 0.2140
91.0000 0.2147
91.0000 0.2155
91.0000 0.2162
91.0000 0.2169
92.0000 0.2176
92.0000 0.2183
