# time  created  delivered  delivered/created
7.0000 1 0 0.0000
10.0000 1 1 1.0000
16.0000 2 1 0.5000
21.0000 3 1 0.3333
29.0000 4 1 0.2500
35.0000 4 2 0.5000
37.0000 5 2 0.4000
44.0000 6 2 0.3333
50.0000 7 2 0.2857
58.0000 8 2 0.2500
66.0000 9 2 0.2222
71.0000 10 2 0.2000
77.0000 10 3 0.3000
79.0000 11 3 0.2727
80.0000 11 4 0.3636
85.0000 12 4 0.3333
91.0000 13 4 0.3077
97.0000 14 4 0.2857
105.0000 15 4 0.2667
112.0000 16 4 0.2500
121.0000 17 4 0.2353
128.0000 18 4 0.2222
134.0000 19 4 0.2105
140.0000 19 5 0.2632
141.0000 20 5 0.2500
145.0000 20 6 0.3000
149.0000 21 6 0.2857
155.0000 22 6 0.2727
163.0000 23 6 0.2609
164.0000 23 7 0.3043
168.0000 24 7 0.2917
177.0000 25 7 0.2800
182.0000 26 7 0.2692
183.0000 26 8 0.3077
188.0000 27 8 0.2963
193.0000 28 8 0.2857
199.0000 29 8 0.2759
204.0000 30 8 0.2667
213.0000 31 8 0.2581
219.0000 32 8 0.2500
228.0000 33 8 0.2424
235.0000 34 8 0.2353
244.0000 35 8 0.2286
251.0000 36 8 0.2222
252.0000 36 9 0.2500
259.0000 37 9 0.2432
268.0000 38 9 0.2368
276.0000 39 9 0.2308
284.0000 40 9 0.2250
291.0000 40 10 0.2500
293.0000 41 10 0.2439
295.0000 41 11 0.2683
300.0000 42 11 0.2619
305.0000 43 11 0.2558
310.0000 44 11 0.2500
312.0000 44 12 0.2727
314.0000 44 13 0.2955
315.0000 45 13 0.2889
317.0000 45 14 0.3111
323.0000 46 14 0.3043
330.0000 47 14 0.2979
336.0000 48 14 0.2917
343.0000 49 14 0.2857
350.0000 49 15 0.3061
352.0000 50 15 0.3000
357.0000 51 15 0.2941
365.0000 52 15 0.2885
371.0000 53 15 0.2830
378.0000 54 15 0.2778
386.0000 55 15 0.2727
388.0000 55 16 0.2909
392.0000 56 16 0.2857
399.0000 57 16 0.2807
403.0000 57 17 0.2982
406.0000 58 17 0.2931
410.0000 58 18 0.3103
415.0000 59 18 0.3051
420.0000 60 18 0.3000
427.0000 61 18 0.2951
435.0000 62 18 0.2903
437.0000 62 19 0.3065
441.0000 63 19 0.3016
446.0000 63 20 0.3175
449.0000 64 20 0.3125
454.0000 65 20 0.3077
462.0000 66 20 0.3030
470.0000 67 20 0.2985
477.0000 67 21 0.3134
478.0000 68 21 0.3088
479.0000 68 22 0.3235
487.0000 69 22 0.3188
493.0000 70 22 0.3143
498.0000 71 22 0.3099
502.0000 71 23 0.3239
507.0000 72 23 0.3194
512.0000 73 23 0.3151
519.0000 74 23 0.3108
524.0000 75 23 0.3067
525.0000 75 24 0.3200
526.0000 75 25 0.3333
526.0000 75 26 0.3467
529.0000 75 27 0.3600
530.0000 75 28 0.3733
533.0000 76 28 0.3684
536.0000 76 29 0.3816
539.0000 77 29 0.3766
542.0000 77 30 0.3896
543.0000 77 31 0.4026
548.0000 78 31 0.3974
555.0000 79 31 0.3924
563.0000 80 31 0.3875
565.0000 80 32 0.4000
565.0000 80 33 0.4125
572.0000 81 33 0.4074
572.0000 81 34 0.4198
581.0000 82 34 0.4146
582.0000 82 35 0.4268
590.0000 83 35 0.4217
599.0000 84 35 0.4167
606.0000 85 35 0.4118
607.0000 85 36 0.4235
615.0000 86 36 0.4186
621.0000 87 36 0.4138
622.0000 87 37 0.4253
627.0000 88 37 0.4205
628.0000 88 38 0.4318
629.0000 88 39 0.4432
630.0000 88 40 0.4545
631.0000 88 41 0.4659
636.0000 89 41 0.4607
636.0000 89 42 0.4719
638.0000 89 43 0.4831
639.0000 89 44 0.4944
643.0000 90 44 0.4889
646.0000 90 45 0.5000
650.0000 91 45 0.4945
659.0000 92 45 0.4891
666.0000 92 46 0.5000
668.0000 93 46 0.4946
669.0000 93 47 0.5054
675.0000 93 48 0.5161
676.0000 94 48 0.5106
676.0000 94 49 0.5213
678.0000 94 50 0.5319
681.0000 95 50 0.5263
689.0000 96 50 0.5208
694.0000 97 50 0.5155
701.0000 98 50 0.5102
705.0000 98 51 0.5204
706.0000 99 51 0.5152
714.0000 100 51 0.5100
721.0000 101 51 0.5050
725.0000 101 52 0.5149
725.0000 101 53 0.5248
729.0000 102 53 0.5196
731.0000 102 54 0.5294
732.0000 102 55 0.5392
733.0000 102 56 0.5490
734.0000 103 56 0.5437
734.0000 103 57 0.5534
741.0000 104 57 0.5481
747.0000 104 58 0.5577
748.0000 105 58 0.5524
753.0000 106 58 0.5472
759.0000 106 59 0.5566
761.0000 107 59 0.5514
766.0000 107 60 0.5607
769.0000 108 60 0.5556
773.0000 108 61 0.5648
774.0000 109 61 0.5596
781.0000 110 61 0.5545
787.0000 110 62 0.5636
789.0000 111 62 0.5586
793.0000 111 63 0.5676
794.0000 112 63 0.5625
796.0000 112 64 0.5714
799.0000 112 65 0.5804
800.0000 113 65 0.5752
800.0000 113 66 0.5841
806.0000 113 67 0.5929
807.0000 114 67 0.5877
809.0000 114 68 0.5965
812.0000 114 69 0.6053
815.0000 115 69 0.6000
818.0000 115 70 0.6087
821.0000 116 70 0.6034
826.0000 117 70 0.5983
826.0000 117 71 0.6068
829.0000 117 72 0.6154
834.0000 118 72 0.6102
839.0000 119 72 0.6050
842.0000 119 73 0.6134
848.0000 120 73 0.6083
850.0000 120 74 0.6167
854.0000 121 74 0.6116
863.0000 122 74 0.6066
865.0000 122 75 0.6148
866.0000 122 76 0.6230
870.0000 122 77 0.6311
871.0000 123 77 0.6260
877.0000 124 77 0.6210
883.0000 125 77 0.6160
890.0000 126 77 0.6111
896.0000 127 77 0.6063
897.0000 127 78 0.6142
903.0000 128 78 0.6094
908.0000 129 78 0.6047
914.0000 130 78 0.6000
918.0000 130 79 0.6077
919.0000 130 80 0.6154
921.0000 131 80 0.6107
923.0000 131 81 0.6183
929.0000 132 81 0.6136
934.0000 133 81 0.6090
934.0000 133 82 0.6165
936.0000 133 83 0.6241
941.0000 134 83 0.6194
941.0000 134 84 0.6269
948.0000 135 84 0.6222
948.0000 135 85 0.6296
955.0000 136 85 0.6250
962.0000 137 85 0.6204
963.0000 137 86 0.6277
968.0000 138 86 0.6232
970.0000 138 87 0.6304
974.0000 139 87 0.6259
974.0000 139 88 0.6331
977.0000 139 89 0.6403
979.0000 140 89 0.6357
988.0000 141 89 0.6312
993.0000 142 89 0.6268
998.0000 143 89 0.6224
1003.0000 144 89 0.6181
1012.0000 145 89 0.6138
1019.0000 146 89 0.6096
1025.0000 147 89 0.6054
1032.0000 148 89 0.6014
1038.0000 148 90 0.6081
1040.0000 149 90 0.6040
1042.0000 149 91 0.6107
1044.0000 149 92 0.6174
1044.0000 149 93 0.6242
1047.0000 150 93 0.6200
1048.0000 150 94 0.6267
1056.0000 151 94 0.6225
1065.0000 152 94 0.6184
1074.0000 153 94 0.6144
1075.0000 153 95 0.6209
1078.0000 153 96 0.6275
1080.0000 153 97 0.6340
1081.0000 154 97 0.6299
1090.0000 155 97 0.6258
1096.0000 156 97 0.6218
1098.0000 156 98 0.6282
1099.0000 156 99 0.6346
1101.0000 157 99 0.6306
1108.0000 158 99 0.6266
1112.0000 158 100 0.6329
1116.0000 159 100 0.6289
1123.0000 160 100 0.6250
1129.0000 161 100 0.6211
1131.0000 161 101 0.6273
1131.0000 161 102 0.6335
1136.0000 162 102 0.6296
1143.0000 163 102 0.6258
1152.0000 164 102 0.6220
1156.0000 164 103 0.6280
1161.0000 165 103 0.6242
1164.0000 165 104 0.6303
1166.0000 165 105 0.6364
1170.0000 166 105 0.6325
1177.0000 167 105 0.6287
1182.0000 168 105 0.6250
1188.0000 168 106 0.6310
1189.0000 169 106 0.6272
1189.0000 169 107 0.6331
1190.0000 169 108 0.6391
1192.0000 169 109 0.6450
1195.0000 170 109 0.6412
1200.0000 171 109 0.6374
1206.0000 172 109 0.6337
1209.0000 172 110 0.6395
1210.0000 172 111 0.6453
1212.0000 172 112 0.6512
1215.0000 173 112 0.6474
1215.0000 173 113 0.6532
1223.0000 174 113 0.6494
1228.0000 175 113 0.6457
1229.0000 175 114 0.6514
1233.0000 176 114 0.6477
1242.0000 177 114 0.6441
1247.0000 178 114 0.6404
1249.0000 178 115 0.6461
1253.0000 179 115 0.6425
1253.0000 179 116 0.6480
1262.0000 180 116 0.6444
1263.0000 180 117 0.6500
1265.0000 180 118 0.6556
1266.0000 180 119 0.6611
1267.0000 181 119 0.6575
1273.0000 182 119 0.6538
1281.0000 183 119 0.6503
1281.0000 183 120 0.6557
1285.0000 183 121 0.6612
1288.0000 184 121 0.6576
1290.0000 184 122 0.6630
1292.0000 184 123 0.6685
1294.0000 185 123 0.6649
1300.0000 186 123 0.6613
1303.0000 186 124 0.6667
1307.0000 187 124 0.6631
1307.0000 187 125 0.6684
1312.0000 187 126 0.6738
1313.0000 188 126 0.6702
1313.0000 188 127 0.6755
1316.0000 188 128 0.6809
1319.0000 189 128 0.6772
1319.0000 189 129 0.6825
1320.0000 189 130 0.6878
1320.0000 189 131 0.6931
1320.0000 189 132 0.6984
1326.0000 189 133 0.7037
1327.0000 190 133 0.7000
1336.0000 191 133 0.6963
1338.0000 191 134 0.7016
1344.0000 192 134 0.6979
1349.0000 193 134 0.6943
1358.0000 194 134 0.6907
1366.0000 195 134 0.6872
1372.0000 196 134 0.6837
1377.0000 197 134 0.6802
1379.0000 197 135 0.6853
1379.0000 197 136 0.6904
1382.0000 197 137 0.6954
1383.0000 198 137 0.6919
1385.0000 198 138 0.6970
1389.0000 199 138 0.6935
1391.0000 199 139 0.6985
1391.0000 199 140 0.7035
1394.0000 200 140 0.7000
1401.0000 200 141 0.7050
1402.0000 200 142 0.7100
1403.0000 201 142 0.7065
1406.0000 201 143 0.7114
1409.0000 201 144 0.7164
1411.0000 202 144 0.7129
1411.0000 202 145 0.7178
1418.0000 202 146 0.7228
1420.0000 203 146 0.7192
1428.0000 204 146 0.7157
1428.0000 204 147 0.7206
1436.0000 204 148 0.7255
1437.0000 205 148 0.7220
1437.0000 205 149 0.7268
1438.0000 205 150 0.7317
1439.0000 205 151 0.7366
1446.0000 206 151 0.7330
1452.0000 206 152 0.7379
1455.0000 207 152 0.7343
1455.0000 207 153 0.7391
1456.0000 207 154 0.7440
1460.0000 207 155 0.7488
1463.0000 207 156 0.7536
1464.0000 208 156 0.7500
1469.0000 209 156 0.7464
1473.0000 209 157 0.7512
1476.0000 210 157 0.7476
1478.0000 210 158 0.7524
1480.0000 210 159 0.7571
1485.0000 211 159 0.7536
1486.0000 211 160 0.7583
1487.0000 211 161 0.7630
1492.0000 212 161 0.7594
1497.0000 212 162 0.7642
1498.0000 212 163 0.7689
1499.0000 213 163 0.7653
1506.0000 214 163 0.7617
1512.0000 214 164 0.7664
1515.0000 215 164 0.7628
1522.0000 216 164 0.7593
1531.0000 217 164 0.7558
1537.0000 218 164 0.7523
1545.0000 219 164 0.7489
1547.0000 219 165 0.7534
1553.0000 220 165 0.7500
1560.0000 221 165 0.7466
1563.0000 221 166 0.7511
1565.0000 221 167 0.7557
1568.0000 222 167 0.7523
1575.0000 223 167 0.7489
1579.0000 223 168 0.7534
1580.0000 224 168 0.7500
1583.0000 224 169 0.7545
1586.0000 225 169 0.7511
1593.0000 226 169 0.7478
1599.0000 227 169 0.7445
1606.0000 228 169 0.7412
1612.0000 228 170 0.7456
1614.0000 229 170 0.7424
1622.0000 230 170 0.7391
1628.0000 231 170 0.7359
1633.0000 231 171 0.7403
1634.0000 232 171 0.7371
1642.0000 233 171 0.7339
1651.0000 234 171 0.7308
1656.0000 235 171 0.7277
1658.0000 235 172 0.7319
1664.0000 236 172 0.7288
1670.0000 237 172 0.7257
1675.0000 238 172 0.7227
1677.0000 238 173 0.7269
1681.0000 239 173 0.7238
1688.0000 240 173 0.7208
1694.0000 240 174 0.7250
1697.0000 241 174 0.7220
1706.0000 242 174 0.7190
1711.0000 243 174 0.7160
1716.0000 244 174 0.7131
1725.0000 245 174 0.7102
1730.0000 246 174 0.7073
1737.0000 247 174 0.7045
1744.0000 248 174 0.7016
1749.0000 249 174 0.6988
1758.0000 250 174 0.6960
1764.0000 251 174 0.6932
1771.0000 252 174 0.6905
1780.0000 253 174 0.6877
1787.0000 254 174 0.6850
1790.0000 254 175 0.6890
1795.0000 255 175 0.6863
1803.0000 256 175 0.6836
1810.0000 257 175 0.6809
1813.0000 257 176 0.6848
1817.0000 258 176 0.6822
1820.0000 258 177 0.6860
1826.0000 259 177 0.6834
1835.0000 260 177 0.6808
1844.0000 261 177 0.6782
1850.0000 262 177 0.6756
1859.0000 263 177 0.6730
1866.0000 264 177 0.6705
1875.0000 265 177 0.6679
1882.0000 266 177 0.6654
1890.0000 267 177 0.6629
1894.0000 267 178 0.6667
1896.0000 268 178 0.6642
1902.0000 269 178 0.6617
1910.0000 270 178 0.6593
1911.0000 270 179 0.6630
1919.0000 271 179 0.6605
1924.0000 271 180 0.6642
1926.0000 272 180 0.6618
1926.0000 272 181 0.6654
1929.0000 272 182 0.6691
1930.0000 272 183 0.6728
1932.0000 273 183 0.6703
1939.0000 274 183 0.6679
1945.0000 274 184 0.6715
1946.0000 275 184 0.6691
1949.0000 275 185 0.6727
1952.0000 276 185 0.6703
1958.0000 277 185 0.6679
1965.0000 277 186 0.6715
1966.0000 278 186 0.6691
1967.0000 278 187 0.6727
1968.0000 278 188 0.6763
1968.0000 278 189 0.6799
1971.0000 279 189 0.6774
1976.0000 280 189 0.6750
1983.0000 280 190 0.6786
1984.0000 281 190 0.6762
1990.0000 282 190 0.6738
1999.0000 283 190 0.6714
2004.0000 284 190 0.6690
2010.0000 285 190 0.6667
2015.0000 285 191 0.6702
2018.0000 286 191 0.6678
2024.0000 287 191 0.6655
2031.0000 288 191 0.6632
2032.0000 288 192 0.6667
2039.0000 289 192 0.6644
2045.0000 290 192 0.6621
2048.0000 290 193 0.6655
2053.0000 291 193 0.6632
2056.0000 291 194 0.6667
2059.0000 292 194 0.6644
2066.0000 293 194 0.6621
2074.0000 294 194 0.6599
2083.0000 295 194 0.6576
2083.0000 295 195 0.6610
2084.0000 295 196 0.6644
2089.0000 296 196 0.6622
2098.0000 297 196 0.6599
2099.0000 297 197 0.6633
2099.0000 297 198 0.6667
2103.0000 297 199 0.6700
2107.0000 298 199 0.6678
2114.0000 299 199 0.6656
2119.0000 300 199 0.6633
2124.0000 300 200 0.6667
2127.0000 301 200 0.6645
2135.0000 302 200 0.6623
2138.0000 302 201 0.6656
2144.0000 303 201 0.6634
2149.0000 304 201 0.6612
2156.0000 305 201 0.6590
2164.0000 306 201 0.6569
2168.0000 306 202 0.6601
2170.0000 307 202 0.6580
2177.0000 308 202 0.6558
2180.0000 308 203 0.6591
2184.0000 309 203 0.6570
2192.0000 310 203 0.6548
2194.0000 310 204 0.6581
2195.0000 310 205 0.6613
2198.0000 311 205 0.6592
2201.0000 311 206 0.6624
2203.0000 312 206 0.6603
2210.0000 313 206 0.6581
2217.0000 314 206 0.6561
2223.0000 315 206 0.6540
2228.0000 316 206 0.6519
2237.0000 317 206 0.6498
2245.0000 318 206 0.6478
2248.0000 318 207 0.6509
2253.0000 319 207 0.6489
2258.0000 319 208 0.6520
2259.0000 320 208 0.6500
2265.0000 321 208 0.6480
2273.0000 322 208 0.6460
2278.0000 323 208 0.6440
2278.0000 323 209 0.6471
2285.0000 324 209 0.6451
2292.0000 325 209 0.6431
2301.0000 326 209 0.6411
2305.0000 326 210 0.6442
2305.0000 326 211 0.6472
2307.0000 327 211 0.6453
2314.0000 327 212 0.6483
2316.0000 328 212 0.6463
2322.0000 328 213 0.6494
2323.0000 329 213 0.6474
2329.0000 330 213 0.6455
2334.0000 331 213 0.6435
2340.0000 331 214 0.6465
2342.0000 332 214 0.6446
2350.0000 333 214 0.6426
2352.0000 333 215 0.6456
2357.0000 334 215 0.6437
2363.0000 335 215 0.6418
2372.0000 336 215 0.6399
2378.0000 337 215 0.6380
2387.0000 338 215 0.6361
2390.0000 338 216 0.6391
2392.0000 339 216 0.6372
2394.0000 339 217 0.6401
2401.0000 340 217 0.6382
2409.0000 341 217 0.6364
2417.0000 342 217 0.6345
2422.0000 343 217 0.6327
2423.0000 343 218 0.6356
2425.0000 343 219 0.6385
2431.0000 344 219 0.6366
2439.0000 345 219 0.6348
2440.0000 345 220 0.6377
2445.0000 346 220 0.6358
2451.0000 347 220 0.6340
2460.0000 348 220 0.6322
2467.0000 349 220 0.6304
2475.0000 350 220 0.6286
2481.0000 351 220 0.6268
2488.0000 352 220 0.6250
2494.0000 352 221 0.6278
2497.0000 353 221 0.6261
2505.0000 354 221 0.6243
2510.0000 355 221 0.6225
2516.0000 356 221 0.6208
2525.0000 357 221 0.6190
2527.0000 357 222 0.6218
2534.0000 358 222 0.6201
2540.0000 359 222 0.6184
2545.0000 359 223 0.6212
2547.0000 360 223 0.6194
2552.0000 361 223 0.6177
2560.0000 362 223 0.6160
