# time  created  delivered  delivered/created
7.0000 1 0 0.0000
16.0000 2 0 0.0000
21.0000 3 0 0.0000
29.0000 4 0 0.0000
37.0000 5 0 0.0000
44.0000 6 0 0.0000
50.0000 7 0 0.0000
58.0000 8 0 0.0000
66.0000 9 0 0.0000
71.0000 10 0 0.0000
79.0000 11 0 0.0000
81.0000 11 1 0.0909
81.0000 11 2 0.1818
84.0000 11 3 0.2727
85.0000 12 3 0.2500
91.0000 13 3 0.2308
97.0000 14 3 0.2143
105.0000 15 3 0.2000
112.0000 16 3 0.1875
121.0000 17 3 0.1765
121.0000 17 4 0.2353
128.0000 18 4 0.2222
134.0000 19 4 0.2105
141.0000 20 4 0.2000
141.0000 20 5 0.2500
149.0000 21 5 0.2381
155.0000 22 5 0.2273
163.0000 23 5 0.2174
164.0000 23 6 0.2609
168.0000 24 6 0.2500
177.0000 25 6 0.2400
182.0000 26 6 0.2308
184.0000 26 7 0.2692
188.0000 27 7 0.2593
193.0000 28 7 0.2500
199.0000 29 7 0.2414
204.0000 30 7 0.2333
213.0000 31 7 0.2258
219.0000 32 7 0.2188
224.0000 32 8 0.2500
228.0000 33 8 0.2424
235.0000 34 8 0.2353
244.0000 35 8 0.2286
251.0000 36 8 0.2222
253.0000 36 9 0.2500
259.0000 37 9 0.2432
260.0000 37 10 0.2703
268.0000 38 10 0.2632
276.0000 39 10 0.2564
284.0000 40 10 0.2500
285.0000 40 11 0.2750
293.0000 41 11 0.2683
297.0000 41 12 0.2927
300.0000 42 12 0.2857
305.0000 43 12 0.2791
310.0000 44 12 0.2727
315.0000 45 12 0.2667
322.0000 45 13 0.2889
323.0000 46 13 0.2826
330.0000 47 13 0.2766
336.0000 48 13 0.2708
339.0000 48 14 0.2917
343.0000 49 14 0.2857
344.0000 49 15 0.3061
352.0000 50 15 0.3000
357.0000 51 15 0.2941
357.0000 51 16 0.3137
365.0000 52 16 0.3077
369.0000 52 17 0.3269
371.0000 53 17 0.3208
378.0000 54 17 0.3148
386.0000 55 17 0.3091
390.0000 55 18 0.3273
392.0000 56 18 0.3214
393.0000 56 19 0.3393
399.0000 57 19 0.3333
401.0000 57 20 0.3509
406.0000 58 20 0.3448
406.0000 58 21 0.3621
411.0000 58 22 0.3793
415.0000 59 22 0.3729
420.0000 60 22 0.3667
427.0000 61 22 0.3607
435.0000 62 22 0.3548
438.0000 62 23 0.3710
441.0000 63 23 0.3651
445.0000 63 24 0.3810
449.0000 64 24 0.3750
452.0000 64 25 0.3906
454.0000 65 25 0.3846
462.0000 66 25 0.3788
468.0000 66 26 0.3939
470.0000 67 26 0.3881
473.0000 67 27 0.4030
478.0000 68 27 0.3971
487.0000 69 27 0.3913
491.0000 69 28 0.4058
493.0000 70 28 0.4000
498.0000 71 28 0.3944
507.0000 72 28 0.3889
512.0000 73 28 0.3836
516.0000 73 29 0.3973
519.0000 74 29 0.3919
524.0000 75 29 0.3867
529.0000 75 30 0.4000
532.0000 75 31 0.4133
533.0000 76 31 0.4079
536.0000 76 32 0.4211
537.0000 76 33 0.4342
539.0000 77 33 0.4286
548.0000 78 33 0.4231
555.0000 79 33 0.4177
563.0000 80 33 0.4125
572.0000 81 33 0.4074
572.0000 81 34 0.4198
581.0000 82 34 0.4146
583.0000 82 35 0.4268
590.0000 83 35 0.4217
599.0000 84 35 0.4167
606.0000 85 35 0.4118
609.0000 85 36 0.4235
610.0000 85 37 0.4353
611.0000 85 38 0.4471
