# time  created  delivered  delivered/created
7.0000 1 0 0.0000
12.0000 1 1 1.0000
16.0000 2 1 0.5000
21.0000 3 1 0.3333
29.0000 4 1 0.2500
37.0000 5 1 0.2000
44.0000 6 1 0.1667
50.0000 7 1 0.1429
58.0000 8 1 0.1250
66.0000 9 1 0.1111
71.0000 10 1 0.1000
79.0000 11 1 0.0909
80.0000 11 2 0.1818
80.0000 11 3 0.2727
85.0000 12 3 0.2500
91.0000 13 3 0.2308
97.0000 14 3 0.2143
105.0000 15 3 0.2000
112.0000 16 3 0.1875
121.0000 17 3 0.1765
123.0000 17 4 0.2353
128.0000 18 4 0.2222
134.0000 19 4 0.2105
140.0000 19 5 0.2632
141.0000 20 5 0.2500
149.0000 21 5 0.2381
155.0000 22 5 0.2273
157.0000 22 6 0.2727
163.0000 23 6 0.2609
168.0000 24 6 0.2500
177.0000 25 6 0.2400
182.0000 26 6 0.2308
183.0000 26 7 0.2692
188.0000 27 7 0.2593
193.0000 28 7 0.2500
199.0000 29 7 0.2414
204.0000 30 7 0.2333
213.0000 31 7 0.2258
219.0000 32 7 0.2188
224.0000 32 8 0.2500
228.0000 33 8 0.2424
235.0000 34 8 0.2353
244.0000 35 8 0.2286
244.0000 35 9 0.2571
251.0000 36 9 0.2500
252.0000 36 10 0.2778
256.0000 36 11 0.3056
259.0000 37 11 0.2973
268.0000 38 11 0.2895
276.0000 39 11 0.2821
284.0000 40 11 0.2750
284.0000 40 12 0.3000
293.0000 41 12 0.2927
295.0000 41 13 0.3171
300.0000 42 13 0.3095
305.0000 43 13 0.3023
310.0000 44 13 0.2955
313.0000 44 14 0.3182
315.0000 45 14 0.3111
323.0000 46 14 0.3043
330.0000 47 14 0.2979
336.0000 48 14 0.2917
338.0000 48 15 0.3125
343.0000 49 15 0.3061
343.0000 49 16 0.3265
352.0000 50 16 0.3200
357.0000 51 16 0.3137
365.0000 52 16 0.3077
367.0000 52 17 0.3269
371.0000 53 17 0.3208
378.0000 54 17 0.3148
386.0000 55 17 0.3091
388.0000 55 18 0.3273
392.0000 56 18 0.3214
392.0000 56 19 0.3393
399.0000 57 19 0.3333
400.0000 57 20 0.3509
405.0000 57 21 0.3684
406.0000 58 21 0.3621
410.0000 58 22 0.3793
415.0000 59 22 0.3729
420.0000 60 22 0.3667
427.0000 61 22 0.3607
435.0000 62 22 0.3548
437.0000 62 23 0.3710
441.0000 63 23 0.3651
444.0000 63 24 0.3810
449.0000 64 24 0.3750
451.0000 64 25 0.3906
454.0000 65 25 0.3846
462.0000 66 25 0.3788
467.0000 66 26 0.3939
470.0000 67 26 0.3881
472.0000 67 27 0.4030
478.0000 68 27 0.3971
487.0000 69 27 0.3913
493.0000 70 27 0.3857
498.0000 71 27 0.3803
507.0000 72 27 0.3750
512.0000 73 27 0.3699
515.0000 73 28 0.3836
519.0000 74 28 0.3784
524.0000 75 28 0.3733
528.0000 75 29 0.3867
531.0000 75 30 0.4000
533.0000 76 30 0.3947
535.0000 76 31 0.4079
536.0000 76 32 0.4211
539.0000 77 32 0.4156
